analysis_id	biosample_id	individual_id	experiment_id	analysis_operation_id	analysis_operation_label
pgxcs-ltoi4ue1	pgxbs-kftvhsox	pgxind-kftx3mw1	pgx:TCGA.43993e01-588a-40de-80ec-72c1a66fe70b	EDAM:operation_3227	Variant Calling
pgxcs-ltoi1ln8	pgxbs-kftvi3gc	pgxind-kftx3vo2	pgx:TCGA.63eec89c-e81f-420e-a7b5-d63a241415f5	EDAM:operation_3227	Variant Calling
pgxcs-ltohacq4	pgxbs-kftvhl8p	pgxind-kftx3jhs	pgx:TCGA.1c022b91-9ac5-41a4-9787-d347d26408bd	EDAM:operation_3227	Variant Calling
pgxcs-ltoi3grr	pgxbs-kftvhr3y	pgxind-kftx3hvn	pgx:TCGA.144e0265-c04e-4538-a721-94def2570486	EDAM:operation_3227	Variant Calling
pgxcs-ltoi98f2	pgxbs-kftvhqew	pgxind-kftx3oor	pgx:TCGA.e914e3db-e907-495a-9b59-43e07132052a	EDAM:operation_3227	Variant Calling
pgxcs-ltoh8838	pgxbs-kftvi4ei	pgxind-kftx3htg	pgx:TCGA.ea75499c-7bf0-47be-9b09-3c12aaa22f12	EDAM:operation_3227	Variant Calling
pgxcs-ltoiiuhz	pgxbs-kftvhpug	pgxind-kftx3o7r	pgx:TCGA.9bb9fdcd-006a-4f29-8168-7c539b257dec	EDAM:operation_3227	Variant Calling
pgxcs-ltohnnez	pgxbs-kftvi6ef	pgxind-kftx3wbw	pgx:TCGA.864eca46-7b3f-4ca5-9606-df53bd704130	EDAM:operation_3227	Variant Calling
pgxcs-ltohutwp	pgxbs-kftvi7go	pgxind-kftx3wh4	pgx:TCGA.d156e12d-4d39-4e10-b1d7-c3b664bbfc7e	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6p3h	pgxbs-kftvhy7v	pgxind-kftx3fkf	pgx:TCGA.7e3298d1-7ee0-470d-be0f-fc638ea6c62e	EDAM:operation_3227	Variant Calling
pgxcs-ltoi705h	pgxbs-kftvhoek	pgxind-kftx3mwn	pgx:TCGA.f77b3753-7b14-469a-abc2-8c544576f709	EDAM:operation_3227	Variant Calling
pgxcs-ltohbfva	pgxbs-kftvi48i	pgxind-kftx3rig	pgx:TCGA.de71b625-2b73-43a7-9bc0-89d6a13d0d52	EDAM:operation_3227	Variant Calling
pgxcs-ltohm4a6	pgxbs-kftvho2t	pgxind-kftx3l9z	pgx:TCGA.1b1cbb34-da71-4441-b1a1-c936e8f04c73	EDAM:operation_3227	Variant Calling
pgxcs-ltohiege	pgxbs-kftvhpm6	pgxind-kftx3nzx	pgx:TCGA.12b448e3-2d58-4e68-92e1-dd484742cd99	EDAM:operation_3227	Variant Calling
pgxcs-ltoi3vhi	pgxbs-kftvhvpb	pgxind-kftx3p1s	pgx:TCGA.56f1ae65-b100-4340-8afe-854e4de7b584	EDAM:operation_3227	Variant Calling
pgxcs-ltohlmgx	pgxbs-kftvi7pp	pgxind-kftx3png	pgx:TCGA.1acae6e0-3100-4de8-a436-e15cdbe1322b	EDAM:operation_3227	Variant Calling
pgxcs-ltoheu7n	pgxbs-kftvhia2	pgxind-kftx3g50	pgx:TCGA.b6e6722f-cefe-4eb7-8545-94383659db9a	EDAM:operation_3227	Variant Calling
pgxcs-ltoi6i2x	pgxbs-kftvhj91	pgxind-kftx3h9m	pgx:TCGA.153d5e35-20a4-40f8-901a-d7208fa2d3d8	EDAM:operation_3227	Variant Calling
pgxcs-ltohg7nr	pgxbs-kftvhjsi	pgxind-kftx3hw0	pgx:TCGA.d22e9b65-495b-4d42-926a-01bf2c436d76	EDAM:operation_3227	Variant Calling
pgxcs-ltoi6mqh	pgxbs-kftvi18d	pgxind-kftx3uy7	pgx:TCGA.a908ce38-12e6-4ec6-baab-9d79221ab6eb	EDAM:operation_3227	Variant Calling
pgxcs-ltohbfoq	pgxbs-kftvhytj	pgxind-kftx3tz8	pgx:TCGA.b0f0ea02-b1da-4613-a9b0-d18a07910010	EDAM:operation_3227	Variant Calling
pgxcs-ltoijzbi	pgxbs-kftvhljm	pgxind-kftx3jtg	pgx:TCGA.74a8d844-92db-4829-b687-a54a41c32f36	EDAM:operation_3227	Variant Calling
pgxcs-ltoi66bo	pgxbs-kftvhr49	pgxind-kftx3p8f	pgx:TCGA.c4df275b-d356-48d6-81d8-ac7f0803d53f	EDAM:operation_3227	Variant Calling
pgxcs-ltohtwxh	pgxbs-kftvhw5b	pgxind-kftx3si6	pgx:TCGA.4cea843f-80ae-4284-b70f-8989717eee7c	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6lpz	pgxbs-kftvhqql	pgxind-kftx3oxh	pgx:TCGA.e2da00f3-fdb9-4ab4-964a-6828568e2e6e	EDAM:operation_3227	Variant Calling
pgxcs-ltohvn46	pgxbs-kftvhzlo	pgxind-kftx3ubi	pgx:TCGA.9e8a3c17-abc3-42b8-a786-186885a52bc9	EDAM:operation_3227	Variant Calling
pgxcs-ltohmogc	pgxbs-kftvi050	pgxind-kftx3lis	pgx:TCGA.bb6ec9cb-d367-449f-9b8d-9b736f5de92e	EDAM:operation_3227	Variant Calling
pgxcs-ltohmcgg	pgxbs-kftvhqyw	pgxind-kftx3p3l	pgx:TCGA.512f703d-14cb-4e9f-9356-4a6d8325caba	EDAM:operation_3227	Variant Calling
pgxcs-ltoiau4y	pgxbs-kftvi957	pgxind-kftx3p9y	pgx:TCGA.9218cca9-a7af-4b73-a00f-8655ec60307e	EDAM:operation_3227	Variant Calling
pgxcs-ltoia4u8	pgxbs-kftvhqqt	pgxind-kftx3oxp	pgx:TCGA.ba357d05-8eb5-4a58-9ef4-4720cfbc1868	EDAM:operation_3227	Variant Calling
pgxcs-ltoh7cme	pgxbs-kftvhxu1	pgxind-kftx3ti8	pgx:TCGA.66c63441-ea40-4df1-bde9-d30c03ff1260	EDAM:operation_3227	Variant Calling
pgxcs-ltoi85fn	pgxbs-kftvi3l3	pgxind-kftx3txt	pgx:TCGA.343311b1-d586-4f92-9984-32af1afb1f62	EDAM:operation_3227	Variant Calling
pgxcs-ltoiffhi	pgxbs-kftvhzlu	pgxind-kftx3ubo	pgx:TCGA.a8393121-29df-4525-bf4f-fce0deaf25f5	EDAM:operation_3227	Variant Calling
pgxcs-ltohtt2a	pgxbs-kftvhzjt	pgxind-kftx3sei	pgx:TCGA.27dac66a-e5ac-41b4-95e6-4a9f209261ee	EDAM:operation_3227	Variant Calling
pgxcs-ltoh7qnf	pgxbs-kftvhvft	pgxind-kftx3rqd	pgx:TCGA.e6db8232-33b3-4449-a2fc-cde3b7d3d72b	EDAM:operation_3227	Variant Calling
pgxcs-ltohvv62	pgxbs-kftvhtjs	pgxind-kftx3nsz	pgx:TCGA.25b11d5d-0390-4196-a8db-853574407a22	EDAM:operation_3227	Variant Calling
pgxcs-ltohubzs	pgxbs-kftvht0w	pgxind-kftx3nvx	pgx:TCGA.5af3de3e-4376-41ab-ae28-4ea9a95dce2d	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8r4e	pgxbs-kftvi6nf	pgxind-kftx3h9q	pgx:TCGA.42c7e92b-6820-4562-9e32-a424a99a6cba	EDAM:operation_3227	Variant Calling
pgxcs-ltoii46r	pgxbs-kftvhr6u	pgxind-kftx3pan	pgx:TCGA.6de3e241-606b-441e-9185-7e9f1cd1e61b	EDAM:operation_3227	Variant Calling
pgxcs-ltohg3xc	pgxbs-kftvhrv0	pgxind-kftx3pt9	pgx:TCGA.e6b3b5f4-1a6b-40be-a1de-1c680855f5d6	EDAM:operation_3227	Variant Calling
pgxcs-ltohjxxu	pgxbs-kftvhkxn	pgxind-kftx3j5f	pgx:TCGA.83842f6e-5df5-4172-9e58-99f00e74cbbe	EDAM:operation_3227	Variant Calling
pgxcs-ltohqv0b	pgxbs-kftvi4ru	pgxind-kftx3w0m	pgx:TCGA.b71b1fb6-3c73-46c8-ab3b-bdfaa4b66b67	EDAM:operation_3227	Variant Calling
pgxcs-ltohd00d	pgxbs-kftvhkgm	pgxind-kftx3inj	pgx:TCGA.24fab49c-b031-47c8-b873-8f431390f327	EDAM:operation_3227	Variant Calling
pgxcs-ltoi7tts	pgxbs-kftvhjyf	pgxind-kftx3i2t	pgx:TCGA.87817041-278c-41d8-9c27-bac80d299903	EDAM:operation_3227	Variant Calling
pgxcs-ltoievw0	pgxbs-kftvi9rm	pgxind-kftx3t20	pgx:TCGA.d66bd244-daab-41d6-9d56-1687ba5ac590	EDAM:operation_3227	Variant Calling
pgxcs-ltoimj20	pgxbs-kftvhkk0	pgxind-kftx3iqu	pgx:TCGA.b5ad89d6-2b40-4f92-9b7f-33baf7369993	EDAM:operation_3227	Variant Calling
pgxcs-ltohduz1	pgxbs-kftvhvly	pgxind-kftx3hp2	pgx:TCGA.84141bfd-dda2-4462-952b-1260a6bdc149	EDAM:operation_3227	Variant Calling
pgxcs-ltoigih2	pgxbs-kftvhmxb	pgxind-kftx3ifm	pgx:TCGA.3b816277-91cb-413e-bc7c-ba33cd72b67d	EDAM:operation_3227	Variant Calling
pgxcs-ltohrmhr	pgxbs-kftvi1a0	pgxind-kftx3uyp	pgx:TCGA.a29977a3-cedd-4861-a566-d4e942002ade	EDAM:operation_3227	Variant Calling
pgxcs-ltohasjb	pgxbs-kftvho4p	pgxind-kftx3mes	pgx:TCGA.c571d943-4915-455b-a42f-c9c1df1f2cdd	EDAM:operation_3227	Variant Calling
pgxcs-ltoijxz3	pgxbs-kftvi7vk	pgxind-kftx3vvf	pgx:TCGA.ae4a218d-3d84-4f2a-a2ea-fb8b65b988c3	EDAM:operation_3227	Variant Calling
pgxcs-ltoi2md8	pgxbs-kftvi67f	pgxind-kftx3w14	pgx:TCGA.0f19f2d5-d552-4f7a-88d8-bb559cb1cd0f	EDAM:operation_3227	Variant Calling
pgxcs-ltohnu43	pgxbs-kftvhng5	pgxind-kftx3m06	pgx:TCGA.2b70b8e0-adc8-4afa-860d-a45489e3695f	EDAM:operation_3227	Variant Calling
pgxcs-ltoiaeu7	pgxbs-kftvhqvk	pgxind-kftx3p12	pgx:TCGA.b7ac160a-52a7-400f-9ff8-86eeec078b15	EDAM:operation_3227	Variant Calling
pgxcs-ltoi7tg1	pgxbs-kftvhyvb	pgxind-kftx3tl5	pgx:TCGA.9259e9ee-7279-4b62-8512-509cb705029c	EDAM:operation_3227	Variant Calling
pgxcs-ltohazgw	pgxbs-kftvht8e	pgxind-kftx3fea	pgx:TCGA.28e05d2f-0559-425a-accf-d5b4c1152548	EDAM:operation_3227	Variant Calling
pgxcs-ltohag80	pgxbs-kftvi77k	pgxind-kftx3wbg	pgx:TCGA.d27fd323-24c9-4654-a8d5-42da2c54f294	EDAM:operation_3227	Variant Calling
pgxcs-ltoiem73	pgxbs-kftvi8sy	pgxind-kftx3qnn	pgx:TCGA.b9ce8e4c-9d4d-4caa-9c73-3647ebd1f585	EDAM:operation_3227	Variant Calling
pgxcs-ltoh938b	pgxbs-kftvi7je	pgxind-kftx3pje	pgx:TCGA.1d7aae07-2453-4dc3-a26d-d67161172648	EDAM:operation_3227	Variant Calling
pgxcs-ltoi1jwt	pgxbs-kftvi3qk	pgxind-kftx3g5g	pgx:TCGA.4c70c0b1-1566-4e39-9dec-5050f62cd0a8	EDAM:operation_3227	Variant Calling
pgxcs-ltohpyt3	pgxbs-kftvi36s	pgxind-kftx3uv0	pgx:TCGA.7e5e20f6-5276-4cba-a73f-1580df93aa58	EDAM:operation_3227	Variant Calling
pgxcs-ltohjt1f	pgxbs-kftvi95f	pgxind-kftx3pmi	pgx:TCGA.ecf749e3-3249-41fb-a8bb-2f1b4da1492b	EDAM:operation_3227	Variant Calling
pgxcs-ltohqsfk	pgxbs-kftvhw2e	pgxind-kftx3sgd	pgx:TCGA.25b7ebde-6d3d-4ad5-9d54-0ca03779f059	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9xaa	pgxbs-kftvhpho	pgxind-kftx3nw3	pgx:TCGA.520e4c08-e7c6-407f-94cd-a07681bc24a8	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6r8h	pgxbs-kftvhxqv	pgxind-kftx3gq5	pgx:TCGA.c129bd85-b320-4b3c-9316-ce00f58ba3d0	EDAM:operation_3227	Variant Calling
pgxcs-ltoh8jnl	pgxbs-kftvhi65	pgxind-kftx3g0a	pgx:TCGA.52a96216-708f-43f2-a923-130a1c35922d	EDAM:operation_3227	Variant Calling
pgxcs-ltoi35je	pgxbs-kftvi6jb	pgxind-kftx3r9s	pgx:TCGA.3c111956-7bcf-46a7-b64f-708ce11b9ff8	EDAM:operation_3227	Variant Calling
pgxcs-ltohezxa	pgxbs-kftvhw1x	pgxind-kftx3sfw	pgx:TCGA.79ac8ffc-843b-4f1f-a681-8a507769db19	EDAM:operation_3227	Variant Calling
pgxcs-ltoikmiy	pgxbs-kftvhzlp	pgxind-kftx3pbu	pgx:TCGA.663da23b-f3e4-430b-9c79-f178a19db76e	EDAM:operation_3227	Variant Calling
pgxcs-ltoh9nds	pgxbs-kftvhpfk	pgxind-kftx3g6x	pgx:TCGA.76f9abf7-01ab-48be-a7bb-23adddbcacf8	EDAM:operation_3227	Variant Calling
pgxcs-ltoikj8q	pgxbs-kftvhvxl	pgxind-kftx3sd1	pgx:TCGA.469795c3-7cfa-4b95-9b0f-3fc7a3336f22	EDAM:operation_3227	Variant Calling
pgxcs-ltoiaoza	pgxbs-kftvhk6l	pgxind-kftx3ibw	pgx:TCGA.803c6d51-0eba-475a-9c3c-7b3401787907	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8s8w	pgxbs-kftvhxq9	pgxind-kftx3tg2	pgx:TCGA.46728e21-d62b-4588-abf2-8d3b39f00aeb	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8pzz	pgxbs-kftvi5ez	pgxind-kftx3ky7	pgx:TCGA.cc937913-802f-48cd-a490-e6b90f007c5d	EDAM:operation_3227	Variant Calling
pgxcs-ltohuqd5	pgxbs-kftvhomw	pgxind-kftx3n4a	pgx:TCGA.d2acbfe6-ab53-4932-8d67-1c72f2c11d61	EDAM:operation_3227	Variant Calling
pgxcs-ltoh9lff	pgxbs-kftvhsr4	pgxind-kftx3qgn	pgx:TCGA.956dedad-c152-4d04-b191-9a627f291efe	EDAM:operation_3227	Variant Calling
pgxcs-ltohlvaw	pgxbs-kftvho2v	pgxind-kftx3mm7	pgx:TCGA.52edd1db-f1c3-4b87-b959-b5b095e52463	EDAM:operation_3227	Variant Calling
pgxcs-ltoh9tiw	pgxbs-kftvi84q	pgxind-kftx3olw	pgx:TCGA.118fd65d-0b94-4663-a2a3-1f53b278711b	EDAM:operation_3227	Variant Calling
pgxcs-ltohpxpd	pgxbs-kftvhm9f	pgxind-kftx3kjh	pgx:TCGA.15b108cc-1b8d-4583-bdf0-43c7973b2cb2	EDAM:operation_3227	Variant Calling
pgxcs-ltohekmq	pgxbs-kftvi5n9	pgxind-kftx3ohw	pgx:TCGA.724b5713-b867-4cff-9f1b-7ce3f667dfd1	EDAM:operation_3227	Variant Calling
pgxcs-ltoikc2s	pgxbs-kftvi0il	pgxind-kftx3q8t	pgx:TCGA.b0b4cad8-f539-4a2f-86f4-f183513c2816	EDAM:operation_3227	Variant Calling
pgxcs-ltoig2li	pgxbs-kftvhwvv	pgxind-kftx3ih2	pgx:TCGA.cffe9c07-395d-479e-b2ac-7cf082b5ce29	EDAM:operation_3227	Variant Calling
pgxcs-ltoi4emv	pgxbs-kftvi8jw	pgxind-kftx3on4	pgx:TCGA.a84f2397-8fa0-4351-b05b-1ea8a230597a	EDAM:operation_3227	Variant Calling
pgxcs-ltoijx7m	pgxbs-kftvhzj1	pgxind-kftx3pbs	pgx:TCGA.08c3093d-4100-4bfc-92fc-a11f1393868f	EDAM:operation_3227	Variant Calling
pgxcs-ltohf0be	pgxbs-kftvhl9s	pgxind-kftx3jiu	pgx:TCGA.b8465091-5505-4bc4-8c83-59ab36e7be13	EDAM:operation_3227	Variant Calling
pgxcs-ltohszy8	pgxbs-kftvi9p2	pgxind-kftx3qsw	pgx:TCGA.85991716-6807-4f31-be63-bf80cec40cc2	EDAM:operation_3227	Variant Calling
pgxcs-ltohnowz	pgxbs-kftvi8ff	pgxind-kftx3tkp	pgx:TCGA.5b6333b9-9bae-4ce9-9248-15e0db5d1b28	EDAM:operation_3227	Variant Calling
pgxcs-ltoi1ayi	pgxbs-kftvhlg9	pgxind-kftx3jpr	pgx:TCGA.c1d8a26d-4b1f-455e-a378-06d4ad191c02	EDAM:operation_3227	Variant Calling
pgxcs-ltohobs8	pgxbs-kftvhymo	pgxind-kftx3tvu	pgx:TCGA.fc7aeb8e-4258-47d0-b53b-aa4c358252ad	EDAM:operation_3227	Variant Calling
pgxcs-ltoib4v9	pgxbs-kftvhnx0	pgxind-kftx3mgn	pgx:TCGA.fdb8966d-55c9-49be-80dd-369246604aad	EDAM:operation_3227	Variant Calling
pgxcs-ltoi49f8	pgxbs-kftvi3dn	pgxind-kftx3vn7	pgx:TCGA.4a21e922-a294-43f0-89cb-862dabed4f8c	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9eep	pgxbs-kftvhnue	pgxind-kftx3meg	pgx:TCGA.45db5303-bbab-4f8c-a2a2-9a9a9bfa2fd1	EDAM:operation_3227	Variant Calling
pgxcs-ltoimun3	pgxbs-kftvhtmt	pgxind-kftx3r36	pgx:TCGA.d90c750f-ff7f-4b5e-ae23-631b75bf5158	EDAM:operation_3227	Variant Calling
pgxcs-ltohk5ik	pgxbs-kftvhku4	pgxind-kftx3j1s	pgx:TCGA.d8f26446-3496-4709-8a11-50169494650f	EDAM:operation_3227	Variant Calling
pgxcs-ltoheel0	pgxbs-kftvi4px	pgxind-kftx3qiv	pgx:TCGA.37981859-ba7a-4f93-8fcb-78615e696149	EDAM:operation_3227	Variant Calling
pgxcs-ltoi4q92	pgxbs-kftvhvzn	pgxind-kftx3se9	pgx:TCGA.e84d0533-e892-4c1e-9415-99f92aa9a360	EDAM:operation_3227	Variant Calling
pgxcs-ltoha5c4	pgxbs-kftvi45j	pgxind-kftx3otn	pgx:TCGA.afd144f3-77bf-45fe-8d8b-eea4288c1d74	EDAM:operation_3227	Variant Calling
pgxcs-ltoid6cr	pgxbs-kftvi172	pgxind-kftx3uxp	pgx:TCGA.21f40cf9-d89f-4fec-be65-1740ab39dae4	EDAM:operation_3227	Variant Calling
pgxcs-ltohx0ro	pgxbs-kftvhrr1	pgxind-kftx3k00	pgx:TCGA.1d74dd3f-35ce-42c4-a476-47b85d14c962	EDAM:operation_3227	Variant Calling
pgxcs-ltoimmjg	pgxbs-kftvhog9	pgxind-kftx3hdu	pgx:TCGA.acdc8a17-c1b8-4f45-a1af-7c7953c346a4	EDAM:operation_3227	Variant Calling
pgxcs-ltohy6bs	pgxbs-kftvhtxy	pgxind-kftx3mn8	pgx:TCGA.85bf24dd-ed33-4b46-9739-1994ae3a2c91	EDAM:operation_3227	Variant Calling
pgxcs-ltohr5cn	pgxbs-kftvhjvb	pgxind-kftx3hz7	pgx:TCGA.2b3fb3d2-87ad-4768-ac41-c76c9fed3ace	EDAM:operation_3227	Variant Calling
pgxcs-ltoh7y51	pgxbs-kftvhpzk	pgxind-kftx3ocd	pgx:TCGA.2ff8bafd-2ac5-4bfd-8c60-81519cd44166	EDAM:operation_3227	Variant Calling
pgxcs-ltohlrve	pgxbs-kftvhz6c	pgxind-kftx3u4k	pgx:TCGA.4db1f31c-50be-41e8-8d2b-12103f32beeb	EDAM:operation_3227	Variant Calling
pgxcs-ltohwpeo	pgxbs-kftvhhrc	pgxind-kftx3fin	pgx:TCGA.09ee780c-e3de-4638-88a7-879de8017cba	EDAM:operation_3227	Variant Calling
pgxcs-ltohj3i0	pgxbs-kftvht3v	pgxind-kftx3k6x	pgx:TCGA.3bf6ec5d-e075-41a7-bf32-470ec1f09e98	EDAM:operation_3227	Variant Calling
pgxcs-ltoihqn7	pgxbs-kftvi8wk	pgxind-kftx3sbo	pgx:TCGA.ba89e258-169f-42ae-82b3-7ce692e67ee9	EDAM:operation_3227	Variant Calling
pgxcs-ltohcwmh	pgxbs-kftvhjuz	pgxind-kftx3hyv	pgx:TCGA.f01165b0-911a-45b0-ba7d-7cd0e723a2e4	EDAM:operation_3227	Variant Calling
pgxcs-ltoi7dyq	pgxbs-kftvhywj	pgxind-kftx3p3j	pgx:TCGA.56fe846c-f5ad-4f7e-b25c-9d7a3af067e6	EDAM:operation_3227	Variant Calling
pgxcs-ltohr8hi	pgxbs-kftvhj9v	pgxind-kftx3hag	pgx:TCGA.063385d8-f8bc-4268-8219-63dc2dc7973c	EDAM:operation_3227	Variant Calling
pgxcs-ltoheh8n	pgxbs-kftvhnp5	pgxind-kftx3m96	pgx:TCGA.7bc433ed-7908-4297-aa5a-e033924bced1	EDAM:operation_3227	Variant Calling
pgxcs-ltohneob	pgxbs-kftvhy2k	pgxind-kftx3tmi	pgx:TCGA.43a7fdb7-4013-4345-bb7d-c734a3d41b48	EDAM:operation_3227	Variant Calling
pgxcs-ltoi92ee	pgxbs-kftvi7kl	pgxind-kftx3vtw	pgx:TCGA.4f516204-3c17-4df0-b9bb-6b6dc9af4fd2	EDAM:operation_3227	Variant Calling
pgxcs-ltohbfi4	pgxbs-kftvhupd	pgxind-kftx3rr8	pgx:TCGA.17215328-074e-4e65-88ec-c79429e47d2b	EDAM:operation_3227	Variant Calling
pgxcs-ltoimfs1	pgxbs-kftvhn33	pgxind-kftx3lnf	pgx:TCGA.b2a531d4-d4dd-4d33-9bc2-5f8ec2351a78	EDAM:operation_3227	Variant Calling
pgxcs-ltohfzx9	pgxbs-kftvhlnk	pgxind-kftx3jxh	pgx:TCGA.67df36b3-dea8-4623-a23b-6b28a445e969	EDAM:operation_3227	Variant Calling
pgxcs-ltohiq3l	pgxbs-kftvi1ja	pgxind-kftx3ire	pgx:TCGA.6d03be57-c36d-4218-b2e8-a2864f23a554	EDAM:operation_3227	Variant Calling
pgxcs-ltohs3v6	pgxbs-kftvi8t2	pgxind-kftx3l19	pgx:TCGA.623f02d1-b14f-47fa-a3b6-78202e183644	EDAM:operation_3227	Variant Calling
