gene_id	gene_symbol	gene_type	chrom	start	end	onco_gene_type	oncokb_flag	cosmic_flag
ENSG00000150093.20	ITGB1	protein_coding	10	32887272	33005792		0	1
ENSG00000095794.19	CREM	protein_coding	10	35126790	35212958	INSUFFICIENT_EVIDENCE	1	0
ENSG00000165731.21	RET	protein_coding	10	43077063	43130351	oncogene, fusion	1	1
ENSG00000198915.12	RASGEF1A	protein_coding	10	43194534	43267065		1	0
ENSG00000012779.11	ALOX5	protein_coding	10	45374175	45446119	ONCOGENE_AND_TSG	1	0
ENSG00000266412.6	NCOA4	protein_coding	10	46005087	46030623	TSG, fusion	1	1
ENSG00000225830.16	ERCC6	protein_coding	10	49454167	49539538	ONCOGENE	1	0
ENSG00000148584.15	A1CF	protein_coding	10	50799408	50885675	oncogene	1	1
ENSG00000107984.10	DKK1	protein_coding	10	52314280	52318042	INSUFFICIENT_EVIDENCE	1	0
ENSG00000108091.11	CCDC6	protein_coding	10	59788746	59906556	TSG, fusion	1	1
ENSG00000150347.17	ARID5B	protein_coding	10	61901683	62096944	TSG	1	0
ENSG00000122877.17	EGR2	protein_coding	10	62811995	62919900	TSG	1	0
ENSG00000138336.9	TET1	protein_coding	10	68560336	68694487	oncogene, TSG, fusion	1	1
ENSG00000180644.8	PRF1	protein_coding	10	70597347	70602759	TSG	1	1
ENSG00000156650.14	KAT6B	protein_coding	10	74824926	75032624	TSG, fusion	1	1
ENSG00000188199.10	NUTM2B	protein_coding	10	79703226	79714681	fusion	1	1
ENSG00000107779.14	BMPR1A	protein_coding	10	86756600	86932825	oncogene, TSG	1	1
ENSG00000184923.12	NUTM2A	protein_coding	10	87225447	87236908		1	0
ENSG00000214562.15	NUTM2D	protein_coding	10	87357719	87370695	fusion	1	1
ENSG00000171862.11	PTEN	protein_coding	10	87863624	87971930	TSG	1	1
ENSG00000026103.22	FAS	protein_coding	10	88990530	89017059	TSG	1	1
ENSG00000107864.15	CPEB3	protein_coding	10	92046691	92291078	TSG	0	1
ENSG00000138115.15	CYP2C8	protein_coding	10	95036771	95069497		0	1
ENSG00000095587.9	TLL2	protein_coding	10	96364607	96513926		1	0
ENSG00000107807.13	TLX1	protein_coding	10	101131299	101137789	oncogene, fusion	1	1
ENSG00000107831.14	FGF8	protein_coding	10	101770108	101780371	ONCOGENE	1	0
ENSG00000198408.14	OGA	protein_coding	10	101784442	101818465	ONCOGENE	1	0
ENSG00000077150.20	NFKB2	protein_coding	10	102394109	102402524	oncogene, TSG, fusion	1	1
ENSG00000107882.12	SUFU	protein_coding	10	102503971	102633535	TSG	1	1
ENSG00000148795.7	CYP17A1	protein_coding	10	102830530	102837472		1	0
ENSG00000076685.19	NT5C2	protein_coding	10	103087184	103277605	oncogene	1	1
ENSG00000148843.15	PDCD11	protein_coding	10	103396625	103446294		1	0
ENSG00000148834.13	GSTO1	protein_coding	10	104235355	104267459	ONCOGENE	1	0
ENSG00000108055.10	SMC3	protein_coding	10	110567694	110606048	TSG	1	0
ENSG00000108061.12	SHOC2	protein_coding	10	110919592	111013666	ONCOGENE	1	0
ENSG00000151532.14	VTI1A	protein_coding	10	112446997	112818744	fusion	0	1
ENSG00000148737.17	TCF7L2	protein_coding	10	112950246	113167678	oncogene, fusion	1	1
ENSG00000187164.20	SHTN1	protein_coding	10	116881476	117126586	fusion	0	1
ENSG00000066468.24	FGFR2	protein_coding	10	121478331	121598458	oncogene, fusion	1	1
ENSG00000148773.14	MKI67	protein_coding	10	128096658	128126423	ONCOGENE	1	0
ENSG00000170430.10	MGMT	protein_coding	10	129467189	129770983	TSG	0	1
ENSG00000174775.18	HRAS	protein_coding	11	532241	537321	oncogene	1	1
ENSG00000184956.16	MUC6	protein_coding	11	1012822	1036718		0	1
ENSG00000167244.21	IGF2	protein_coding	11	2129111	2141238	ONCOGENE	1	0
ENSG00000129757.15	CDKN1C	protein_coding	11	2883212	2885775	TSG	1	0
ENSG00000110619.18	CARS1	protein_coding	11	3000921	3057613		1	0
ENSG00000110713.17	NUP98	protein_coding	11	3671082	3797792	oncogene, fusion	1	1
ENSG00000166407.14	LMO1	protein_coding	11	8224308	8268716	oncogene, fusion	1	1
ENSG00000166483.12	WEE1	protein_coding	11	9573669	9593457	TSG	1	0
ENSG00000198730.9	CTR9	protein_coding	11	10751245	10801625	TSG	1	0
ENSG00000050165.19	DKK3	protein_coding	11	11956206	12009769	INSUFFICIENT_EVIDENCE	1	0
ENSG00000133818.14	RRAS2	protein_coding	11	14277921	14364506	oncogene	1	1
ENSG00000129152.4	MYOD1	protein_coding	11	17719570	17722136	oncogene	1	1
ENSG00000109854.14	HTATIP2	protein_coding	11	20363684	20383782	TSG	1	0
ENSG00000183161.6	FANCF	protein_coding	11	22622532	22625823	TSG	1	1
ENSG00000184937.16	WT1	protein_coding	11	32387774	32435564	oncogene, TSG, fusion	1	1
ENSG00000135363.12	LMO2	protein_coding	11	33858575	33892076	oncogene, fusion	1	1
ENSG00000110436.13	SLC1A2	protein_coding	11	35251204	35420063		1	0
ENSG00000151348.16	EXT2	protein_coding	11	44095647	44251962	TSG	1	1
ENSG00000157613.11	CREB3L1	protein_coding	11	46277661	46321409	TSG, fusion	1	1
ENSG00000134574.12	DDB2	protein_coding	11	47214464	47239217	oncogene, TSG	1	1
ENSG00000123444.14	KBTBD4	protein_coding	11	47572196	47578976	INSUFFICIENT_EVIDENCE	1	0
ENSG00000086205.18	FOLH1	protein_coding	11	49145091	49208638	ONCOGENE	1	0
ENSG00000134817.11	APLNR	protein_coding	11	57233576	57237235	ONCOGENE_AND_TSG	1	0
ENSG00000172409.7	CLP1	protein_coding	11	57648187	57661865	fusion	1	1
ENSG00000198561.16	CTNND1	protein_coding	11	57753242	57819546		0	1
ENSG00000197629.6	MPEG1	protein_coding	11	59208509	59212927	NEITHER	1	0
ENSG00000156738.18	MS4A1	protein_coding	11	60455845	60470752	INSUFFICIENT_EVIDENCE	1	0
ENSG00000167985.7	SDHAF2	protein_coding	11	61430041	61446733	TSG	1	1
ENSG00000168496.4	FEN1	protein_coding	11	61792910	61797238	TSG	0	1
ENSG00000173511.10	VEGFB	protein_coding	11	64234583	64239264	ONCOGENE	1	0
ENSG00000162302.13	RPS6KA4	protein_coding	11	64359147	64372215	ONCOGENE	1	0
ENSG00000133895.18	MEN1	protein_coding	11	64803509	64811294	TSG	1	1
ENSG00000251562.8	MALAT1	lncRNA	11	65497687	65506516	oncogene, TSG, fusion	0	1
ENSG00000173039.19	RELA	protein_coding	11	65653596	65663090	fusion, oncogene	1	1
ENSG00000087365.16	SF3B2	protein_coding	11	66050728	66069308	ONCOGENE	1	0
ENSG00000173599.15	PC	protein_coding	11	66848416	66958386		1	0
ENSG00000175634.15	RPS6KB2	protein_coding	11	67428459	67435401	ONCOGENE	1	0
ENSG00000110711.11	AIP	protein_coding	11	67468173	67491154	ONCOGENE_AND_TSG	1	0
ENSG00000084207.18	GSTP1	protein_coding	11	67583741	67586656	TSG	1	0
ENSG00000162337.12	LRP5	protein_coding	11	68312590	68449275	ONCOGENE_AND_TSG	1	0
ENSG00000110092.4	CCND1	protein_coding	11	69641155	69654474	oncogene, fusion	1	1
ENSG00000162344.4	FGF19	protein_coding	11	69698237	69704022	ONCOGENE	1	0
ENSG00000075388.4	FGF4	protein_coding	11	69771021	69775341	ONCOGENE	1	0
ENSG00000186895.4	FGF3	protein_coding	11	69809967	69819416	ONCOGENE	1	0
ENSG00000168040.5	FADD	protein_coding	11	70203295	70207390		0	1
ENSG00000137497.18	NUMA1	protein_coding	11	72002863	72080693	fusion	1	1
ENSG00000110195.14	FOLR1	protein_coding	11	72189557	72196323	ONCOGENE	1	0
ENSG00000165458.14	INPPL1	protein_coding	11	72223700	72239147	TSG	1	0
ENSG00000158636.16	EMSY	protein_coding	11	76444922	76553025	ONCOGENE	1	0
ENSG00000149269.10	PAK1	protein_coding	11	77322016	77474635	ONCOGENE	1	0
ENSG00000033327.13	GAB2	protein_coding	11	78215292	78418348	ONCOGENE	1	0
ENSG00000073921.18	PICALM	protein_coding	11	85957174	86069882	fusion	1	1
ENSG00000074266.22	EED	protein_coding	11	86244752	86278813	TSG	1	1
ENSG00000165323.16	FAT3	protein_coding	11	92224817	92896473		0	1
ENSG00000020922.13	MRE11	protein_coding	11	94415569	94493885	TSG	1	0
ENSG00000149212.12	SESN3	protein_coding	11	95165512	95232541	TSG	1	0
ENSG00000184384.14	MAML2	protein_coding	11	95976597	96343195	oncogene, fusion	1	1
ENSG00000082175.15	PGR	protein_coding	11	101029623	101129813	ONCOGENE	1	0
ENSG00000137693.14	YAP1	protein_coding	11	102110446	102233424	fusion, oncogene	1	1
ENSG00000023445.16	BIRC3	protein_coding	11	102317449	102339403	oncogene, TSG, fusion	1	1
ENSG00000149311.20	ATM	protein_coding	11	108223043	108369102	TSG	1	1
ENSG00000178105.11	DDX10	protein_coding	11	108665068	108940927	TSG, fusion	1	1
ENSG00000110777.12	POU2AF1	protein_coding	11	111352254	111455630	oncogene, fusion	1	1
ENSG00000204370.13	SDHD	protein_coding	11	112086823	112120016	TSG	1	1
ENSG00000109906.15	ZBTB16	protein_coding	11	114059040	114256765	TSG, fusion	1	1
ENSG00000168092.14	PAFAH1B2	protein_coding	11	117144283	117176894	fusion	1	1
ENSG00000160613.14	PCSK7	protein_coding	11	117204336	117232525		1	0
ENSG00000118058.23	KMT2A	protein_coding	11	118436489	118526832	oncogene, fusion	1	1
ENSG00000110367.13	DDX6	protein_coding	11	118747762	118791164	oncogene, fusion	1	1
ENSG00000186174.13	BCL9L	protein_coding	11	118893874	118925926	oncogene, TSG	1	1
ENSG00000176302.13	FOXR1	protein_coding	11	118971711	118981287	oncogene, fusion	0	1
ENSG00000110395.7	CBL	protein_coding	11	119206297	119313926	oncogene, TSG, fusion	1	1
ENSG00000196914.9	ARHGEF12	protein_coding	11	120336412	120489937	TSG, fusion	1	1
ENSG00000149554.14	CHEK1	protein_coding	11	125625162	125676255	TSG	1	0
ENSG00000134954.14	ETS1	protein_coding	11	128458760	128587558	ONCOGENE_AND_TSG	1	0
ENSG00000151702.17	FLI1	protein_coding	11	128686534	128813267	oncogene, fusion	1	1
ENSG00000120457.12	KCNJ5	protein_coding	11	128891355	128921163	oncogene	1	1
ENSG00000073614.13	KDM5A	protein_coding	12	280056	389320	oncogene, fusion	1	1
ENSG00000002016.18	RAD52	protein_coding	12	911735	990053	INSUFFICIENT_EVIDENCE	1	0
ENSG00000082805.20	ERC1	protein_coding	12	990508	1495933	fusion	1	1
ENSG00000118971.9	CCND2	protein_coding	12	4269770	4305353	oncogene, fusion	1	1
ENSG00000078237.7	TIGAR	protein_coding	12	4307762	4360028	ONCOGENE	1	0
ENSG00000118972.3	FGF23	protein_coding	12	4368226	4379712	ONCOGENE	1	0
ENSG00000111241.3	FGF6	protein_coding	12	4428154	4445815	ONCOGENE	1	0
ENSG00000111642.16	CHD4	protein_coding	12	6570081	6614524	oncogene	1	1
ENSG00000126746.18	ZNF384	protein_coding	12	6666476	6689572	fusion	1	1
ENSG00000111679.17	PTPN6	protein_coding	12	6946467	6961316	TSG	1	1
ENSG00000139083.11	ETV6	protein_coding	12	11649673	11895377	TSG, fusion	1	1
ENSG00000070018.9	LRP6	protein_coding	12	12116024	12267044	ONCOGENE	1	0
ENSG00000111276.12	CDKN1B	protein_coding	12	12685497	12722369	TSG	1	1
ENSG00000151490.15	PTPRO	protein_coding	12	15322256	15602175		1	0
ENSG00000139144.11	PIK3C2G	protein_coding	12	18242960	18648416	INSUFFICIENT_EVIDENCE	1	0
ENSG00000004700.16	RECQL	protein_coding	12	21468909	21501669	TSG	1	0
ENSG00000139163.16	ETNK1	protein_coding	12	22625074	22690665	TSG	1	1
ENSG00000133703.13	KRAS	protein_coding	12	25205245	25250936	oncogene	1	1
ENSG00000110841.14	PPFIBP1	protein_coding	12	27523430	27695564	fusion	1	1
ENSG00000188375.5	H3-5	protein_coding	12	31791184	31792298	NEITHER	1	0
ENSG00000188906.17	LRRK2	protein_coding	12	40196743	40369285		1	0
ENSG00000189079.17	ARID2	protein_coding	12	45729705	45908040	TSG	1	1
ENSG00000061273.18	HDAC7	protein_coding	12	47782721	47833132	ONCOGENE	1	0
ENSG00000139219.19	COL2A1	protein_coding	12	47972966	48004554	fusion	1	1
ENSG00000167548.17	KMT2D	protein_coding	12	49018977	49060794	oncogene, TSG	1	1
ENSG00000110844.14	PRPF40B	protein_coding	12	49568217	49644666		0	1
ENSG00000066117.15	SMARCD1	protein_coding	12	50085199	50100707	TSG	1	1
ENSG00000123268.9	ATF1	protein_coding	12	50763709	50821162	oncogene, fusion	1	1
ENSG00000135503.13	ACVR1B	protein_coding	12	51951698	51997078	TSG	1	1
ENSG00000123364.5	HOXC13	protein_coding	12	53938830	53946544	oncogene, fusion	1	1
ENSG00000123388.4	HOXC11	protein_coding	12	53973125	53977643	oncogene, fusion	1	1
ENSG00000123405.14	NFE2	protein_coding	12	54292110	54301015	ONCOGENE	1	0
ENSG00000065361.17	ERBB3	protein_coding	12	56076798	56103505	oncogene	1	1
ENSG00000170581.14	STAT2	protein_coding	12	56341596	56360167	INSUFFICIENT_EVIDENCE	1	0
ENSG00000196531.14	NACA	protein_coding	12	56712304	56731628	fusion	1	1
ENSG00000166886.13	NAB2	protein_coding	12	57089042	57095476	TSG, fusion	1	1
ENSG00000166888.12	STAT6	protein_coding	12	57095407	57132139	oncogene, fusion	1	1
ENSG00000111087.10	GLI1	protein_coding	12	57459784	57472268	oncogene, fusion	1	1
ENSG00000175197.13	DDIT3	protein_coding	12	57516587	57521737	oncogene, fusion	1	1
ENSG00000166987.15	MBD6	protein_coding	12	57520709	57530148	TSG	1	0
ENSG00000135446.17	CDK4	protein_coding	12	57747726	57756013	oncogene	1	1
ENSG00000139263.12	LRIG3	protein_coding	12	58872148	58920504	TSG, fusion	1	1
ENSG00000156076.10	WIF1	protein_coding	12	65050625	65121305	TSG, fusion	1	1
ENSG00000149948.14	HMGA2	protein_coding	12	65824459	65966291	oncogene, fusion	1	1
ENSG00000127314.18	RAP1B	protein_coding	12	68610854	68671901	oncogene	0	1
ENSG00000135679.26	MDM2	protein_coding	12	68808176	68845544	oncogene	1	1
ENSG00000166225.9	FRS2	protein_coding	12	69470348	69579793	ONCOGENE	1	0
ENSG00000127329.16	PTPRB	protein_coding	12	70515869	70637440	TSG	1	1
ENSG00000139292.13	LGR5	protein_coding	12	71439797	71586310	ONCOGENE	1	0
ENSG00000133639.6	BTG1	protein_coding	12	92140277	92145846	TSG, fusion	1	1
ENSG00000120833.14	SOCS2	protein_coding	12	93569813	93583487		1	0
ENSG00000136014.12	USP44	protein_coding	12	95516559	95551476	TSG	0	1
ENSG00000017427.17	IGF1	protein_coding	12	102395873	102481744	ONCOGENE	1	0
ENSG00000139352.4	ASCL1	protein_coding	12	102957673	102960513	ONCOGENE	1	0
ENSG00000171310.11	CHST11	protein_coding	12	104455294	104762014	oncogene, fusion	0	1
ENSG00000136010.14	ALDH1L2	protein_coding	12	105019783	105107643	ONCOGENE	1	0
ENSG00000139445.18	FOXN4	protein_coding	12	109277977	109309284	ONCOGENE	1	0
ENSG00000111252.11	SH2B3	protein_coding	12	111405922	111451623	TSG	1	1
ENSG00000204842.18	ATXN2	protein_coding	12	111443484	111599676	TSG	1	0
ENSG00000111275.13	ALDH2	protein_coding	12	111766886	111817532	fusion	1	1
ENSG00000179295.18	PTPN11	protein_coding	12	112418350	112509918	oncogene	1	1
ENSG00000135144.7	DTX1	protein_coding	12	113056708	113098028	TSG	1	0
ENSG00000135111.16	TBX3	protein_coding	12	114670254	114684175	oncogene, TSG	1	1
ENSG00000171435.14	KSR2	protein_coding	12	117453011	117968990	ONCOGENE	1	0
ENSG00000111737.12	RAB35	protein_coding	12	120095098	120117502	ONCOGENE	1	0
ENSG00000135097.7	MSI1	protein_coding	12	120341329	120369164	ONCOGENE	1	0
ENSG00000135100.19	HNF1A	protein_coding	12	120978542	121002512	TSG	1	1
ENSG00000089094.19	KDM2B	protein_coding	12	121429095	121581023		1	0
