icdom	icdom_label	icdot	icdot_label	ncit	ncit_label	ncit_depth	count
80703	Squamous cell carcinoma, NOS	C06.9	Mouth, NOS	C4833	Oral Cavity Squamous Cell Carcinoma	7	1
84803	Mucinous adenocarcinoma	C16.9	Stomach, NOS	C5248	Mucinous Gastric Adenocarcinoma	8	1
81403	Adenocarcinoma, NOS	C61.9	Prostate gland	C2919	Prostate Adenocarcinoma	9	1
80103	Carcinoma, NOS	C57.9	other female genital	C2916	Carcinoma	3	1
91863	Central osteosarcoma	C40.0	Bones and joints	C35870	Conventional Osteosarcoma	9	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C17.9	Small intestine, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C16.9	Stomach, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C18.9	Colon, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
88900	Leiomyoma, NOS	C15.9	Esophagus, NOS	C3866	Esophageal Leiomyoma	9	1
88900	Leiomyoma, NOS	C55.9	Uterus, NOS	C3434	Uterine Corpus Leiomyoma	9	1
95600	Neurilemoma, NOS 	C47.9	Autonomic nervous system, NOS	C6970	Melanotic Schwannoma	-1	2
95600	Neurilemoma, NOS 	C47.9	Autonomic nervous system, NOS	C3269	Schwannoma	5	2
80703	Squamous cell carcinoma, NOS	C34.9	Lung, NOS	C3493	Lung Squamous Cell Carcinoma	6	1
81403	Adenocarcinoma, NOS	C34.9	Lung, NOS	C3512	Lung Adenocarcinoma	7	1
82473	Merkel cell carcinoma	C44.9	Skin, NOS	C9231	Merkel Cell Carcinoma	6	1
97323	Multiple myeloma	C42.1	Bone marrow	C3242	Plasma Cell Myeloma	8	1
97651	Monoclonal gammopathy of undetermined significance	C42.1	Bone marrow	C3996	Monoclonal Gammopathy of Undetermined Significance	8	1
97613	Waldenstrom macroglobulinemia 	C42.1	Bone marrow	C80307	Waldenstrom Macroglobulinemia	11	1
95813	Alveolar soft part sarcoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3750	Alveolar Soft Part Sarcoma	6	1
90503	Mesothelioma, malignant 	C38.4	Pleura, NOS	C9351	Pleural Mesothelioma	4	2
90503	Mesothelioma, malignant 	C38.4	Pleura, NOS	C7376	Pleural Malignant Mesothelioma	5	2
90523	Epithelioid mesothelioma, malignant 	C38.4	Pleura, NOS	C45662	Pleural Epithelioid Mesothelioma	7	2
90523	Epithelioid mesothelioma, malignant 	C38.4	Pleura, NOS	C7985	Epithelioid Mesothelioma	6	2
80103	Carcinoma, NOS	C34.9	Lung, NOS	C4878	Lung Carcinoma	5	3
80103	Carcinoma, NOS	C34.9	Lung, NOS	C35875	Bronchogenic carcinoma	6	3
80103	Carcinoma, NOS	C34.9	Lung, NOS	C45540	Lung Sarcomatoid Carcinoma	7	3
80123	Large cell carcinoma, NOS	C34.9	Lung, NOS	C4450	Lung Large Cell Carcinoma	7	1
88150	Solitary fibrous tumor 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C7634	Solitary Fibrous Tumor	5	1
91501	Hemangiopericytoma, NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3087	Hemangiopericytoma	-1	1
95300	Meningioma, NOS 	C70.0	meninges cerebral, spinal	C3230	Meningioma	5	1
95303	Meningioma, malignant 	C70.0	meninges cerebral, spinal	C4051	Anaplastic (Malignant) Meningioma	7	1
81403	Adenocarcinoma, NOS	C25.9	Pancreas, NOS	C8294	Pancreatic Adenocarcinoma	7	1
84803	Mucinous adenocarcinoma	C56.9	Ovary	C5243	Ovarian Mucinous Adenocarcinoma	10	1
84413	Serous cystadenocarcinoma, NOS	C56.9	Ovary	C7978	Ovarian serous cystadenocarcinoma	11	3
84413	Serous cystadenocarcinoma, NOS	C56.9	Ovary	C105555	High Grade Ovarian Serous Adenocarcinoma	11	3
84413	Serous cystadenocarcinoma, NOS	C56.9	Ovary	C7550	Ovarian Serous Adenocarcinoma	10	3
80103	Carcinoma, NOS	C56.9	Ovary	C4908	Ovarian Carcinoma	8	2
80103	Carcinoma, NOS	C56.9	Ovary	C4381	Ovarian Epithelial Tumor	6	2
81403	Adenocarcinoma, NOS	C56.9	Ovary	C7700	Ovarian adenocarcinoma	9	2
81403	Adenocarcinoma, NOS	C56.9	Ovary	C105556	Low Grade Ovarian Serous Adenocarcinoma	11	2
94503	Oligodendroglioma, NOS 	C71.9	Brain, NOS	C3288	Oligodendroglioma	8	1
80103	Carcinoma, NOS	C21.9	anal canal and anus	C9291	Anal Carcinoma 	5	1
88513	Liposarcoma, well differentiated 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C4250	Well Differentiated Liposarcoma	7	1
88500	Lipoma, NOS	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3192	Lipoma	6	1
83803	Endometrioid adenocarcinoma, NOS	C55.9	Uterus, NOS	C6287	Endometrial Endometrioid Adenocarcinoma	12	1
88303	Malignant fibrous histiocytoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C4247	Undifferentiated Pleomorphic Sarcoma	7	1
88903	Leiomyosarcoma,NOS 	C55.9	Uterus, NOS	C6340	Uterine Corpus Leiomyosarcoma	9	1
81403	Adenocarcinoma, NOS	C18.9	Colon, NOS	C4349	Colon Adenocarcinoma	8	3
81403	Adenocarcinoma, NOS	C18.9	Colon, NOS	C5105	Colorectal Adenocarcinoma	7	3
81403	Adenocarcinoma, NOS	C18.9	Colon, NOS	C2852	Colon Adenocarcinoma	4	3
95003	Neuroblastoma, NOS 	C47.9	Autonomic nervous system, NOS	C3270	Neuroblastoma	7	1
96903	Follicular lymphoma, NOS	C77.9	Lymph node, NOS	C3209	Follicular Lymphoma	9	2
96903	Follicular lymphoma, NOS	C77.9	Lymph node, NOS	C80297	Pediatric-Type Follicular Lymphoma	10	2
96873	Burkitt lymphoma, NOS	C77.9	Lymph node, NOS	C131911	Burkitt-Like Lymphoma with 11q Aberration	9	2
96873	Burkitt lymphoma, NOS	C77.9	Lymph node, NOS	C2912	Burkitt lymphoma	9	2
98233	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma	C77.9	Lymph node, NOS	C3163	Chronic lymphocytic leukemia	8	1
92100	Osteochondroma	C40.0	Bones and joints	C3295	Osteochondroma	-1	1
95003	Neuroblastoma, NOS 	C72.9	Nervous system, NOS	C3270	Neuroblastoma	7	1
98743	Acute myeloid leukemia with maturation FAB M2, NOS	C42.1	Bone marrow	C3250	Acute Myeloid Leukemia with Maturation	8	1
98733	Acute myeloid leukemia without maturation	C42.1	Bone marrow	C3249	Acute Myeloid Leukemia without Maturation	8	1
98673	Acute myelomonocytic leukemia, NOS	C42.1	Bone marrow	C7463	Acute myelomonocytic leukemia	8	1
98403	Acute erythroid leukemia	C42.1	Bone marrow	C8923	Acute Erythroid Leukemia	8	2
98403	Acute erythroid leukemia	C42.1	Bone marrow	C7152	Erythroleukemia	-1	2
98913	Acute monocytic leukemia	C42.1	Bone marrow	C9163	Childhood acute monocytic leukemia	10	3
98913	Acute monocytic leukemia	C42.1	Bone marrow	C4861	Acute Monocytic Leukemia	9	3
98913	Acute monocytic leukemia	C42.1	Bone marrow	C8263	Adult acute monocytic leukemia	10	3
96993	Marginal zone B-cell lymphoma, NOS	C16.9	Stomach, NOS	C5266	Gastric Mucosa-Associated Lymphoid Tissue Lymphoma	13	1
96993	Marginal zone B-cell lymphoma, NOS	C50.9	Breast, NOS	C4341	Marginal Zone Lymphoma	10	1
96993	Marginal zone B-cell lymphoma, NOS	C77.9	Lymph node, NOS	C8863	Nodal Marginal Zone Lymphoma	11	2
96993	Marginal zone B-cell lymphoma, NOS	C77.9	Lymph node, NOS	C4341	Marginal Zone Lymphoma	10	2
96893	Splenic marginal zone B-cell lymphoma	C42.2	Spleen	C4663	Splenic Marginal Zone Lymphoma	11	1
97333	Plasma cell leukemia	C42.1	Bone marrow	C3180	Plasma Cell Leukemia	8	1
92603	Ewing sarcoma 	C40.0	Bones and joints	C4817	Ewing Sarcoma	4	1
81403	Adenocarcinoma, NOS	C55.9	Uterus, NOS	C7359	Endometrial adenocarcinoma	10	1
92203	Chondrosarcoma, NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C2946	Chondrosarcoma	5	1
81703	Hepatocellular carcinoma, NOS	C22.0	Liver	C3099	Hepatocellular Carcinoma	7	3
81703	Hepatocellular carcinoma, NOS	C22.0	Liver	C7955	Childhood hepatocellular carcinoma	8	3
81703	Hepatocellular carcinoma, NOS	C22.0	Liver	C7956	Adult hepatocellular carcinoma	8	3
88503	Liposarcoma, NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3194	Liposarcoma	6	1
88523	Myxoid liposarcoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C27781	Myxoid Liposarcoma	7	1
88543	Pleomorphicliposarcoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3705	Pleomorphic Liposarcoma	7	1
93623	Pineoblastoma 	C75.3	Pineal gland	C9344	Pineoblastoma	9	2
93623	Pineoblastoma 	C75.3	Pineal gland	C6967	Pineal Parenchymal Tumor of Intermediate Differentiation	9	2
94423	Gliosarcoma	C71.9	Brain, NOS	C3796	Gliosarcoma	10	1
81400	Adenoma, NOS	C18.9	Colon, NOS	C3864	Colon Adenoma	7	1
81400	Adenoma, NOS	C20.9	Rectum, NOS	C5546	Rectal Adenoma	7	1
81401	Atypical adenoma	C18.9	Colon, NOS	C7559	Atypical Adenoma	4	1
81401	Atypical adenoma	C20.9	Rectum, NOS	C7559	Atypical Adenoma	4	1
81403	Adenocarcinoma, NOS	C20.9	Rectum, NOS	C9383	Rectal Adenocarcinoma	8	1
90603	Dysgerminoma	C62.9	Testis, NOS	C2996	Dysgerminoma	4	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C42.2	Spleen	C8851	Diffuse Large B-Cell Lymphoma	9	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C48.9	retroperitoneum and peritoneum	C8851	Diffuse Large B-Cell Lymphoma	9	1
80103	Carcinoma, NOS	C53.9	Cervix uteri	C9039	Cervical Carcinoma	8	1
80772	Squamous intraepithelial neoplasia, grade III	C53.9	Cervix uteri	C40197	High Grade Cervical Squamous Intraepithelial Neoplasia	9	1
85003	Infiltrating duct carcinoma, NOS	C50.9	Breast, NOS	C4194	Invasive ductal carcinoma, not otherwise specified	7	3
85003	Infiltrating duct carcinoma, NOS	C50.9	Breast, NOS	C4017	Ductal breast carcinoma	6	3
85003	Infiltrating duct carcinoma, NOS	C50.9	Breast, NOS	C9245	Invasive Breast Carcinoma	5	3
83173	RENAL CELL CARCINOMA, CHROMOPHOBE TYPE	C64.9	Kidney, NOS	C4146	Chromophobe Renal Cell Carcinoma	9	1
91203	Hemangiosarcoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3088	Angiosarcoma	6	1
83103	Clear cell adenocarcinoma, NOS	C56.9	Ovary	C40078	Ovarian Clear Cell Adenocarcinoma	10	1
94003	Astrocytoma,NOS	C71.6	Cerebellum	C60781	Astrocytoma	7	1
80703	Squamous cell carcinoma, NOS	C21.9	anal canal and anus	C2929	Squamous Cell Carcinoma	4	1
95223	Olfactory neuroblastoma 	C72.2	Olfactory nerve	C3789	Olfactory Neuroblastoma	9	1
83103	Clear cell adenocarcinoma, NOS	C55.9	Uterus, NOS	C3766	Clear Cell Adenocarcinoma	5	1
96993	Marginal zone B-cell lymphoma, NOS	C17.9	Small intestine, NOS	C4341	Marginal Zone Lymphoma	10	1
96993	Marginal zone B-cell lymphoma, NOS	C69.9	Eye, NOS	C4341	Marginal Zone Lymphoma	10	1
85603	Adenosquamous carcinoma 	C55.9	Uterus, NOS	C3727	Adenosquamous Carcinoma	5	1
88583	Dedifferentiated liposarcoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3704	Dedifferentiated Liposarcoma	7	1
93611	Pineocytoma	C75.3	Pineal gland	C6966	Pineocytoma	10	1
94713	Desmoplastic nodular medulloblastoma	C71.6	Cerebellum	C4956	Desmoplastic/Nodular Medulloblastoma	10	1
84413	Serous cystadenocarcinoma, NOS	C55.9	Uterus, NOS	C3778	Serous Cystadenocarcinoma	6	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C50.9	Breast, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
85203	Lobular carcinoma, NOS	C50.9	Breast, NOS	C7950	Invasive Lobular Breast Carcinoma	7	2
85203	Lobular carcinoma, NOS	C50.9	Breast, NOS	C3771	Lobular Breast Carcinoma	6	2
91203	Hemangiosarcoma 	C40.0	Bones and joints	C3088	Angiosarcoma	6	1
98663	Acute promyelocytic leukemia	C42.1	Bone marrow	C3182	Acute promyelocytic leukemia with PML-RARA	8	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C49.9	Connective, subcutaneous and other soft tissues, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
99823	Refractory anemia with sideroblasts	C42.1	Bone marrow	C4036	Myelodysplastic Syndrome with Ring Sideroblasts	6	1
99833	Refractory anemia with excess blasts	C42.1	Bone marrow	C7506	Myelodysplastic Syndrome with Excess Blasts	6	1
83123	Renal cell carcinoma, NOS	C64.9	Kidney, NOS	C9385	Renal Cell Carcinoma	8	1
85603	Adenosquamous carcinoma 	C34.9	Lung, NOS	C9133	Lung Adenosquamous Carcinoma	7	1
80333	Pseudosarcomatous carcinoma	C34.9	Lung, NOS	C27004	Sarcomatoid Carcinoma	4	1
87203	Malignant melanoma, NOS 	C44.9	Skin, NOS	C165497	Spitz Melanoma	5	3
87203	Malignant melanoma, NOS 	C44.9	Skin, NOS	C3510	Cutaneous Melanoma	4	3
87203	Malignant melanoma, NOS 	C44.9	Skin, NOS	C3224	Melanoma	3	3
94403	Glioblastoma,NOS	C71.6	Cerebellum	C3058	Glioblastoma	8	1
94403	Glioblastoma,NOS	C71.9	Brain, NOS	C3058	Glioblastoma	8	1
94403	Glioblastoma,NOS	C71.5	Ventricle, NOS	C3058	Glioblastoma	8	1
98613	Acute myeloid leukemia, NOS 	C42.1	Bone marrow	C3171	Acute Myeloid Leukemia	6	4
98613	Acute myeloid leukemia, NOS 	C42.1	Bone marrow	C9154	Adult acute myeloid leukemia	7	4
98613	Acute myeloid leukemia, NOS 	C42.1	Bone marrow	C9160	Childhood acute myeloid leukemia	7	4
98613	Acute myeloid leukemia, NOS 	C42.1	Bone marrow	C27753	Acute Myeloid Leukemia Not Otherwise Specified	7	4
83103	Clear cell adenocarcinoma, NOS	C64.9	Kidney, NOS	C4033	Clear Cell Renal Cell Carcinoma	9	1
82603	Papillary adenocarcinoma, NOS	C64.9	Kidney, NOS	C6975	Papillary Renal Cell Carcinoma	9	1
97263	Primary cutaneous gamma-delta-T-cell lymphoma	C44.9	Skin, NOS	C45340	Primary cutaneous gamma-delta-T-cell lymphoma	11	1
99893	Myelodysplastic syndrome, NOS	C42.1	Bone marrow	C3247	Myelodysplastic syndrome	5	1
99603	Myeloproliferative neoplasm, NOS 	C42.1	Bone marrow	C4345	Myeloproliferative Neoplasm	5	1
85103	Medullary carcinoma, NOS	C73.9	Thyroid gland	C46099	Hereditary thyroid gland medullary carcinoma	8	2
85103	Medullary carcinoma, NOS	C73.9	Thyroid gland	C3879	Thyroid Gland Medullary Carcinoma	7	2
94403	Glioblastoma,NOS	C71.7	Brain stem	C3058	Glioblastoma	8	1
96733	Mantle cell lymphoma 	C18.9	Colon, NOS	C4337	Mantle Cell Lymphoma	9	1
97273	Precursor cell lymphoblastic lymphoma, NOS	C42.1	Bone marrow	C9360	Lymphoblastic Lymphoma	7	1
97093	Cutaneous T-cell lymphoma, NOS	C44.9	Skin, NOS	C3467	Primary cutaneous T-cell non-Hodgkin lymphoma	9	1
93703	Chordoma, NOS 	C72.0	Spinal cord	C2947	Chordoma	6	1
93703	Chordoma, NOS 	C41.9	Bone, NOS	C2947	Chordoma	6	1
98013	Acute leukemia, NOS	C42.1	Bone marrow	C7464	Acute Leukemia of Ambiguous Lineage	6	1
80003	Neoplasm, malignant	C44.9	Skin, NOS	C2920	Malignant Skin Neoplasm	3	1
88323	Dermatofibrosarcoma, NO 	C50.9	Breast, NOS	C4683	Dermatofibrosarcoma Protuberans	6	1
92603	Ewing sarcoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C4817	Ewing Sarcoma	4	1
93803	Glioma, malignant 	C71.0	cerebrum	C4822	Malignant Glioma	6	1
93803	Glioma, malignant 	C71.7	Brain stem	C94764	Diffuse Intrinsic Pontine Glioma	-1	2
93803	Glioma, malignant 	C71.7	Brain stem	C4822	Malignant Glioma	6	2
94003	Astrocytoma,NOS	C71.7	Brain stem	C60781	Astrocytoma	7	1
83803	Endometrioid adenocarcinoma, NOS	C57.9	other female genital	C3769	Endometrioid Adenocarcinoma	6	1
99463	Juvenile myelomonocytic leukemia	C42.1	Bone marrow	C9233	Juvenile Myelomonocytic Leukemia	6	1
94733	CNS primitive neuroectodermal tumor (PNET)	C71.0	cerebrum	C3716	Primitive Neuroectodermal Tumor	5	1
82203	Adenocarcinoma in adenomatous polyposis coli	C18.9	Colon, NOS	C4134	Adenocarcinoma in Adenomatous Polyposis Coli	7	1
95003	Neuroblastoma, NOS 	C71.0	cerebrum	C3270	Neuroblastoma	7	1
83700	Adrenal cortical adenoma, NOS	C74.0	Cortex of adrenal gland	C9003	Adrenal Cortex Adenoma	7	1
83703	Adrenal cortical carcinoma	C74.0	Cortex of adrenal gland	C9325	Adrenal Cortex Carcinoma	7	1
85893	Carcinoma showing thymus-like element	C73.9	Thyroid gland	C46106	Thyroid Gland Carcinoma Showing Thymus-Like Differentiation	7	1
80463	Non-small cell carcinoma	C34.9	Lung, NOS	C2926	Lung Non-Small Cell Carcinoma	6	1
99103	Acute megakaryoblastic leukemia	C42.1	Bone marrow	C7965	Adult acute megakaryoblastic leukemia	9	3
99103	Acute megakaryoblastic leukemia	C42.1	Bone marrow	C3170	Acute Megakaryoblastic Leukemia	8	3
99103	Acute megakaryoblastic leukemia	C42.1	Bone marrow	C7972	Childhood acute megakaryoblastic leukemia	9	3
99203	acute myeloid leukemia	C42.1	Bone marrow	C27912	Therapy-Related Myeloid Neoplasm	5	1
87203	Malignant melanoma, NOS 	C69.9	Eye, NOS	C8562	Ocular Melanoma	4	1
95913	Malignant lymphoma, non-Hodgkin, NOS 	C77.9	Lymph node, NOS	C3457	B-cell non-Hodgkin lymphoma	7	2
95913	Malignant lymphoma, non-Hodgkin, NOS 	C77.9	Lymph node, NOS	C3211	Non-Hodgkin Lymphoma	6	2
81403	Adenocarcinoma, NOS	C18.7	Sigmoid colon	C43584	Rectosigmoid Adenocarcinoma	8	1
94203	Fibrillary astrocytoma	C71.9	Brain, NOS	C4322	Fibrillary Astrocytoma	9	1
94113	Gemistocytic astrocytoma	C71.9	Brain, NOS	C4321	Gemistocytic Astrocytoma	9	1
93823	Mixed glioma 	C71.9	Brain, NOS	C4050	Oligoastrocytoma	8	3
93823	Mixed glioma 	C71.9	Brain, NOS	C6959	Anaplastic Oligoastrocytoma	8	3
93823	Mixed glioma 	C71.9	Brain, NOS	C3903	Mixed Glioma	7	3
80703	Squamous cell carcinoma, NOS	C10.9	Oropharynx, NOS	C8181	Oropharynx Squamous Cell Carcinoma	9	1
81403	Adenocarcinoma, NOS	C77.9	Lymph node, NOS	C2852	Colon Adenocarcinoma	4	1
87203	Malignant melanoma, NOS 	C77.9	Lymph node, NOS	C8711	Non-Cutaneous Melanoma	4	1
87700	Epithelioid and spindle cell nevus 	C44.9	Skin, NOS	C27007	Spitz Nevus	5	1
84803	Mucinous adenocarcinoma	C01.9	tongue	C26712	Mucinous Adenocarcinoma	5	1
80823	Lymphoepithelial carcinoma	C11.9	Nasopharynx, NOS	C4107	Nasopharyngeal Type Undifferentiated Carcinoma	5	1
94403	Glioblastoma,NOS	C72.3	Optic chiasm	C3058	Glioblastoma	8	1
96993	Marginal zone B-cell lymphoma, NOS	C42.4	Hematopoietic system, NOS	C4341	Marginal Zone Lymphoma	10	1
84703	Mucinous cystadenocarcinoma, NOS	C56.9	Ovary	C4026	Ovarian mucinous cystadenocarcinoma	11	1
99873	Therapy-related myelodysplastic syndrome, NOS	C42.1	Bone marrow	C27722	Therapy-Related Myelodysplastic Syndrome	7	1
81203	Transitional cell carcinoma, NOS	C67.0	Urinary bladder	C39851	Bladder Urothelial Carcinoma	7	1
99843	Refractory anemia with excess blasts in transformation	C42.1	Bone marrow	C27080	Refractory Anemia with Excess Blasts in Transformation	-1	1
87433	Superficial spreading melanoma	C44.9	Skin, NOS	C9152	Superficial Spreading Melanoma	5	1
96873	Burkitt lymphoma, NOS	C42.4	Hematopoietic system, NOS	C27694	EBV-related Burkitt lymphoma	10	2
96873	Burkitt lymphoma, NOS	C42.4	Hematopoietic system, NOS	C2912	Burkitt lymphoma	9	2
99453	Chronic myelomonocytic leukemia, NOS	C42.1	Bone marrow	C3178	Chronic Myelomonocytic Leukemia	6	1
97313	Plasmacytoma, NOS	C42.1	Bone marrow	C9349	Plasmacytoma	8	1
97023	Mature T-cell lymphoma, NOS	C42.4	Hematopoietic system, NOS	C4340	Peripheral T-Cell Lymphoma, Not Otherwise Specified	9	1
95913	Malignant lymphoma, non-Hodgkin, NOS 	C42.4	Hematopoietic system, NOS	C3211	Non-Hodgkin Lymphoma	6	1
96783	Primary effusion lymphoma	C42.4	Hematopoietic system, NOS	C6915	Primary effusion lymphoma	10	1
87000	Pheochromocytoma, NOS 	C64.9	Kidney, NOS	C3326	Adrenal Gland Pheochromocytoma	7	1
87000	Pheochromocytoma, NOS 	C71.9	Brain, NOS	C3326	Adrenal Gland Pheochromocytoma	7	1
94211	Pilocytic astrocytoma 	C71.9	Brain, NOS	C4047	Pilocytic Astrocytoma	8	1
98633	Chronic myeloid leukemia, NOS 	C42.1	Bone marrow	C3174	Chronic myelogenous leukemia, BCR-ABL1 positive	6	1
94103	Protoplasmic astrocytoma	C71.9	Brain, NOS	C4320	Protoplasmic Astrocytoma	9	1
99503	Polycythemia vera 	C42.1	Bone marrow	C3336	Polycythemia Vera	6	1
94743	Large cell medulloblastoma	C71.6	Cerebellum	C6904	Large Cell Medulloblastoma	10	1
94303	Astroblastoma 	C71.0	cerebrum	C4324	Astroblastoma	6	1
86801	Paraganglioma, NOS 	C67.0	Urinary bladder	C3308	Paraganglioma	5	1
84803	Mucinous adenocarcinoma	C49.9	Connective, subcutaneous and other soft tissues, NOS	C26712	Mucinous Adenocarcinoma	5	1
84803	Mucinous adenocarcinoma	C77.9	Lymph node, NOS	C26712	Mucinous Adenocarcinoma	5	1
96503	Hodgkin lymphoma, NOS 	C77.9	Lymph node, NOS	C9357	Hodgkin Lymphoma	6	2
96503	Hodgkin lymphoma, NOS 	C77.9	Lymph node, NOS	C7164	Classic Hodgkin Lymphoma	7	2
99313	Acute panmyelosis with myelofibrosis	C42.1	Bone marrow	C4344	Acute Panmyelosis with Myelofibrosis	8	1
80103	Carcinoma, NOS	C15.9	Esophagus, NOS	C3513	Esophageal Carcinoma	5	1
94243	Pleomorphic xanthoastrocytoma 	C71.0	cerebrum	C4323	Pleomorphic Xanthoastrocytoma	8	1
80103	Carcinoma, NOS	C18.9	Colon, NOS	C4910	Colon carcinoma	7	2
80103	Carcinoma, NOS	C18.9	Colon, NOS	C2955	Colorectal carcinoma	6	2
85603	Adenosquamous carcinoma 	C50.9	Breast, NOS	C3727	Adenosquamous Carcinoma	5	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C42.4	Hematopoietic system, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
95903	Malignant lymphoma, NOS 	C42.4	Hematopoietic system, NOS	C3208	Lymphoma	5	1
99623	Essentialthrombocythemia 	C42.1	Bone marrow	C3407	essential thrombocythemia	6	1
94130	Dysembryoplastic neuroepithelial tumor	C71.9	Brain, NOS	C9505	Dysembryoplastic Neuroepithelial Tumor	7	1
95091	Central neurocytoma 	C71.9	Brain, NOS	C92554	Papillary Glioneuronal Tumor	6	1
