gene_symbol	CHRO	BASESTART	BASESTOP	ENSEMBLGENEID	ENTREZGENEID
ABHD17C	15	80695310	80755621	NA	18
ABHD2	15	89088149	89202360	NA	19
ABHD3	18	21650896	21704805	NA	750
ABHD4	14	22598237	22612359	NA	757
ABHD5	3	43690882	43722725	NA	918
ABHD6	3	58237531	58294734	NA	1029
ABHD7	1	92030000	92063536	NA	1287
ABHD8	19	17292130	17303473	NA	89
ABHD9	19	15226924	15232957	NA	701
ABI1	10	26746595	26861087	NA	789
ABI2	2	203328238	203432173	NA	33
ABI3	17	49210226	49223225	NA	960
ABI3BP	3	100749334	100993490	NA	169
ABL1	9	130713880	130887675	NA	197
ABL2	1	179099326	179229684	NA	1951
ABLIM1	10	114431109	114684655	NA	1458
ABLIM2	4	7965309	8158832	NA	80
ABLIM3	5	149141482	149260438	NA	215
ABO	9	133255175	133275214	NA	1601
ABP1	7	150852523	150861291	NA	1735
ABR	17	1003517	1187322	NA	9
ABRA	8	106759482	106770244	NA	1399
ABRACL	6	139028681	139043302	NA	1645
ABT1	6	26596942	26600049	NA	787
ABTB1	3	127672937	127680926	NA	1559
ABTB2	11	34150986	34358008	NA	105
ACAA1	3	38122709	38137242	NA	875
ACAA2	18	49783503	49813881	NA	120
ACACA	17	37084991	37406811	NA	108
ACACB	12	109139396	109268225	NA	177
ACAD10	12	111686052	111757107	NA	1437
ACAD11	3	132558137	132660131	NA	199
ACAD8	11	134253539	134265852	NA	1609
ACAD9	3	128879489	128913114	NA	1568
ACADL	2	210187991	210225491	NA	2188
ACADM	1	75724346	75763678	NA	145
ACADS	12	120725737	120740008	NA	1506
ACADSB	10	123008912	123058290	NA	1523
ACADVL	17	7217124	7225267	NA	640
ACAN	15	88803442	88875354	NA	157
ACAP1	17	7336528	7351474	NA	9
ACAP2	3	195274735	195443088	NA	259
ACAP3	1	1292383	1307889	NA	594
ACAT1	11	108121530	108148164	NA	176
ACAT2	6	159761956	159779112	NA	225
ACBD3	1	226144678	226186722	NA	2310
ACBD4	17	45132599	45144176	NA	929
ACBD5	10	27195213	27242139	NA	792
ACBD6	1	180288216	180502887	NA	30
ACBD7	10	15075474	15088776	NA	700
ACCN1	17	33013919	34156573	NA	1
ACCN2	12	50058743	50083099	NA	120
ACCN3	7	151048883	151052684	NA	1737
ACCN4	2	219514169	219538772	NA	2259
ACCN5	4	155829855	155866226	NA	221
ACCS	11	44066178	44084019	NA	921
ACCSL	11	44047980	44059977	NA	921
ACD	16	67657511	67660815	NA	1101
ACE	17	63477060	63521842	NA	1069
ACE2	X	15561032	15602069	NA	87
ACER1	19	6306498	6333629	NA	633
ACER2	9	19408926	19452502	NA	733
ACER3	11	76860872	77026797	NA	146
ACHE	7	100889993	100896133	NA	1354
ACIN1	14	23058564	23095614	NA	11
ACKR1	1	159204012	159206500	NA	1799
ACKR2	3	42809471	42867283	NA	113
ACKR3	2	236569736	236582351	NA	2389
ACKR4	3	132597236	132602641	NA	1596
ACLY	17	41866916	41919022	NA	904
ACMSD	2	134838615	134902032	NA	201
ACN9	7	97117706	97181763	NA	165
ACO1	9	32384602	32450834	NA	832
ACO2	22	41469123	41528989	NA	901
ACOT1	14	73537223	73543794	NA	1146
ACOT11	1	54548133	54634744	NA	1001
ACOT12	5	81330127	81394169	NA	1205
ACOT13	6	24667034	24705067	NA	773
ACOT2	14	73567619	73575658	NA	1146
ACOT4	14	73591705	73595766	NA	1146
ACOT6	14	73616843	73619888	NA	1146
ACOT7	1	6264271	6393766	NA	9
ACOT8	20	45841720	45857409	NA	934
ACOT9	X	23703659	23743290	NA	95
ACOX1	17	75941510	75979434	NA	1164
ACOX2	3	58505135	58537202	NA	1031
ACOX3	4	8366281	8440725	NA	1
ACOXL	2	110732572	111118222	NA	178
ACP1	2	264868	278282	NA	587
ACP2	11	47239301	47248847	NA	945
ACP5	19	11574659	11578986	NA	673
ACP6	1	147647365	147670512	NA	1711
ACPL2	3	141231854	141294323	NA	1662
ACPP	3	132317366	132368302	NA	1594
ACPT	19	50790414	50795224	NA	972
ACR	22	50738223	50745299	NA	972
ACRBP	12	6638074	6647414	NA	635
ACRC	X	71578023	71613583	NA	1131
ACRV1	11	125672333	125680898	NA	1543
ACSBG1	15	78170844	78234707	NA	1181
ACSBG2	19	6135632	6193103	NA	78
ACSF2	17	50426157	50474845	NA	121
ACSF3	16	89093808	89155846	NA	19
ACSL1	4	184755594	184826114	NA	249
ACSL3	2	222861013	222943401	NA	2285
ACSL4	X	109641334	109733392	NA	177
ACSL5	10	112374157	112428380	NA	1442
ACSL6	5	131949973	132012068	NA	198
ACSM1	16	20623236	20691256	NA	742
ACSM2A	16	20451460	20487669	NA	741
ACSM2B	16	20536760	20576373	NA	741
ACSM3	16	20763989	20797157	NA	743
ACSM4	12	7304331	7328373	NA	640
ACSM5	16	20409533	20441333	NA	740
ACSM6	10	95194199	95228929	NA	1311
ACSS1	20	25006229	25058182	NA	96
ACSS2	20	34874962	34927966	NA	851
ACSS3	12	81078029	81255803	NA	150
ACTA1	1	229431245	229434096	NA	2335
ACTA2	10	88935073	88991390	NA	1263
ACTB	7	5527147	5530601	NA	627
ACTBL2	5	57480015	57482809	NA	1023
ACTC1	15	34788095	34795726	NA	850
ACTG1	17	81509970	81512866	NA	1206
ACTG1P17	15	82725897	82739780	NA	1216
ACTG1P20	1	27323873	27326525	NA	793
ACTG1P4	1	103569403	103571386	NA	1375
ACTG2	2	73892965	73919653	NA	1148
ACTL10	20	33666497	33668525	NA	841
ACTL6A	3	179562879	179588407	NA	244
ACTL6B	7	100643102	100656461	NA	1352
ACTL7A	9	108862227	108863755	NA	1415
ACTL7B	9	108854584	108855995	NA	1415
ACTL8	1	17755312	17827063	NA	11
ACTL9	19	8697396	8698830	NA	651
ACTN1	14	68874122	68979366	NA	138
ACTN2	1	236686453	236764627	NA	298
ACTN3	11	66546394	66563329	NA	1092
ACTN4	19	38647626	38730531	NA	109
ACTR10	14	58200114	58235635	NA	1029
ACTR1A	10	102479228	102502755	NA	170
ACTR1B	2	97655938	97664098	NA	1330
ACTR2	2	65227694	65271256	NA	1082
ACTR3	2	113889933	113961552	NA	181
ACTR3B	7	152759748	152855379	NA	218
ACTR3BP2	2	91941132	91942470	NA	1286
ACTR3BP5	10	38696595	38698240	NA	880
ACTR3C	7	150247211	150323669	NA	1731
ACTR5	20	38748453	38772446	NA	880
ACTR6	12	100200086	100224424	NA	1349
ACTR8	3	53867065	53882202	NA	124
ACTRT1	X	128050961	128052403	NA	1561
ACTRT2	1	3021481	3022903	NA	608
ACTRT3	3	169766922	169769895	NA	1880
ACVR1	2	157736445	157875862	NA	223
ACVR1B	12	51951666	51997079	NA	981
ACVR1C	2	157526766	157628887	NA	223
ACVR2A	2	147844516	147930827	NA	26
ACVR2B	3	38454298	38493142	NA	878
ACVRL1	12	51907417	51923361	NA	981
ACY1	3	51983283	51989202	NA	981
ACY3	11	67642554	67650659	NA	1101
ACYP1	14	75053224	75069483	NA	1157
ACYP2	2	54115272	54305298	NA	124
ADA	20	44619521	44651735	NA	925
ADAD1	4	122378965	122429792	NA	189
ADAD2	16	84191116	84197166	NA	1227
ADAL	15	43330355	43354555	NA	915
ADAM10	15	58595203	58749978	NA	1
ADAM11	17	44759199	44781846	NA	926
ADAM12	10	126012384	126388558	NA	193
ADAM15	1	155051271	155062776	NA	220
ADAM17	2	9489280	9555788	NA	657
ADAM18	8	39584567	39730064	NA	110
ADAM19	5	157477303	157575823	NA	223
ADAM1A	12	111899062	111901902	NA	1438
ADAM2	8	39743735	39838289	NA	888
ADAM20	14	70522360	70535015	NA	1123
ADAM20P1	14	70468878	70483756	NA	1122
ADAM21	14	70452156	70459905	NA	1122
ADAM21P1	14	70245752	70247801	NA	1120
ADAM22	7	87934250	88202889	NA	19
ADAM23	2	206443643	206621131	NA	33
ADAM28	8	24294039	24359018	NA	770
ADAM29	4	174918357	174978180	NA	1919
ADAM30	1	119893532	119896524	NA	1499
ADAM32	8	39107530	39284917	NA	110
ADAM33	20	3667972	3682131	NA	76
ADAM3A	8	39451044	39522989	NA	110
ADAM5	8	39314662	39402856	NA	110
ADAM6	14	105969728	105972269	NA	1393
ADAM7	8	24440995	24509564	NA	771
ADAM8	10	133262415	133276903	NA	1601
ADAM9	8	38996985	39105260	NA	110
ADAMDEC1	8	24384284	24406013	NA	771
ADAMTS1	21	26836286	26845409	NA	789
ADAMTS10	19	8580239	8610735	NA	650
ADAMTS12	5	33527180	33892019	NA	1
ADAMTS13	9	133414338	133459403	NA	200
ADAMTS14	10	70672802	70762439	NA	1124
ADAMTS15	11	130448973	130476644	NA	1580
ADAMTS16	5	5140329	5320299	NA	9
ADAMTS17	15	99971437	100341978	NA	168
ADAMTS18	16	77282127	77435114	NA	146
ADAMTS19	5	129460409	129738683	NA	196
ADAMTS2	5	179110850	179345430	NA	30
ADAMTS20	12	43354208	43551921	NA	114
ADAMTS3	4	72280968	72568799	NA	17
ADAMTS4	1	161189747	161199055	NA	1814
ADAMTS5	21	26917911	26967120	NA	790
ADAMTS6	5	65148735	65481877	NA	135
ADAMTS7	15	78759202	78811431	NA	148
ADAMTS7P1	15	82293282	82334561	NA	151
ADAMTS8	11	130404922	130428644	NA	197
ADAMTS9	3	64515654	64687689	NA	134
ADAMTSL1	9	18474080	18910949	NA	90
ADAMTSL2	9	133532163	133575519	NA	200
ADAMTSL3	15	83654085	84039841	NA	2
ADAMTSL4	1	150549368	150560936	NA	1733
ADAMTSL5	19	1505017	1513189	NA	596
ADAP1	7	897899	955407	NA	73
ADAP2	17	30921735	30959193	NA	102
ADAR	1	154582057	154627980	NA	1764
ADARB1	21	45074577	45226563	NA	14
ADARB2	10	1177312	1737476	NA	74
ADAT1	16	75598348	75623323	NA	1161
ADAT2	6	143422831	143450704	NA	1679
ADAT3	19	1905371	1913447	NA	599
ADC	1	33081112	33120529	NA	837
ADCK1	14	77800082	77933954	NA	147
ADCK2	7	140673152	140695108	NA	1658
ADCK3	1	226940236	226987545	NA	2316
ADCK4	19	40691528	40716885	NA	895
ADCK5	8	144374014	144393238	NA	1686
ADCY1	7	45574139	45723115	NA	116
ADCY10	1	167809387	167914226	NA	233
ADCY10P1	6	41101033	41140835	NA	898
ADCY2	5	7396229	7830081	NA	80
ADCY3	2	24819169	24919186	NA	96
ADCY4	14	24318348	24335071	NA	770
ADCY5	3	123282295	123448545	NA	190
ADCY6	12	48766191	48789037	NA	957
ADCY7	16	50266539	50318134	NA	968
ADCY8	8	130780300	131040589	NA	197
ADCY9	16	3962648	4116185	NA	76
ADCYAP1	18	904942	912172	NA	591
ADCYAP1R1	7	31052460	31111479	NA	102
ADD1	4	2843856	2930075	NA	75
ADD2	2	70662083	70768243	NA	1124
ADD3	10	110005967	110135565	NA	22
ADFP	9	19115769	19127472	NA	730
ADGB	6	146598999	146815461	NA	26
ADGRA1	10	133088003	133131675	NA	1600
ADGRA2	8	37796882	37843986	NA	873
ADGRA3	4	22387373	22516054	NA	94
ADGRB1	8	142464015	142545007	NA	208
ADGRB2	1	31727104	31764063	NA	827
ADGRB3	6	68635739	69389511	NA	17
ADGRD1	12	130953906	131141463	NA	24
ADGRE1	19	6887548	6940453	NA	637
ADGRE2	19	14732696	14778541	NA	697
ADGRE3	19	14619116	14674918	NA	696
ADGRE4P	19	6952499	6990846	NA	638
ADGRE5	19	14381143	14408725	NA	694
ADGRF1	6	46997702	47042363	NA	943
ADGRF2	6	47656589	47697797	NA	948
ADGRF3	2	26308172	26346817	NA	785
ADGRF4	6	47698552	47722021	NA	118
ADGRF5	6	46852505	46954938	NA	942
ADGRG1	16	57619692	57665039	NA	1024
ADGRG2	X	18989306	19122637	NA	91
ADGRG3	16	57668244	57689378	NA	15
ADGRG4	X	136300962	136416888	NA	25
ADGRG5	16	57542420	57577188	NA	1024
ADGRG6	6	142301918	142446266	NA	208
ADGRG7	3	100609588	100695481	NA	2
ADGRL1	19	14147736	14206185	NA	86
ADGRL2	1	81699769	81992738	NA	151
ADGRL3	4	61497120	62072450	NA	16
ADGRL4	1	78889763	79006810	NA	148
ADGRV1	5	90558799	91164216	NA	159
ADH1A	4	99276365	99291028	NA	1342
ADH1B	4	99306386	99321442	NA	1342
ADH1C	4	99336491	99353045	NA	167
ADH4	4	99123656	99144298	NA	1341
ADH5	4	99070978	99088788	NA	1340
ADH6	4	99202637	99219246	NA	1341
ADH7	4	99412260	99435510	NA	1343
ADHFE1	8	66432482	66468809	NA	136
ADI1	2	3497918	3519579	NA	611
ADIG	20	38581194	38588463	NA	879
ADIPOQ	3	186842673	186858463	NA	2010
ADIPOR1	1	202940824	202958572	NA	2133
ADIPOR2	12	1691080	1788679	NA	74
ADIRF	10	86968430	86970909	NA	1248
ADK	10	74151184	74709303	NA	17
ADM	11	10304979	10307402	NA	663
ADM2	22	50481555	50486437	NA	970
ADM5	19	49688684	49690990	NA	964
ADNP	20	50888917	50931213	NA	973
ADNP2	18	80109030	80140345	NA	1196
ADO	10	62804755	62808479	NA	1064
ADORA1	1	203127707	203167405	NA	266
ADORA2A	22	24423596	24442361	NA	771
ADORA2B	17	15944916	15975896	NA	706
ADORA3	1	111483347	111563941	NA	1435
ADPGK	15	72751366	72783785	NA	1140
ADPRH	3	119579432	119589945	NA	1497
ADPRHL1	13	113421939	113453524	NA	1450
ADPRHL2	1	36088851	36093932	NA	860
ADPRM	17	10697609	10711558	NA	666
ADRA1A	8	26748149	26865405	NA	789
ADRA1B	5	159916732	159973010	NA	1805
ADRA1D	20	4220630	4249012	NA	617
ADRA2A	10	111077031	111080904	NA	1432
ADRA2B	2	96112874	96116245	NA	1318
ADRA2C	4	3766397	3768526	NA	613
ADRB1	10	114044046	114046908	NA	1455
ADRB2	5	148826592	148828634	NA	1720
ADRB3	8	37962995	37966666	NA	874
ADRBK1	11	67266433	67286558	NA	1098
ADRBK2	22	25564893	25729291	NA	97
ADRM1	20	62302895	62308862	NA	1060
ADSL	22	40346499	40366571	NA	892
ADSS	1	244408491	244452134	NA	306
ADSSL1	14	104724196	104747311	NA	172
ADTRP	6	11713654	11779047	NA	674
AEBP1	7	44104360	44114565	NA	921
AEBP2	12	19439673	19522239	NA	733
AEN	15	88621295	88632281	NA	1261
AES	19	3052909	3062966	NA	608
AFAP1	4	7758712	7939926	NA	80
AFAP1L1	5	149271837	149341804	NA	215
AFAP1L2	10	114294823	114404778	NA	1457
AFF1	4	86935001	87141054	NA	19
AFF2	X	148500618	149000663	NA	26
AFF3	2	99547253	100142575	NA	20
AFF4	5	132875378	132963662	NA	199
AFG3L1P	16	89972579	90000787	NA	1271
AFG3L2	18	12328943	12377276	NA	679
AFM	4	73481744	73504001	NA	1145
AFMID	17	78187316	78207701	NA	1181
AFP	4	73436218	73455785	NA	1145
AFTPH	2	64524304	64593004	NA	1077
AGA	4	177430774	177442503	NA	1938
AGAP1	2	235494088	236131800	NA	37
AGAP11	10	86970740	87010203	NA	1248
AGAP2	12	57724292	57742161	NA	1025
AGAP3	7	151085830	151144436	NA	1737
AGAP4	10	45825591	45853877	NA	934
AGAP5	10	73674274	73697796	NA	1147
AGAP6	10	49988317	50010499	NA	966
AGAP7P	10	46109494	46131678	NA	936
AGAP9	10	47501853	47523638	NA	947
AGBL1	15	86142010	87029052	NA	155
AGBL2	11	47659590	47715376	NA	118
AGBL3	7	134986507	135135778	NA	201
AGBL4	1	48532854	50023954	NA	119
AGBL4-IT1	1	49374200	49472085	NA	120
AGBL5	2	27051622	27070622	NA	791
AGER	6	32180967	32184322	NA	830
AGFG1	2	227472171	227561222	NA	36
AGFG2	7	100539210	100568220	NA	1352
AGGF1	5	77030384	77065233	NA	1172
AGK	7	141551277	141654409	NA	25
AGL	1	99850083	99924023	NA	168
AGMAT	1	15571698	15585110	NA	703
AGMO	7	15200317	15562015	NA	87
AGO1	1	35883208	35924298	NA	107
AGO2	8	140531164	140635547	NA	1657
AGO3	1	35931081	36056462	NA	107
AGO4	1	35808226	35857889	NA	858
AGPAT1	6	32168205	32178111	NA	830
AGPAT2	9	136673142	136687459	NA	1627
AGPAT3	21	43865234	43987594	NA	920
AGPAT4	6	161130024	161274075	NA	226
AGPAT4-IT1	6	161160131	161161982	NA	1814
AGPAT5	8	6708356	6761500	NA	636
AGPAT6	8	41578187	41625001	NA	902
AGPAT9	4	83535913	83605874	NA	1222
AGPS	2	177392742	177543836	NA	242
AGR2	7	16792639	16805114	NA	713
AGR3	7	16859404	16881989	NA	713
AGRN	1	1020122	1056119	NA	9
AGRP	16	67482570	67483813	NA	1099
AGT	1	230702522	230714590	NA	2345
AGTPBP1	9	85546538	85742029	NA	154
AGTR1	3	148697870	148743003	NA	1719
AGTR2	X	116170704	116174972	NA	1471
AGTRAP	1	11736084	11750771	NA	674
AGXT	2	240868744	240879119	NA	2422
AGXT2	5	34998100	35048135	NA	852
AGXT2L1	4	108742045	108763053	NA	1414
AGXT2L2	5	178208588	178232794	NA	1944
AHCTF1	1	246839097	246931424	NA	2468
AHCTF1P1	2	161499066	161507902	NA	1817
AHCY	20	34280264	34311802	NA	846
AHCYL1	1	109984764	110023742	NA	1424
AHCYL2	7	129225013	129430211	NA	196
AHDC1	1	27534244	27603494	NA	795
AHI1	6	135283971	135497765	NA	202
AHNAK	11	62433541	62546860	NA	132
AHNAK2	14	104937253	104978357	NA	1385
AHR	7	17298651	17346151	NA	89
AHRR	5	304175	438290	NA	73
AHSA1	14	77458029	77469472	NA	146
AHSA2	2	61177419	61187551	NA	1051
AHSG	3	186613060	186621318	NA	2008
AHSP	16	31527881	31528803	NA	825
AICDA	12	8602165	8612846	NA	650
AIDA	1	222660486	222712522	NA	285
AIF1	6	31615216	31617021	NA	826
AIF1L	9	131096475	131123152	NA	1585
AIFM1	X	130129362	130165887	NA	197
AIFM2	10	70112266	70132934	NA	139
AIFM3	22	20965129	20981360	NA	11
AIG1	6	143059362	143340343	NA	209
AIM1	6	106511854	106570449	NA	174
AIM1L	1	26321858	26354130	NA	785
AIM2	1	159062483	159076857	NA	1798
AIMP1	4	106315609	106349224	NA	1396
AIMP2	7	6009250	6023834	NA	630
AIP	11	67483028	67491108	NA	1099
AIPL1	17	6423736	6435199	NA	634
AIRE	21	44285837	44298219	NA	922
AIRN	6	160003290	160007664	NA	1805
AJAP1	1	4655044	4783791	NA	77
AJUBA	14	22971173	22982642	NA	760
AK1	9	127866479	127877743	NA	1560
AK2	1	33007939	33036911	NA	104
AK3	9	4709555	4742043	NA	77
AK3L1	17	31345436	65227492	NA	824
AK4	1	65147548	65232145	NA	1082
AK5	1	77281976	77559969	NA	146
AK6	5	69351725	69370013	NA	1114
AK7	14	96392110	96489427	NA	20
AK8	9	132725577	132878811	NA	199
AK9	6	109492855	109691212	NA	1421
AKAP1	17	57085191	57121349	NA	1020
AKAP10	17	19904451	19977856	NA	11
AKAP11	13	42272152	42323267	NA	907
AKAP12	6	151239998	151358561	NA	1739
AKAP13	15	85380615	85749358	NA	154
AKAP14	X	119895836	119920716	NA	1499
AKAP17A	Y	1591592	1602518	NA	597
AKAP2	9	110048597	110172511	NA	22
AKAP3	12	4615507	4649047	NA	620
AKAP4	X	50190767	50201013	NA	120
AKAP5	14	64465498	64474503	NA	1076
AKAP6	14	32329272	32833062	NA	12
AKAP7	6	131135685	131283535	NA	198
AKAP8	19	15353520	15379801	NA	702
AKAP8L	19	15380047	15419121	NA	702
AKAP9	7	91940874	92110673	NA	160
AKIP1	11	8911153	8920079	NA	81
AKIRIN1	1	38991243	39006065	NA	882
AKIRIN2	6	87674859	87702267	NA	156
AKNA	9	114334153	114394405	NA	1457
AKNAD1	1	108815897	108858242	NA	1415
AKR1A1	1	45550782	45570051	NA	932
AKR1B1	7	134442354	134459136	NA	1610
AKR1B10	7	134527591	134541414	NA	1611
AKR1B15	7	134549096	134579840	NA	1611
AKR1C1	10	4892603	4977966	NA	622
AKR1C2	10	4987775	5018033	NA	623
AKR1C3	10	5048765	5107686	NA	623
AKR1C4	10	5196834	5218949	NA	624
AKR1C6P	10	4871666	4916273	NA	622
AKR1C8P	10	5154459	5185187	NA	624
AKR1CL1	10	5161730	5185181	NA	624
AKR1CL2	10	4826233	4848059	NA	621
AKR1D1	7	138076431	138118304	NA	1638
AKR1E2	10	4826176	4848059	NA	621
AKR7A2	1	19302707	19312146	NA	732
AKR7A2P1	1	112923349	112924673	NA	1446
AKR7A3	1	19282562	19288786	NA	732
AKR7L	1	19265981	19274074	NA	91
AKT1	14	104769349	104795743	NA	1384
AKT1S1	19	49869032	49878356	NA	965
AKT2	19	40230316	40285395	NA	111
AKT3	1	243488232	243843584	NA	305
AKTIP	16	53491039	53503304	NA	993
ALAD	9	113386311	113401338	NA	1450
ALAS1	3	52198082	52214327	NA	983
ALAS2	X	55009054	55031064	NA	1004
ALB	4	73404254	73421412	NA	1145
ALCAM	3	105366712	105576913	NA	173
ALDH16A1	19	49453215	49471048	NA	962
ALDH18A1	10	95605928	95656810	NA	1314
ALDH1A1	9	72900661	72953317	NA	1141
ALDH1A2	15	57953423	58065923	NA	128
ALDH1A3	15	100879691	100916625	NA	1354
ALDH1B1	9	38392663	38398665	NA	877
ALDH1L1	3	126103560	126181186	NA	1547
ALDH1L2	12	105019783	105084563	NA	1386
ALDH2	12	111766886	111809985	NA	179
ALDH3A1	17	19737983	19748433	NA	735
ALDH3A2	17	19648750	19677595	NA	91
ALDH3B1	11	68008546	68029282	NA	137
ALDH3B2	11	67662161	67681214	NA	1101
ALDH4A1	1	18871429	18902799	NA	11
ALDH5A1	6	24494968	24537207	NA	96
ALDH6A1	14	74057664	74084493	NA	1150
ALDH7A1	5	126541840	126595390	NA	1550
ALDH8A1	6	134917389	134950122	NA	1614
ALDH9A1	1	165662211	165698663	NA	28
ALDOA	16	30053089	30070420	NA	814
ALDOB	9	101420559	101435780	NA	1358
ALDOC	17	28573114	28576933	NA	100
ALG1	16	5071808	5087379	NA	623
ALG10	12	34022280	34028301	NA	844
ALG10B	12	38316754	38329726	NA	877
ALG11	13	52012386	52029644	NA	981
ALG12	22	49903205	49918458	NA	965
ALG13	X	111681117	111760647	NA	1437
ALG14	1	94982722	95072951	NA	163
ALG1L	3	125929274	125937044	NA	1545
ALG1L2	3	130081830	130098390	NA	1577
ALG1L9P	11	71794362	71813859	NA	1132
ALG2	9	99216424	99221964	NA	167
ALG3	3	184242328	184249525	NA	1990
ALG5	13	36949770	36999367	NA	108
ALG6	1	63367589	63438562	NA	1068
ALG8	11	78100941	78139653	NA	147
ALG9	11	111782194	111871581	NA	179
ALK	2	29192773	29921611	NA	12
ALKBH1	14	77672405	77708013	NA	1177
ALKBH2	12	109088187	109093488	NA	1417
ALKBH3	11	43880806	43920275	NA	114
ALKBH4	7	102456219	102464874	NA	1366
ALKBH5	17	18183552	18209953	NA	723
ALKBH6	19	36009115	36014243	NA	859
ALKBH7	19	6372432	6375250	NA	633
ALKBH8	11	107502726	107565735	NA	1405
ALLC	2	3658195	3702670	NA	76
ALMS1	2	73385757	73609919	NA	17
ALMS1-IT1	2	73457102	73459477	NA	1145
ALMS1P	2	73644918	73685567	NA	143
ALOX12	17	6996064	7010736	NA	638
ALOX12B	17	8072635	8087704	NA	646
ALOX12P2	17	6853575	6900349	NA	637
ALOX15	17	4630918	4641665	NA	620
ALOX15B	17	8039039	8049133	NA	646
