icdom::id	icdom::label	icdot::id	icdot::label	NCIT::id	NCIT::label	status
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C42.2	Spleen	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C42.4	Hematopoietic system, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C44.4	Hair	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C44.9	Skin, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C49.9	connective and soft tissue, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C50.9	Breast, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C56.9	ovary	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C58.9	placenta	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C61.9	prostate, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C62.9	testis	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C64.9	kidney	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C71.9	brain, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C73.9	thyroid gland	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C76.9	ill-defined	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C77.9	lymph node, NOS	NCIT:None	non-neoplastic	TODO
icdom-00000	Not in ICD-O (e.g. non-neoplastic, reference)	icdot-C80.9	unknown	NCIT:None	non-neoplastic	TODO
icdom-80000	Neoplasm, benign	icdot-C25.9	Pancreas, NOS	NCIT:C4612	Benign Pancreatic Neoplasm	ok
icdom-80001	Neoplasm, uncertain whether benign or malignant	icdot-C80.9	Unknown	NCIT:C3262	Neoplasm	TODO
icdom-80003	Neoplasm, malignant	icdot-C44.9	Skin, NOS	NCIT:C3372	Skin Neoplasm	ok
icdom-80003	Neoplasm, malignant	icdot-C49.9	connective and soft tissue, NOS	NCIT:C3810	Connective and Soft Tissue Neoplasm	ok
icdom-80003	Neoplasm, malignant	icdot-C56.9	ovary	NCIT:C4908	Ovarian Carcinoma	TODO
icdom-80003	Neoplasm, malignant	icdot-C76.9	ill-defined	NCIT:C9305	Malignant Neoplasm	ok
icdom-80050	Clear cell tumor, NOS	icdot-C56.9	ovary	NCIT:C40076	Ovarian Clear Cell Tumor	ok
icdom-80102	Carcinoma in situ, NOS	icdot-C34.9	lung and bronchus	NCIT:C27467	Stage 0 Lung Cancer	ok
icdom-80102	Carcinoma in situ, NOS	icdot-C50.9	Breast, NOS	NCIT:C2917	Carcinoma In Situ	TODO
icdom-80102	Carcinoma in situ, NOS	icdot-C62.9	testis	NCIT:C2917	Carcinoma In Situ	TODO
icdom-80103	Carcinoma, NOS	icdot-C06.9	mouth, NOS	NCIT:C8990	Oral Cavity Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C15.9	Esophagus, NOS	NCIT:C3513	Esophageal Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C16.0	cardia, NOS	NCIT:C6794	Gastric Cardia Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C16.9	stomach	NCIT:C4911	Gastric carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C18.9	Colon, NOS	NCIT:C4910	Colon Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C21.9	anal canal and anus	NCIT:C9291	Anal Carcinoma 	ok
icdom-80103	Carcinoma, NOS	icdot-C25.9	pancreas	NCIT:C3850	Pancreatic carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C34.9	lung and bronchus	NCIT:C4878	Lung Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C48.9	retroperitoneum and peritoneum	NCIT:C40022	Primary Peritoneal Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C50.9	Breast, NOS	NCIT:C4872	Breast Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C53.9	cervix uteri	NCIT:C9039	Cervical Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C56.9	ovary	NCIT:C4908	Ovarian Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C57.0	fallopian tube	NCIT:C3867	Fallopian Tube Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C57.9	other female genital	NCIT:C2916	Carcinoma	TODO
icdom-80103	Carcinoma, NOS	icdot-C61.9	Prostate gland	NCIT:C4863	Prostate carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C64.9	kidney	NCIT:C3262	Neoplasm	TODO
icdom-80103	Carcinoma, NOS	icdot-C67.0	Urinary bladder	NCIT:C4912	Bladder Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C67.9	Bladder, NOS	NCIT:C4912	Bladder Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C73.9	thyroid gland	NCIT:C4815	Thyroid Gland Carcinoma	ok
icdom-80103	Carcinoma, NOS	icdot-C75.0	parathyroid gland	NCIT:C4906	Parathyroid Gland Carcinoma	ok
icdom-80106	Carcinoma, metastatic, NOS	icdot-C18.9	Colon, NOS	NCIT:C157366	Colorectal Carcinoma Metastatic in the Liver	TODO
icdom-80106	Carcinoma, metastatic, NOS	icdot-C61.9	Prostate gland	NCIT:C8946	Metastatic Prostate Carcinoma	ok
icdom-80123	Large cell carcinoma, NOS	icdot-C34.9	lung and bronchus	NCIT:C4450	Large cell lung carcinoma	ok
icdom-80133	Large cell neuroendocrine carcinoma	icdot-C34.9	lung and bronchus	NCIT:C5672	Lung Large Cell Neuroendocrine Carcinoma	ok
icdom-80133	Large cell neuroendocrine carcinoma	icdot-C50.9	Breast, NOS			TODO
icdom-80203	Carcinoma, undifferentiated, NOS	icdot-C25.0	Head of pancreas			TODO
icdom-80203	Carcinoma, undifferentiated, NOS	icdot-C54.1	Endometrium			TODO
icdom-80203	Carcinoma, undifferentiated, NOS	icdot-C55.9	Uterus, NOS	NCIT:C3692	Undifferentiated Carcinoma	TODO
icdom-80203	Carcinoma, undifferentiated, NOS	icdot-C56.9	ovary	NCIT:C3692	Undifferentiated Carcinoma	TODO
icdom-80203	Carcinoma, undifferentiated, NOS	icdot-C73.9	thyroid gland	NCIT:C6040	Poorly Differentiated Thyroid Gland Carcinoma	ok
icdom-80213	Carcinoma, anaplastic, NOS	icdot-C09.9	tonsil	NCIT:C4825	Tonsillar Carcinoma 	TODO
icdom-80213	Carcinoma, anaplastic, NOS	icdot-C50.9	Breast, NOS	NCIT:C4872	Breast Carcinoma	TODO
icdom-80213	Carcinoma, anaplastic, NOS	icdot-C73.9	thyroid gland	NCIT:C3878	Thyroid Gland Anaplastic Carcinoma	ok
icdom-80223	Pleomorphic carcinoma	icdot-C38.4	pleura	NCIT:C4094	None	TODO
icdom-80223	Pleomorphic carcinoma	icdot-C50.8	Overlapping lesion of breast			TODO
icdom-80223	Pleomorphic carcinoma	icdot-C50.9	Breast, NOS	NCIT:C5161	Pleomorphic breast carcinoma	ok
icdom-80313	Giant cell carcinoma	icdot-C34.9	lung and bronchus	NCIT:C4452	Lung giant cell carcinoma	ok
icdom-80313	Giant cell carcinoma	icdot-C41.9	bone, NOS	NCIT:C3779	Giant Cell Carcinoma	TODO
icdom-80323	Spindle cell carcinoma, NOS	icdot-C38.4	pleura	NCIT:C45541	Lung Spindle Cell Carcinoma	TODO
icdom-80333	Pseudosarcomatous carcinoma	icdot-C34.9	lung and bronchus	NCIT:C27004	Sarcomatoid Carcinoma	TODO
icdom-80333	Pseudosarcomatous carcinoma	icdot-C49.9	connective and soft tissue, NOS	NCIT:C27004	Sarcomatoid Carcinoma	TODO
icdom-80413	Small cell carcinoma, NOS	icdot-C34.9	lung and bronchus	NCIT:C4917	Lung Small Cell Carcinoma	ok
icdom-80413	Small cell carcinoma, NOS	icdot-C51.0	vagina and labia	NCIT:C3915	Small Cell Carcinoma	TODO
icdom-80413	Small cell carcinoma, NOS	icdot-C61.9	Prostate gland	NCIT:C6766	Prostate small cell carcinoma	ok
icdom-80463	Non-small cell carcinoma	icdot-C34.9	Lung, NOS	NCIT:C2926	Lung Non-Small Cell Carcinoma	ok
icdom-80500	Papilloma, NOS	icdot-C34.9	lung and bronchus	NCIT:C8295	Lung Papilloma	ok
icdom-80503	Papillary carcinoma, NOS	icdot-C50.9	Breast, NOS			TODO
icdom-80503	Papillary carcinoma, NOS	icdot-C73.9	Thyroid gland			TODO
icdom-80520	Squamous cell papilloma, NOS	icdot-C44.9	Skin, NOS	NCIT:C4462	Skin Squamous Cell Papilloma	ok
icdom-80523	Papillary squamous cell carcinoma	icdot-C34.1	Upper lobe, lung			TODO
icdom-80523	Papillary squamous cell carcinoma	icdot-C34.3	Lower lobe, lung			TODO
icdom-80523	Papillary squamous cell carcinoma	icdot-C53.9	Cervix uteri			TODO
icdom-80701	Premalignant squamous epithelium, NOS	icdot-C06.9	mouth, NOS	NCIT:C4833	Oral Cavity Squamous Cell Carcinoma	TODO
icdom-80701	Premalignant squamous epithelium, NOS	icdot-C15.9	esophagus	NCIT:C4024	Esophageal Squamous Cell Carcinoma	TODO
icdom-80701	Premalignant squamous epithelium, NOS	icdot-C34.9	lung and bronchus	NCIT:C3262	Neoplasm	TODO
icdom-80701	Premalignant squamous epithelium, NOS	icdot-C51.9	vulva, nos	NCIT:C4052	Vulvar Squamous Cell Carcinoma	TODO
icdom-80701	Premalignant squamous epithelium, NOS	icdot-C53.9	cervix uteri	NCIT:C7347	Cervical Squamous Cell Carcinoma In Situ	TODO
icdom-80702	Squamous cell carcinoma in situ, NOS	icdot-C06.9	mouth, NOS	NCIT:C27093	Stage 0 Squamous Cell Carcinoma	TODO
icdom-80702	Squamous cell carcinoma in situ, NOS	icdot-C14.0	pharynx, NOS	NCIT:C27093	Stage 0 Squamous Cell Carcinoma	TODO
icdom-80702	Squamous cell carcinoma in situ, NOS	icdot-C34.9	lung and bronchus	NCIT:C27093	Stage 0 Squamous Cell Carcinoma	TODO
icdom-80702	Squamous cell carcinoma in situ, NOS	icdot-C51.9	vulva, nos	NCIT:C27093	Stage 0 Squamous Cell Carcinoma	TODO
icdom-80702	Squamous cell carcinoma in situ, NOS	icdot-C53.9	cervix uteri	NCIT:C7347	Cervical Squamous Cell Carcinoma In Situ	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C00.9	Lip, NOS			TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C01.9	tongue	NCIT:C4648	Tongue Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C02.1	Border of tongue	NCIT:C4648	Tongue Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C02.2	Ventral surface of tongue, NOS	NCIT:C4648	Tongue Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C02.9	Tongue, NOS	NCIT:C4648	Tongue Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C03.0	Upper Gum	NCIT:C129857	Gingival Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C03.1	Lower gum	NCIT:C8171	Lower Gingival Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C03.9	Gum, NOS	NCIT:C129857	Gingival Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C04.0	Anterior floor of mouth	NCIT:C4041	Floor of Mouth Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C04.9	Floor of mouth, NOS	NCIT:C4041	Floor of Mouth Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C05.0	Hard palate	NCIT:C4649	Palate Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C05.9	Palate, NOS	NCIT:C4649	Palate Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C06.0	Cheeck mucosa	NCIT:C4833	Oral Cavity Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C06.9	Mouth, NOS	NCIT:C4833	Oral Cavity Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C09.9	tonsil	NCIT:C2929	Squamous Cell Carcinoma	TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C10.9	Oropharynx	NCIT:C8181	Oropharyngeal Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C11.9	nasopharynx	NCIT:C102872	Pharyngeal Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C13.9	Hypopharynx, NOS			TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C14.0	pharynx, NOS	NCIT:C2929	Squamous Cell Carcinoma	TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C14.8	Overlapping lession of lip, oral cavity and pharynx	NCIT:C4833	Oral Cavity Squamous Cell Carcinoma	TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C15.3	Upper third of esophagus	NCIT:C4024	Esophageal Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C15.4	Middle third of esophagus	NCIT:C4024	Esophageal Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C15.5	Lower third of esophagus	NCIT:C4024	Esophageal Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C15.9	esophagus	NCIT:C4024	Esophageal Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C16.0	Cardia, NOS			TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C21.9	anal canal and anus	NCIT:C2929	Squamous Cell Carcinoma	TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C23.9	gallbladder	NCIT:C2929	Squamous Cell Carcinoma	TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C32.1	Supraglottis			TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C32.9	Larynx, NOS	NCIT:C4044	Laryngeal Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C34.0	Main bronchus	NCIT:C3493	Squamous Cell Lung Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C34.1	Upper lobe, lung	NCIT:C3493	Squamous Cell Lung Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C34.2	Middle lobe, lung	NCIT:C3493	Squamous Cell Lung Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C34.3	Lower lobe, lung	NCIT:C3493	Squamous Cell Lung Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C34.8	Overlapping lesion of lung	NCIT:C3493	Squamous Cell Lung Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C34.9	lung and bronchus	NCIT:C3493	Squamous Cell Lung Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C41.1	Mandible			TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C44.9	Skin, NOS	NCIT:C4819	Skin Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C51.0	vagina and labia	NCIT:C4052	Vulvar Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C51.9	vulva, nos	NCIT:C4052	Vulvar Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C53.0	Endocervix	NCIT:C4028	Cervical Squamous Cell Carcinoma, Not Otherwise Specified	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C53.1	Exocervix	NCIT:C4028	Cervical Squamous Cell Carcinoma, Not Otherwise Specified	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C53.9	Cervix uteri	NCIT:C4028	Cervical Squamous Cell Carcinoma, Not Otherwise Specified	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C55.9	uterus, nos	NCIT:C2929	Squamous Cell Carcinoma	TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C56.9	Ovary			TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C60.9	penis	NCIT:C7729	Squamous Cell Carcinoma of the Penis	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C61.9	Prostate gland	NCIT:C27676	Human papillomavirus-related cervical squamous cell carcinoma	TODO
icdom-80703	Squamous cell carcinoma, NOS	icdot-C67.0	Urinary bladder	NCIT:C4031	Bladder Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C67.9	Bladder, NOS	NCIT:C4031	Bladder Squamous Cell Carcinoma	ok
icdom-80703	Squamous cell carcinoma, NOS	icdot-C76.9	C06	NCIT:C4833	Oral Cavity Squamous Cell Carcinoma	TODO
icdom-80706	Squamous cell carcinoma, metastatic	icdot-C02.9	Tongue, NOS	NCIT:C150206	Metastatic Oral Cavity Squamous Cell Carcinoma	ok
icdom-80706	Squamous cell carcinoma, metastatic	icdot-C03.0	Upper Gum	NCIT:C150206	Metastatic Oral Cavity Squamous Cell Carcinoma	ok
icdom-80710	None	icdot-C44.9	Skin, NOS	NCIT:C3148	Actinic (Solar) Keratosis	TODO
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C00.9	Lip, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C01.9	Base of tongue, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C02.9	Tongue, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C03.9	Gum, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C04.0	Anterior floor of mouth	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C04.9	Floor of mouth, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C05.9	Palate, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C06.0	Cheeck mucosa	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C06.2	Retromolar area	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C06.9	Mouth, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C09.9	Tonsil, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C10.3	Posterior wall of oropharynx	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C10.9	Oropharynx, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C15.1	Thoracic esophagus	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C15.5	Lower third of esophagus	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C15.9	Esophagus, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C32.9	Larynx, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C34.1	Upper lobe, lung	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C34.2	Middle lobe, lung	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C34.3	Lower lobe, lung	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C34.9	Lung, NOS	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80713	Squamous cell carcinoma, keratinizing, NOS	icdot-C53.9	Cervix uteri	NCIT:C4105	Keratinizing Squamous Cell Carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C01.9	Base of tongue, NOS	NCIT:C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C09.9	Tonsil, NOS	NCIT:C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C11.9	nasopharynx	NCIT:C3871	Nasopharyngeal carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C13.9	Hypopharynx, NOS	NCIT:C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C32.9	Larynx, NOS	NCIT:C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C34.1	Upper lobe, lung	NCIT:C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C34.3	Lower lobe, lung	NCIT:C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma	ok
icdom-80723	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	icdot-C53.9	Cervix uteri	NCIT:C65173	Non-Keratinizing Large Cell Squamous Cell Carcinoma	ok
icdom-80733	Squamous cell carcinoma, small cell, nonkeratinizing	icdot-C34.2	Middle lobe, lung	NCIT:C65175	Non-Keratinizing Small Cell Squamous Cell Carcinoma	ok
icdom-80743	Squamous cell carcinoma, spindle cell	icdot-C01.9	Base of tongue, NOS	NCIT:C27084	Sarcomatoid Squamous Cell Carcinoma	ok
icdom-80772	Squamous intraepithelial neoplasia, grade III	icdot-C21.9	anal canal and anus	NCIT:C27275	High Grade Anal Canal Squamous Intraepithelial Neoplasia	ok
icdom-80772	Squamous intraepithelial neoplasia, grade III	icdot-C51.9	vulva, nos	NCIT:C8336	High Grade Squamous Intraepithelial Neoplasia	ok
icdom-80772	Squamous intraepithelial neoplasia, grade III	icdot-C53.9	cervix uteri	NCIT:C40197	High Grade Cervical Squamous Intraepithelial Neoplasia	ok
icdom-80823	Lymphoepithelial carcinoma	icdot-C11.9	nasopharynx	NCIT:C4107	Nasopharyngeal Type Undifferentiated Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C01.9	Base of tongue, NOS	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C04.9	Floor of mouth, NOS	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C06.0	Cheeck mucosa	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C09.9	Tonsil, NOS	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C10.9	Oropharynx, NOS	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C15.5	Lower third of esophagus	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C32.9	Larynx, NOS	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C34.1	Upper lobe, lung	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C34.3	Lower lobe, lung	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
icdom-80833	Basaloid squamous cell carcinoma	icdot-C53.9	Cervix uteri	NCIT:C54244	Basaloid Squamous Cell Carcinoma	ok
