ICD-O Code	Level	Term Type	Term type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT String (Preferred term)
C04	3	HT	Hierarchical term	FLOOR OF MOUTH	CL435388	C54187	Floor of Mouth
C04.0	4	PT	Preferred term	Anterior floor of mouth	C0226914		
C04.1	4	PT	Preferred term	Lateral floor of mouth	C0226915		
C04.8	4	PT	Preferred term	Overlapping lesion of floor of mouth	CL018311		
C04.9	4	PT	Preferred term	Floor of mouth, NOS	CL435388	C54187	Floor of Mouth
C05	3	HT	Hierarchical term	PALATE	C0700374	C12229	Palate
C05.0	4	PT	Preferred term	Hard palate	C0226901	C12230	Hard Palate
C05.1	4	PT	Preferred term	Soft palate, NOS	C0521367	C12762	Oropharynx
C05.2	4	PT	Preferred term	Uvula	C0042173	C12232	Uvula
C05.8	4	PT	Preferred term	Overlapping lesion of palate	CL413530		
C05.8	Related	RT	Related term	Junction of hard and soft palate	C0447423		
C05.9	4	PT	Preferred term	Palate, NOS	C0700374	C12229	Palate
C05.9	Synonym	SY	Synonym	Roof of mouth	C0700374	C12229	Palate
C06	3	HT	Hierarchical term	OTHER AND UNSPECIFIED PARTS OF MOUTH	CL025603		
C06.0	4	PT	Preferred term	Cheek mucosa	C1578559	C12505	Buccal Mucosa
C06.0	Synonym	SY	Synonym	Buccal mucosa	C1578559	C12505	Buccal Mucosa
C06.0	Synonym	SY	Synonym	Internal cheek	C1578559	C12505	Buccal Mucosa
C06.1	4	PT	Preferred term	Vestibule of mouth	C0226897		
C06.1	Related	RT	Related term	Alveolar sulcus	CL018314		
C06.1	Related	RT	Related term	Buccal sulcus	C0226897		
C06.1	Related	RT	Related term	Labial sulcus	C0447431		
C06.2	4	PT	Preferred term	Retromolar area	C0226920	C54223	Retromolar Trigone
C06.2	Synonym	SY	Synonym	Retromolar triangle	C0226920	C54223	Retromolar Trigone
C06.2	Synonym	SY	Synonym	Retromolar trigone	C0226920	C54223	Retromolar Trigone
C06.8	4	PT	Preferred term	Overlapping lesion of other and unspecified parts of mouth	C0496761		
C06.9	4	PT	Preferred term	Mouth, NOS	C0226896	C12421	Oral Cavity
C06.9	Related	RT	Related term	Minor salivary gland, NOS	C0036099	C33129	Minor Salivary Gland
C06.9	Synonym	SY	Synonym	Buccal cavity	C0226896	C12421	Oral Cavity
C06.9	Synonym	SY	Synonym	Oral cavity	C0226896	C12421	Oral Cavity
C06.9	Synonym	SY	Synonym	Oral mucosa	C1578559	C12505	Buccal Mucosa
C07	3	HT	Hierarchical term	PAROTID GLAND	C0030580	C12427	Parotid Gland
C07.9	4	PT	Preferred term	Parotid gland	C0030580	C12427	Parotid Gland
C07.9	Related	RT	Related term	Stensen duct	C0227458	C33277	Parotid Duct
C07.9	Synonym	SY	Synonym	Parotid gland duct	C0227458	C33277	Parotid Duct
C07.9	Synonym	SY	Synonym	Parotid, NOS	C0030580	C12427	Parotid Gland
C08	3	HT	Hierarchical term	OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS	CL018317		
C08.0	4	PT	Preferred term	Submandibular gland	C0038556	C12233	Submandibular Gland
C08.0	Related	RT	Related term	Wharton duct	C0227472	C33649	Submandibular Duct
C08.0	Synonym	SY	Synonym	Submaxillary gland duct	C0227472	C33649	Submandibular Duct
C08.0	Synonym	SY	Synonym	Submaxillary gland	C0038556	C12233	Submandibular Gland
C08.1	4	PT	Preferred term	Sublingual gland	C0038553	C12234	Sublingual Salivary Gland
C08.1	Related	RT	Related term	Sublingual gland duct	CL018318		
C08.8	4	PT	Preferred term	Overlapping lesion of major salivary glands	CL018319		
C08.9	4	PT	Preferred term	Major salivary gland, NOS	C0036098	C12426	Salivary Gland
C08.9	Synonym	SY	Synonym	Salivary gland, NOS	C0036098	C12426	Salivary Gland
C09	3	HT	Hierarchical term	TONSIL	C0040421	C33250	Palatine Tonsil
C09.0	4	PT	Preferred term	Tonsillar fossa	C0229881	C12235	Tonsillar Fossa
C09.1	4	PT	Preferred term	Tonsillar pillar	C0229872	C12236	Tonsillar Pillar
C09.1	Synonym	SY	Synonym	Faucial pillar	C0229872	C12236	Tonsillar Pillar
C09.1	Synonym	SY	Synonym	Glossopalatine fold	C0229872	C12236	Tonsillar Pillar
C09.8	4	PT	Preferred term	Overlapping lesion of tonsil	CL018320		
C09.9	4	PT	Preferred term	Tonsil, NOS	C0040421	C33250	Palatine Tonsil
C09.9	Synonym	SY	Synonym	Faucial tonsil	C0040421	C33250	Palatine Tonsil
C09.9	Synonym	SY	Synonym	Palatine tonsil	C0040421	C33250	Palatine Tonsil
C10	3	HT	Hierarchical term	OROPHARYNX	C0521367	C12762	Oropharynx
C10.0	4	PT	Preferred term	Vallecula	C0227157	C12237	Vallecula
C10.1	4	PT	Preferred term	Anterior surface of epiglottis	C0227160	C12238	Anterior Surface of the Epiglottis
C10.2	4	PT	Preferred term	Lateral wall of oropharynx	C0227156	C12239	Lateral Wall of the Oropharynx
C10.2	Synonym	SY	Synonym	Lateral wall of mesopharynx	C0227156	C12239	Lateral Wall of the Oropharynx
C10.3	4	PT	Preferred term	Posterior wall of oropharynx	C0227155	C12240	Posterior Wall of the Oropharynx
C10.3	Synonym	SY	Synonym	Posterior wall of mesopharynx	C0227155	C12240	Posterior Wall of the Oropharynx
C10.4	4	PT	Preferred term	Branchial cleft	C0079037	C104813	Branchial Cleft Remnant
C10.8	4	PT	Preferred term	Overlapping lesion of oropharynx	CL413529		
C10.8	Related	RT	Related term	Junctional region of oropharynx	C0227175		
C10.9	4	PT	Preferred term	Oropharynx, NOS	C0521367	C12762	Oropharynx
C10.9	Synonym	SY	Synonym	Fauces, NOS	C0521367	C12762	Oropharynx
C10.9	Synonym	SY	Synonym	Mesopharynx, NOS	C0521367	C12762	Oropharynx
C11	3	HT	Hierarchical term	NASOPHARYNX	C0027442	C12423	Nasopharynx
C11.0	4	PT	Preferred term	Superior wall of nasopharynx	C0225492	C12242	Superior Wall of the Nasopharynx
C11.0	Synonym	SY	Synonym	Roof of nasopharynx	C0225492	C12242	Superior Wall of the Nasopharynx
C11.1	4	PT	Preferred term	Posterior wall of nasopharynx	C0225484	C12243	Posterior Wall of the Nasopharynx
C11.1	Related	RT	Related term	Adenoid	C0001428	C33318	Pharyngeal Tonsil
C11.1	Synonym	SY	Synonym	Pharyngeal tonsil	C0001428	C33318	Pharyngeal Tonsil
C11.2	4	PT	Preferred term	Lateral wall of nasopharynx	C0225486	C12244	Lateral Wall of the Nasopharynx
C11.2	Related	RT	Related term	Fossa of Rosenmuller	C0227164		
C11.3	4	PT	Preferred term	Anterior wall of nasopharynx	C0225489	C12245	Anterior Wall of the Nasopharynx
C11.3	Related	RT	Related term	Choana	C0225432	C32856	Internal Nare
C11.3	Related	RT	Related term	Nasopharyngeal surface of soft palate	C0226905		
C11.3	Related	RT	Related term	Pharyngeal fornix	C0225492	C12242	Superior Wall of the Nasopharynx
C11.3	Related	RT	Related term	Posterior margin of nasal septum	C0225430		
C11.8	4	PT	Preferred term	Overlapping lesion of nasopharynx	CL018321		
C11.9	4	PT	Preferred term	Nasopharynx, NOS	C0027442	C12423	Nasopharynx
C11.9	Related	RT	Related term	Nasopharyngeal wall	C0225502		
C12	3	HT	Hierarchical term	PYRIFORM SINUS	C0227170	C33439	Pyriform Sinus
C12.9	4	PT	Preferred term	Pyriform sinus	C0227170	C33439	Pyriform Sinus
C12.9	Synonym	SY	Synonym	Piriform fossa	C0227170	C33439	Pyriform Sinus
C12.9	Synonym	SY	Synonym	Piriform sinus	C0227170	C33439	Pyriform Sinus
C12.9	Synonym	SY	Synonym	Pyriform fossa	C0227170	C33439	Pyriform Sinus
C13	3	HT	Hierarchical term	HYPOPHARYNX	C0020629	C12246	Hypopharynx
C13.0	4	PT	Preferred term	Postcricoid region	C0225516	C54221	Postcricoid Region
C13.0	Related	RT	Related term	Cricoid, NOS	CL497936		
C13.0	Related	RT	Related term	Cricopharynx	C0225516	C54221	Postcricoid Region
C13.1	4	PT	Preferred term	Hypopharyngeal aspect of aryepiglottic fold	C0225567		
C13.1	Related	RT	Related term	Aryepiglottic fold, NOS	C0225560	C32147	Aryepiglottic Fold
C13.1	Related	RT	Related term	Arytenoid fold	CL018322		
C13.2	4	PT	Preferred term	Posterior wall of hypopharynx	C0227174	C12249	Posterior Wall of the Hypopharynx
C13.8	4	PT	Preferred term	Overlapping lesion of hypopharynx	CL018323		
C13.9	4	PT	Preferred term	Hypopharynx, NOS	C0020629	C12246	Hypopharynx
C13.9	Related	RT	Related term	Hypopharyngeal wall	C0020629	C12246	Hypopharynx
C13.9	Related	RT	Related term	Laryngopharynx	C0020629	C12246	Hypopharynx
C14	3	HT	Hierarchical term	OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX	CL025608		
C14.0	4	PT	Preferred term	Pharynx, NOS	C0031354	C12425	Pharynx
C14.0	Related	RT	Related term	Lateral wall of pharynx, NOS	C0227151	C129817	Lateral Wall of the Pharynx
C14.0	Related	RT	Related term	Pharyngeal wall, NOS	C0227149	C129816	Wall of the Pharynx
C14.0	Related	RT	Related term	Posterior wall of pharynx, NOS	C0227150	C54222	Posterior Wall of the Pharynx
C14.0	Related	RT	Related term	Retropharynx	CL092451		
C14.0	Related	RT	Related term	Throat	C0031354	C12425	Pharynx
C14.0	Synonym	SY	Synonym	Wall of pharynx, NOS	C0227149	C129816	Wall of the Pharynx
C14.2	4	PT	Preferred term	Waldeyer ring	C0459892	C73468	Waldeyer's Tonsillar Ring
C14.8	4	PT	Preferred term	Overlapping lesion of lip, oral cavity and pharynx	CL018327		
C15-C26	2	HT	Hierarchical term	DIGESTIVE ORGANS	C0227435		
C15	3	HT	Hierarchical term	ESOPHAGUS	C0014876	C12389	Esophagus
C15.0	4	PT	Preferred term	Cervical esophagus	C0227186	C12250	Cervical Esophagus
C15.1	4	PT	Preferred term	Thoracic esophagus	C0227188	C12251	Thoracic Esophagus
C15.2	4	PT	Preferred term	Abdominal esophagus	C0227190	C12252	Abdominal Esophagus
C15.3	4	PT	Preferred term	Upper third of esophagus	C0227187	C12253	Upper Third of the Esophagus
C15.3	Synonym	SY	Synonym	Proximal third of esophagus	C0227187	C12253	Upper Third of the Esophagus
C15.4	4	PT	Preferred term	Middle third of esophagus	C0227189	C12254	Middle Third of the Esophagus
C15.5	4	PT	Preferred term	Lower third of esophagus	C0227191	C12255	Lower Third of the Esophagus
C15.5	Synonym	SY	Synonym	Distal third of esophagus	C0227191	C12255	Lower Third of the Esophagus
C15.8	4	PT	Preferred term	Overlapping lesion of esophagus	CL018328		
C15.9	4	PT	Preferred term	Esophagus, NOS	C0014876	C12389	Esophagus
C16	3	HT	Hierarchical term	STOMACH	C0038351	C12391	Stomach
C16.0	4	PT	Preferred term	Cardia, NOS	C0007144	C12256	Gastric Cardia
C16.0	Related	RT	Related term	Cardioesophageal junction	C0014871	C32668	Gastroesophageal Junction
C16.0	Synonym	SY	Synonym	Esophagogastric junction	C0014871	C32668	Gastroesophageal Junction
C16.0	Synonym	SY	Synonym	Gastric cardia	C0007144	C12256	Gastric Cardia
C16.0	Synonym	SY	Synonym	Gastroesophageal junction	C0014871	C32668	Gastroesophageal Junction
C16.1	4	PT	Preferred term	Fundus of stomach	C0017129	C12257	Fundus of the Stomach
C16.1	Synonym	SY	Synonym	Gastric fundus	C0017129	C12257	Fundus of the Stomach
C16.2	4	PT	Preferred term	Body of stomach	C0227230	C12258	Body of Stomach
C16.2	Synonym	SY	Synonym	Corpus of stomach	C0227230	C12258	Body of Stomach
C16.2	Synonym	SY	Synonym	Gastric corpus	C0227230	C12258	Body of Stomach
C16.3	4	PT	Preferred term	Gastric antrum	C0034193	C12259	Antrum Pylori
C16.3	Synonym	SY	Synonym	Antrum of stomach	C0034193	C12259	Antrum Pylori
C16.3	Synonym	SY	Synonym	Pyloric antrum	C0034193	C12259	Antrum Pylori
C16.4	4	PT	Preferred term	Pylorus	C0034196	C12260	Pylorus
C16.4	Related	RT	Related term	Prepylorus	C0447510		
C16.4	Synonym	SY	Synonym	Pyloric canal	C0227233		
C16.5	4	PT	Preferred term	Lesser curvature of stomach, NOS	C0227221	C12261	Lesser Curvature of the Stomach
C16.6	4	PT	Preferred term	Greater curvature of stomach, NOS	C0227223	C12262	Greater Curvature of the Stomach
C16.8	4	PT	Preferred term	Overlapping lesion of stomach	CL497887		
C16.8	Related	RT	Related term	Anterior wall of stomach, NOS	CL497887		
C16.8	Related	RT	Related term	Posterior wall of stomach, NOS	C0227226		
C16.9	4	PT	Preferred term	Stomach, NOS	C0038351	C12391	Stomach
C16.9	Synonym	SY	Synonym	Gastric, NOS	C0038351	C12391	Stomach
C17	3	HT	Hierarchical term	SMALL INTESTINE	C0021852	C12386	Small Intestine
C17.0	4	PT	Preferred term	Duodenum	C0013303	C12263	Duodenum
C17.1	4	PT	Preferred term	Jejunum	C0022378	C12388	Jejunum
C17.2	4	PT	Preferred term	Ileum	C0020885	C12387	Ileum
C17.3	4	PT	Preferred term	Meckel diverticulum	C0025037	C12264	Meckel Diverticulum
C17.8	4	PT	Preferred term	Overlapping lesion of small intestine	CL018331		
C17.9	4	PT	Preferred term	Small intestine, NOS	C0021852	C12386	Small Intestine
C17.9	Synonym	SY	Synonym	Small bowel, NOS	C0021852	C12386	Small Intestine
C18	3	HT	Hierarchical term	COLON	C0009368	C12382	Colon
C18.0	4	PT	Preferred term	Cecum	C0007531	C12381	Cecum
C18.0	Related	RT	Related term	Ileocecal junction	C0475433		
C18.0	Related	RT	Related term	Ileocecal valve	C0020880	C13066	Ileocecal Valve
C18.1	4	PT	Preferred term	Appendix	C0003617	C12380	Appendix
C18.2	4	PT	Preferred term	Ascending colon	C0227375	C12265	Ascending Colon
C18.2	Synonym	SY	Synonym	Right colon	C0227375	C12265	Ascending Colon
C18.3	4	PT	Preferred term	Hepatic flexure of colon	C0227385	C12266	Hepatic Flexure
C18.4	4	PT	Preferred term	Transverse colon	C0227386	C12385	Transverse Colon
C18.5	4	PT	Preferred term	Splenic flexure of colon	C0227387	C12267	Splenic Flexure
C18.6	4	PT	Preferred term	Descending colon	C0227389	C12268	Descending Colon
C18.6	Synonym	SY	Synonym	Left colon	C0227389	C12268	Descending Colon
C18.7	4	PT	Preferred term	Sigmoid colon	C0227391	C12384	Sigmoid Colon
C18.7	Synonym	SY	Synonym	Pelvic colon	C0227391	C12384	Sigmoid Colon
C18.7	Synonym	SY	Synonym	Sigmoid flexure of colon	C0227391	C12384	Sigmoid Colon
C18.7	Synonym	SY	Synonym	Sigmoid, NOS	C0227391	C12384	Sigmoid Colon
C18.8	4	PT	Preferred term	Overlapping lesion of colon	CL018333		
C18.9	4	PT	Preferred term	Colon, NOS	C0009368	C12382	Colon
C18.9	Synonym	SY	Synonym	Large bowel, NOS	C0021851	C12379	Large Intestine
C18.9	Synonym	SY	Synonym	Large intestine	C0021851	C12379	Large Intestine
C19	3	HT	Hierarchical term	RECTOSIGMOID JUNCTION	C1709868	C54188	Rectosigmoid Region
C19.9	4	PT	Preferred term	Rectosigmoid junction	C1709868	C54188	Rectosigmoid Region
C19.9	Related	RT	Related term	Colon and rectum	CL018336		
C19.9	Related	RT	Related term	Pelvirectal junction	CL018337		
C19.9	Synonym	SY	Synonym	Rectosigmoid colon	C1709868	C54188	Rectosigmoid Region
C19.9	Synonym	SY	Synonym	Rectosigmoid, NOS	C0521377	C103438	Rectosigmoid Colon
C20	3	HT	Hierarchical term	RECTUM	C0034896	C12390	Rectum
C20.9	4	PT	Preferred term	Rectum, NOS	C0034896	C12390	Rectum
C20.9	Related	RT	Related term	Rectal ampulla	C0227404		
C21	3	HT	Hierarchical term	ANUS AND ANAL CANAL	CL018338		
C21.0	4	PT	Preferred term	Anus, NOS	C0003461	C43362	Anus
C21.1	4	PT	Preferred term	Anal canal	C0227411	C12375	Anal Canal
C21.1	Related	RT	Related term	Anal sphincter	C0002760		
C21.2	4	PT	Preferred term	Cloacogenic zone	C0443181	C32072	Anal Transitional Zone
C21.8	4	PT	Preferred term	Overlapping lesion of rectum, anus and anal canal	CL018340		
C21.8	Related	RT	Related term	Anorectal junction	C0227410		
C21.8	Related	RT	Related term	Anorectum	CL018341		
C22	3	HT	Hierarchical term	LIVER AND INTRAHEPATIC BILE DUCTS	CL018342		
C22.0	4	PT	Preferred term	Liver	C0023884	C12392	Liver
C22.0	Synonym	SY	Synonym	Hepatic, NOS	C0205054	C13308	Hepatic
C22.1	4	PT	Preferred term	Intrahepatic bile duct	C0005401	C12677	Intrahepatic Bile Duct
C22.1	Related	RT	Related term	Biliary canaliculus	C0005393	C32202	Bile Canaliculus
C22.1	Related	RT	Related term	Cholangiole	C0227516		
C23	3	HT	Hierarchical term	GALLBLADDER	C0016976	C12377	Gallbladder
C23.9	4	PT	Preferred term	Gallbladder	C0016976	C12377	Gallbladder
C24	3	HT	Hierarchical term	OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT	CL018343		
C24.0	4	PT	Preferred term	Extrahepatic bile duct	C0206187	C32573	Extrahepatic Bile Duct
C24.0	Related	RT	Related term	Choledochal duct	CL018344		
C24.0	Related	RT	Related term	Common bile duct	C0009437	C12698	Common Bile Duct
C24.0	Related	RT	Related term	Cystic bile duct	CL018345		
C24.0	Related	RT	Related term	Hepatic bile duct	CL018346		
C24.0	Related	RT	Related term	Sphincter of Oddi	C0028872	C13065	Sphincter of Oddi
C24.0	Synonym	SY	Synonym	Bile duct, NOS	C0005400	C12376	Bile Duct
C24.0	Synonym	SY	Synonym	Biliary duct, NOS	C0005400	C12376	Bile Duct
C24.0	Synonym	SY	Synonym	Common duct	CL378903		
C24.0	Synonym	SY	Synonym	Cystic duct	C0010672	C32421	Cystic Duct
C24.0	Synonym	SY	Synonym	Hepatic duct	C0917710	C32730	Hepatic Duct
C24.1	4	PT	Preferred term	Ampulla of Vater	C0042425	C13011	Ampulla of Vater
C24.1	Related	RT	Related term	Periampullary	CL018347		
C24.8	4	PT	Preferred term	Overlapping lesion of biliary tract	CL018348		
C24.9	4	PT	Preferred term	Biliary tract, NOS	C0005423	C12678	Biliary Tract
C25	3	HT	Hierarchical term	PANCREAS	C0030274	C12393	Pancreas
C25.0	4	PT	Preferred term	Head of pancreas	C0227579	C12269	Head of the Pancreas
C25.1	4	PT	Preferred term	Body of pancreas	C0227582	C12270	Body of the Pancreas
C25.2	4	PT	Preferred term	Tail of pancreas	C0227590	C12271	Tail of the Pancreas
C25.3	4	PT	Preferred term	Pancreatic duct	C0030288	C12272	Pancreatic Duct
C25.3	Related	RT	Related term	Duct of Santorini	C0227573	C32487	Ductus Santorini
C25.3	Related	RT	Related term	Duct of Wirsung	C0447557		
C25.4	4	PT	Preferred term	Islets of Langerhans	C0022131	C12608	Islet of Langerhans
C25.4	Synonym	SY	Synonym	Endocrine pancreas	C0022131	C12608	Islet of Langerhans
C25.4	Synonym	SY	Synonym	Islands of Langerhans	C0022131	C12608	Islet of Langerhans
C25.7	4	PT	Preferred term	Other specified parts of pancreas	C1518669	C12273	Other Specified Parts of Pancreas
C25.7	Related	RT	Related term	Neck of pancreas	C0447556		
C25.8	4	PT	Preferred term	Overlapping lesion of pancreas	CL018351		
C25.9	4	PT	Preferred term	Pancreas, NOS	C0030274	C12393	Pancreas
C26	3	HT	Hierarchical term	OTHER AND ILL-DEFINED DIGESTIVE ORGANS	CL018352		
C26.0	4	PT	Preferred term	Intestinal tract, NOS	C0021853	C12736	Intestine
C26.0	Synonym	SY	Synonym	Bowel, NOS	C0021853	C12736	Intestine
C26.0	Synonym	SY	Synonym	Intestine, NOS	C0021853	C12736	Intestine
C26.8	4	PT	Preferred term	Overlapping lesion of digestive system	CL018353		
C26.9	4	PT	Preferred term	Gastrointestinal tract, NOS	C0017189	C34082	Gastrointestinal Tract
C26.9	Related	RT	Related term	Alimentary tract, NOS	C0017189	C34082	Gastrointestinal Tract
C26.9	Related	RT	Related term	Digestive organs, NOS	C0227435		
C30-C39	2	HT	Hierarchical term	RESPIRATORY SYSTEM AND INTRATORACIC ORGANS	CL018354		
C30	3	HT	Hierarchical term	NASAL CAVITY AND MIDDLE EAR	CL018355		
C30.0	4	PT	Preferred term	Nasal cavity	C0027423	C12424	Nasal Cavity
C30.0	Related	RT	Related term	Naris	C0595944	C33178	Nostril
C30.0	Related	RT	Related term	Nasal cartilage	C0225415	C49593	Nasal Cartilage
C30.0	Related	RT	Related term	Nasal mucosa	C0027428		
C30.0	Related	RT	Related term	Nasal septum, NOS	C0027432	C33160	Nasal Septum
C30.0	Related	RT	Related term	Nasal turbinate	C1266928	C49594	Nasal Turbinate
C30.0	Related	RT	Related term	Nostril	C0595944	C33178	Nostril
C30.0	Related	RT	Related term	Vestibule of nose	CL098934		
C30.0	Synonym	SY	Synonym	Internal nose	C0225425		
C30.1	4	PT	Preferred term	Middle ear	C0013455	C12274	Middle Ear
C30.1	Related	RT	Related term	Auditory tube	C0015183	C12500	Eustachian Tube
C30.1	Related	RT	Related term	Eustachian tube	C0015183	C12500	Eustachian Tube
C30.1	Related	RT	Related term	Inner ear	C0022889	C12499	Inner Ear
C30.1	Related	RT	Related term	Mastoid antrum	C0229428		
C30.1	Related	RT	Related term	Tympanic cavity	C0242255		
C31	3	HT	Hierarchical term	ACCESSORY SINUSES	C0030471	C12763	Paranasal Sinus
C31.0	4	PT	Preferred term	Maxillary sinus	C0024957	C12275	Maxillary Sinus
C31.0	Synonym	SY	Synonym	Antrum, NOS	C0024957	C12275	Maxillary Sinus
C31.0	Synonym	SY	Synonym	Maxillary antrum	C0024957	C12275	Maxillary Sinus
C31.1	4	PT	Preferred term	Ethmoid sinus	C0015028	C12276	Ethmoid Sinus
C31.2	4	PT	Preferred term	Frontal sinus	C0016734	C12277	Frontal Sinus
C31.3	4	PT	Preferred term	Sphenoid sinus	C0037885	C12278	Sphenoid Sinus
C31.8	4	PT	Preferred term	Overlapping lesion of accessory sinuses	CL018359		
C31.9	4	PT	Preferred term	Accessory sinus, NOS	C0030471	C12763	Paranasal Sinus
