gene_symbol	CHRO	BASESTART	BASESTOP	ENSEMBLGENEID	ENTREZGENEID
ABCA5	17	64752170	64834918	NA	1079
ABCA6	17	64586441	64649610	NA	134
ABCA7	19	991101	1016570	NA	592
ABCA8	17	64375022	64463128	NA	1076
ABCA9	17	64482367	64568731	NA	134
ABCB1	7	86970884	87180575	NA	19
ABCB10	1	227718951	227761065	NA	2322
ABCB11	2	169487694	169596079	NA	1878
ABCB4	7	86869296	86942991	NA	155
ABCB5	7	20621769	20763162	NA	92
ABCB6	2	219782731	219791956	NA	2261
ABCB7	X	74189731	74292900	NA	1151
ABCB8	7	150356441	150375802	NA	1732
ABCB9	12	121971450	122025705	NA	1515
ABCC1	16	15950934	16144431	NA	88
ABCC10	6	43503269	43526141	NA	114
ABCC11	16	46758322	46826589	NA	117
ABCC12	16	46674384	46738182	NA	941
ABCC13	21	14567990	14595563	NA	696
ABCC2	10	101532344	101601939	NA	169
ABCC3	17	46067216	46124062	NA	936
ABCC4	13	94470083	94751701	NA	163
ABCC5	3	185120417	185218421	NA	249
ABCC6	16	16150922	16224829	NA	708
ABCC6P1	16	18490070	18517108	NA	726
ABCC6P2	16	14823789	14826060	NA	698
ABCC8	11	17371007	17454968	NA	89
ABCC9	12	21841590	21980895	NA	93
ABCD1	X	152643516	152663410	NA	1749
ABCD2	12	38231288	38300110	NA	109
ABCD3	1	94656520	94756807	NA	1307
ABCD4	14	73821732	73839520	NA	1148
ABCE1	4	146238605	146270126	NA	1700
ABCF1	6	30647148	30667288	NA	818
ABCF2	7	150535855	150555393	NA	1733
ABCF3	3	185386556	185394489	NA	1999
ABCG1	21	42492867	42590423	NA	909
ABCG2	4	89230439	89371498	NA	158
ABCG4	11	118524959	118538584	NA	1489
ABCG5	2	43893114	43919462	NA	114
ABCG8	2	43919606	43959109	NA	920
ABHD1	2	27200160	27207184	NA	792
ABHD10	3	113180412	113194905	NA	1448
ABHD11	7	72788360	72791133	NA	1140
ABHD12	20	25223378	25319618	NA	97
ABHD12B	14	50408627	50441438	NA	969
ABHD13	13	107668763	107684604	NA	1406
ABHD14A	3	51984081	51990256	NA	981
ABHD14A-ACY1	3	51984081	51998258	NA	981
ABHD14B	3	51977565	51983686	NA	981
ABHD15	17	24911814	24918168	NA	775
ABHD16A	6	31762704	31779116	NA	827
ABHD16B	20	61963009	61964785	NA	1057
ABHD17A	19	1827974	1836518	NA	74
ABHD17B	9	73667187	73715968	NA	1147
ABHD17C	15	78774706	78835017	NA	1186
ABHD2	15	87432384	87546595	NA	1252
ABHD3	18	17484855	17538764	NA	718
ABHD4	14	22136986	22151105	NA	753
ABHD5	3	43707378	43739221	NA	918
ABHD6	3	58198298	58255501	NA	1029
ABHD7	1	92268145	92301681	NA	2
ABHD8	19	17263939	17275282	NA	716
ABHD9	19	15198735	15204768	NA	700
ABI1	10	27075530	27190022	NA	98
ABI2	2	203901206	204005141	NA	267
ABI3	17	44642587	44655586	NA	925
ABI3BP	3	101950868	102195024	NA	170
ABL1	9	132579088	132752885	NA	199
ABL2	1	177335084	177465442	NA	1938
ABLIM1	10	116180858	116434404	NA	183
ABLIM2	4	8017936	8211459	NA	80
ABLIM3	5	148501238	148620194	NA	214
ABO	9	135120383	135140451	NA	201
ABP1	7	150180544	150189312	NA	1730
ABR	17	853507	1037366	NA	73
ABRA	8	107840886	107851648	NA	1407
ABRACL	6	139391511	139406132	NA	1648
ABT1	6	26705149	26708256	NA	788
ABTB1	3	128874470	128882459	NA	1568
ABTB2	11	34129109	34336131	NA	105
ACAA1	3	38139204	38153737	NA	109
ACAA2	18	45563871	45594249	NA	932
ACACA	17	32516039	32841015	NA	104
ACACB	12	108061584	108190413	NA	176
ACAD10	12	110608239	110679294	NA	178
ACAD11	3	133759671	133861665	NA	200
ACAD8	11	133628643	133640956	NA	1604
ACAD9	3	130081022	130114647	NA	1577
ACADL	2	210760960	210798460	NA	34
ACADM	1	75962619	76001951	NA	1164
ACADS	12	119647923	119662194	NA	1497
ACADSB	10	124758418	124807796	NA	23
ACADVL	17	7061167	7069310	NA	638
ACAN	15	87147677	87219589	NA	156
ACAP1	17	7180571	7195517	NA	639
ACAP2	3	196476753	196645106	NA	260
ACAP3	1	1217626	1233132	NA	594
ACAT1	11	107497467	107524101	NA	1405
ACAT2	6	160102978	160120134	NA	1806
ACBD3	1	224399002	224441046	NA	2297
ACBD4	17	40565492	40577326	NA	894
ACBD5	10	27524148	27571074	NA	795
ACBD6	1	178523974	178738645	NA	243
ACBD7	10	15157479	15170781	NA	700
ACCN1	17	28365050	29507705	NA	12
ACCN2	12	48738793	48763149	NA	119
ACCN3	7	150376903	150380704	NA	1732
ACCN4	2	220087135	220111738	NA	2264
ACCN5	4	156970457	157006828	NA	1782
ACCS	11	44044304	44062145	NA	921
ACCSL	11	44026106	44038103	NA	920
ACD	16	66248915	66252219	NA	1090
ACE	17	58908153	58952935	NA	1034
ACE2	X	15489076	15530113	NA	703
ACER1	19	6257509	6284640	NA	632
ACER2	9	19398924	19442500	NA	733
ACER3	11	76249564	76415489	NA	145
ACHE	7	100325550	100331690	NA	1350
ACIN1	14	22597613	22634663	NA	757
ACKR1	1	157440426	157442914	NA	1786
ACKR2	3	42825967	42883779	NA	113
ACKR3	2	237143118	237155733	NA	2394
ACKR4	3	133798770	133804175	NA	1605
ACLY	17	37276695	37328801	NA	869
ACMSD	2	135312655	135376072	NA	1617
ACN9	7	96584954	96649011	NA	165
ACO1	9	32374600	32440832	NA	103
ACO2	22	40195073	40254939	NA	111
ACOT1	14	73073680	73080251	NA	1142
ACOT11	1	54786394	54873005	NA	125
ACOT12	5	80661702	80725744	NA	1200
ACOT13	6	24775241	24813274	NA	774
ACOT2	14	73104076	73112116	NA	1142
ACOT4	14	73128162	73132223	NA	1142
ACOT6	14	73153300	73156345	NA	1143
ACOT7	1	6246918	6376413	NA	9
ACOT8	20	43903766	43919455	NA	114
ACOT9	X	23631697	23671328	NA	765
ACOX1	17	71449186	71487110	NA	1130
ACOX2	3	58465902	58497969	NA	1031
ACOX3	4	8418908	8493352	NA	649
ACOXL	2	111206620	111592270	NA	179
ACP1	2	254868	268282	NA	73
ACP2	11	47217428	47226974	NA	945
ACP5	19	11546474	11550801	NA	673
ACP6	1	145585791	145609258	NA	1695
ACPL2	3	142433386	142495855	NA	208
ACPP	3	133518900	133569836	NA	1603
ACPT	19	55985483	55990293	NA	1012
ACR	22	49523517	49530593	NA	962
ACRBP	12	6617501	6626841	NA	635
ACRC	X	70714598	70750158	NA	1124
ACRV1	11	125047438	125056003	NA	1539
ACSBG1	15	76250241	76314104	NA	145
ACSBG2	19	6086643	6144114	NA	631
ACSF2	17	45858517	45907205	NA	116
ACSF3	16	87687717	87749755	NA	1254
ACSL1	4	185913742	185984262	NA	2003
ACSL3	2	223433975	223516363	NA	286
ACSL4	X	108771219	108863277	NA	176
ACSL5	10	114123905	114178128	NA	181
ACSL6	5	131313565	131375660	NA	198
ACSM1	16	20542059	20610079	NA	92
ACSM2A	16	20370283	20406492	NA	740
ACSM2B	16	20455583	20495196	NA	741
ACSM3	16	20682812	20715980	NA	742
ACSM4	12	7348194	7372236	NA	641
ACSM5	16	20328356	20360156	NA	740
ACSM6	10	96943946	96978676	NA	1324
ACSS1	20	24934865	24986818	NA	775
ACSS2	20	32926426	32979430	NA	836
ACSS3	12	79995939	80173713	NA	149
ACTA1	1	227633615	227636466	NA	2321
ACTA2	10	90684810	90741127	NA	159
ACTB	7	5533304	5536758	NA	627
ACTBL2	5	56811599	56814393	NA	1018
ACTC1	15	32867588	32875219	NA	835
ACTG1	17	77091591	77094487	NA	1173
ACTG1P17	15	81191703	81205586	NA	1204
ACTG1P20	1	27522951	27525603	NA	99
ACTG1P4	1	103913548	103915531	NA	1377
ACTG2	2	73973600	74000288	NA	1149
ACTL10	20	31717964	31719992	NA	103
ACTL6A	3	180763361	180788889	NA	1964
ACTL6B	7	100078661	100092020	NA	1348
ACTL7A	9	110664328	110665856	NA	1429
ACTL7B	9	110656685	110658096	NA	1429
ACTL8	1	17954394	18026145	NA	90
ACTL9	19	8668746	8670180	NA	651
ACTN1	14	68410592	68515836	NA	138
ACTN2	1	234916376	234994550	NA	2377
ACTN3	11	66070441	66087376	NA	1089
ACTN4	19	43830106	43913011	NA	114
ACTR10	14	57736585	57772106	NA	1025
ACTR1A	10	104228975	104252502	NA	1380
ACTR1B	2	97638833	97646993	NA	1329
ACTR2	2	65308332	65351891	NA	1083
ACTR3	2	114363980	114435599	NA	182
ACTR3B	7	152087766	152183397	NA	218
ACTR3BP2	2	91492885	91494223	NA	1283
ACTR3BP5	10	39029732	39031377	NA	882
ACTR3C	7	149575233	149651691	NA	1726
ACTR5	20	36810510	36834503	NA	108
ACTR6	12	99117995	99142333	NA	1341
ACTR8	3	53876133	53891269	NA	996
ACTRT1	X	127012621	127014063	NA	1554
ACTRT2	1	2927905	2929327	NA	607
ACTRT3	3	170967404	170970377	NA	1889
ACVR1	2	158301204	158440620	NA	27
ACVR1B	12	50631717	50677130	NA	971
ACVR1C	2	158091524	158193645	NA	1791
ACVR2A	2	148318555	148404866	NA	214
ACVR2B	3	38470793	38509637	NA	878
ACVRL1	12	50587468	50603412	NA	121
ACY1	3	51992339	51998258	NA	981
ACY3	11	67166601	67174706	NA	1097
ACYP1	14	74589680	74605939	NA	1154
ACYP2	2	54195913	54385939	NA	124
ADA	20	42681576	42713790	NA	910
ADAD1	4	123519570	123570397	NA	1527
ADAD2	16	82782223	82788273	NA	1216
ADAL	15	41409845	41434045	NA	112
ADAM10	15	56674694	56829469	NA	127
ADAM11	17	40192093	40214740	NA	891
ADAM12	10	127690943	128067117	NA	24
ADAM15	1	153290371	153301876	NA	1754
ADAM17	2	9546861	9613368	NA	82
ADAM18	8	39561243	39706740	NA	110
ADAM19	5	156836889	156935409	NA	222
ADAM1A	12	110821249	110824089	NA	1430
ADAM2	8	39720410	39814965	NA	888
ADAM20	14	70058830	70071485	NA	1119
ADAM20P1	14	70005348	70020226	NA	1119
ADAM21	14	69988626	69996375	NA	1119
ADAM21P1	14	69782222	69784271	NA	1117
ADAM22	7	87401501	87670140	NA	156
ADAM23	2	207016612	207194099	NA	270
ADAM28	8	24207497	24272476	NA	96
ADAM29	4	176076083	176135906	NA	1928
ADAM30	1	120237678	120240670	NA	1502
ADAM32	8	39084206	39261593	NA	110
ADAM33	20	3596619	3610778	NA	612
ADAM3A	8	39427720	39499665	NA	110
ADAM5	8	39291338	39379532	NA	110
ADAM6	14	105506862	105509403	NA	1389
ADAM7	8	24354453	24422967	NA	96
ADAM8	10	134925910	134940397	NA	1614
ADAM9	8	38973661	39081936	NA	110
ADAMDEC1	8	24297742	24319471	NA	770
ADAMTS1	21	27130476	27139599	NA	98
ADAMTS10	19	8551123	8581620	NA	650
ADAMTS12	5	33563043	33927881	NA	105
ADAMTS13	9	135269279	135314346	NA	1617
ADAMTS14	10	72102564	72192201	NA	1135
ADAMTS15	11	129824078	129851749	NA	1575
ADAMTS16	5	5193442	5373412	NA	9
ADAMTS17	15	98329165	98699706	NA	20
ADAMTS18	16	75873525	76026512	NA	145
ADAMTS19	5	128824001	129102275	NA	24
ADAMTS2	5	178470457	178705037	NA	243
ADAMTS20	12	42034278	42231991	NA	113
ADAMTS3	4	73365549	73653380	NA	17
ADAMTS4	1	159426161	159435469	NA	1801
ADAMTS5	21	27212101	27261310	NA	792
ADAMTS6	5	64480318	64813460	NA	134
ADAMTS7	15	76838599	76890828	NA	1171
ADAMTS7P1	15	80372675	80721297	NA	1198
ADAMTS8	11	129780027	129803749	NA	1575
ADAMTS9	3	64476370	64648405	NA	134
ADAMTSL1	9	18464078	18900947	NA	90
ADAMTSL2	9	135387106	135430462	NA	202
ADAMTSL3	15	82113841	82499597	NA	151
ADAMTSL4	1	148788468	148800036	NA	1720
ADAMTSL5	19	1456016	1464188	NA	596
ADAP1	7	904062	961569	NA	73
ADAP2	17	26272879	26310337	NA	785
ADAR	1	152821157	152867080	NA	218
ADARB1	21	45318920	45470906	NA	116
ADARB2	10	1213252	1769670	NA	74
ADAT1	16	74189747	74214722	NA	1151
ADAT2	6	143785661	143813534	NA	210
ADAT3	19	1856370	1864446	NA	599
ADC	1	33319300	33358717	NA	839
ADCK1	14	77336178	77470050	NA	146
ADCK2	7	140019421	140041377	NA	1653
ADCK3	1	225194560	225241869	NA	2303
ADCK4	19	45889273	45914630	NA	935
ADCK5	8	145568511	145589261	NA	1695
ADCY1	7	45580263	45729239	NA	116
ADCY10	1	166045248	166150088	NA	231
ADCY10P1	6	41176750	41216551	NA	899
ADCY2	5	7449342	7883194	NA	80
ADCY3	2	24895541	24995559	NA	96
ADCY4	14	23857394	23874117	NA	767
ADCY5	3	124483832	124650082	NA	191
ADCY6	12	47446241	47469087	NA	118
ADCY7	16	48857951	48909546	NA	119
ADCY8	8	131861728	132122017	NA	24
ADCY9	16	3952650	4106187	NA	76
ADCYAP1	18	894943	902173	NA	591
ADCYAP1R1	7	31058600	31117618	NA	822
ADD1	4	2815381	2901600	NA	75
ADD2	2	70742723	70848883	NA	140
ADD3	10	111755715	111885313	NA	179
ADFP	9	19105767	19117470	NA	730
ADGB	6	146961828	147178290	NA	213
ADGRA1	10	134751497	134795169	NA	1613
ADGRA2	8	37773558	37820662	NA	873
ADGRA3	4	21998094	22126775	NA	11
ADGRB1	8	143542378	143623370	NA	1680
ADGRB2	1	31965292	32002251	NA	103
ADGRB3	6	69402352	70156124	NA	139
ADGRD1	12	130004404	130191961	NA	24
ADGRE1	19	6838559	6891464	NA	637
ADGRE2	19	14704508	14750353	NA	697
ADGRE3	19	14590928	14646730	NA	696
ADGRE4P	19	6903510	6941857	NA	637
ADGRE5	19	14352955	14380537	NA	694
ADGRF1	6	47073398	47118058	NA	944
ADGRF2	6	47732284	47773492	NA	949
ADGRF3	2	26384544	26423189	NA	786
ADGRF4	6	47774247	47797716	NA	949
ADGRF5	6	46928203	47030634	NA	943
ADGRG1	16	56211105	56256452	NA	126
ADGRG2	X	18917345	19050676	NA	91
ADGRG3	16	56259657	56280791	NA	1014
ADGRG4	X	135210787	135326713	NA	25
ADGRG5	16	56133833	56168601	NA	1013
ADGRG6	6	142664748	142809096	NA	209
ADGRG7	3	101811122	101897015	NA	170
ADGRL1	19	14119548	14177997	NA	86
ADGRL2	1	81938042	82231010	NA	151
ADGRL3	4	62045433	62620763	NA	132
ADGRL4	1	79128036	79245083	NA	148
ADGRV1	5	89890372	90495789	NA	19
ADH1A	4	100416545	100431208	NA	1351
ADH1B	4	100446566	100461622	NA	1351
ADH1C	4	100476671	100493225	NA	1351
ADH4	4	100263830	100284472	NA	168
ADH5	4	100211152	100228962	NA	1349
ADH6	4	100342817	100359426	NA	1350
ADH7	4	100552440	100575690	NA	1352
ADHFE1	8	67507271	67543598	NA	1100
ADI1	2	3480696	3502354	NA	611
ADIG	20	36643251	36650520	NA	864
ADIPOQ	3	188043156	188058946	NA	2019
ADIPOR1	1	201176575	201194323	NA	2119
ADIPOR2	12	1670507	1768106	NA	74
ADIRF	10	88718167	88720646	NA	1261
ADK	10	75580948	76139068	NA	145
ADM	11	10283102	10285525	NA	663
ADM2	22	49266850	49271732	NA	960
ADM5	19	54883753	54886059	NA	1003
ADNP	20	48938861	48981157	NA	958
ADNP2	18	75967902	75999219	NA	1164
ADO	10	64234521	64238245	NA	1075
ADORA1	1	201363458	201403156	NA	2121
ADORA2A	22	23149564	23168328	NA	761
ADORA2B	17	15788955	15819935	NA	705
ADORA3	1	111827492	111908086	NA	1438
ADPGK	15	70830760	70863179	NA	1125
ADPRH	3	120780969	120791482	NA	1506
ADPRHL1	13	113124255	113155840	NA	1448
ADPRHL2	1	36327039	36332120	NA	862
ADPRM	17	10541651	10555600	NA	665
ADRA1A	8	26661583	26778839	NA	98
ADRA1B	5	159276317	159332595	NA	1800
ADRA1D	20	4149277	4177659	NA	616
ADRA2A	10	112826779	112830652	NA	1445
ADRA2B	2	96142349	96145711	NA	1318
ADRA2C	4	3737922	3740051	NA	613
ADRB1	10	115793795	115796657	NA	1468
ADRB2	5	148186348	148188390	NA	1715
ADRB3	8	37939670	37943341	NA	874
ADRBK1	11	66790480	66810605	NA	1094
ADRBK2	22	24290860	24455258	NA	96
ADRM1	20	60311346	60317313	NA	1045
ADSL	22	39072449	39092521	NA	883
ADSS	1	242638416	242682059	NA	2436
ADSSL1	14	104261578	104284692	NA	1380
ADTRP	6	11821873	11887266	NA	675
AEBP1	7	44110484	44120689	NA	921
AEBP2	12	19483874	19566440	NA	91
AEN	15	86965530	86976516	NA	1248
AES	19	3003907	3013964	NA	607
AFAP1	4	7811339	7992553	NA	80
AFAP1L1	5	148631593	148701560	NA	214
AFAP1L2	10	116044572	116154527	NA	183
AFF1	4	88075177	88281230	NA	157
AFF2	X	147389830	147889899	NA	26
AFF3	2	99530147	100125469	NA	20
AFF4	5	132238969	132327253	NA	199
AFG3L1P	16	88566488	88594696	NA	1260
AFG3L2	18	12318942	12367275	NA	84
AFM	4	74566325	74588582	NA	144
AFMID	17	73694992	73715377	NA	1147
AFP	4	74520799	74540366	NA	1153
AFTPH	2	64604942	64673642	NA	134
AGA	4	178588922	178600651	NA	1947
AGAP1	2	236067471	236705183	NA	298
AGAP1-IT1	2	236079133	236080949	NA	2386
AGAP11	10	88720477	88759940	NA	1262
AGAP2	12	56404342	56422211	NA	1015
AGAP3	7	150413850	150472456	NA	1732
AGAP4	10	45641045	45669331	NA	933
AGAP5	10	75104038	75127560	NA	144
AGAP6	10	51418083	51440265	NA	977
AGAP7P	10	51134149	51156333	NA	975
AGAP9	10	46611849	47857514	NA	118
AGBL1	15	84486245	85373287	NA	19
AGBL2	11	47637718	47693504	NA	948
AGBL3	7	134321798	134471070	NA	201
AGBL4	1	48771113	50262213	NA	14
AGBL4-IT1	1	49612459	49710344	NA	120
AGBL5	2	27127994	27146994	NA	98
AGER	6	32256722	32260077	NA	831
AGFG1	2	228045131	228134182	NA	290
AGFG2	7	99974769	100003779	NA	1347
AGGF1	5	76361965	76396814	NA	1167
AGK	7	140897546	141000678	NA	207
AGL	1	100088227	100162167	NA	168
AGMAT	1	15770780	15784192	NA	705
AGMO	7	15206467	15568165	NA	87
AGO1	1	36121396	36162486	NA	860
AGO2	8	141610445	141714828	NA	208
AGO3	1	36169269	36294650	NA	107
AGO4	1	36046414	36096077	NA	860
AGPAT1	6	32243960	32253866	NA	831
AGPAT2	9	138687415	138701732	NA	1643
AGPAT3	21	44109543	44231903	NA	922
AGPAT4	6	161471046	161615097	NA	28
AGPAT4-IT1	6	161501153	161503004	NA	1817
AGPAT5	8	6553285	6606429	NA	79
AGPAT6	8	41554863	41601677	NA	902
AGPAT9	4	84676090	84746051	NA	1231
AGPS	2	177965716	178116810	NA	242
AGR2	7	16798788	16811263	NA	713
AGR3	7	16865553	16888138	NA	713
AGRN	1	945365	981362	NA	592
AGRP	16	66073974	66075217	NA	1089
AGT	1	228904891	228916959	NA	2331
AGTPBP1	9	87351273	87546764	NA	156
AGTR1	3	149898347	149943480	NA	1728
AGTR2	X	115215985	115220253	NA	1464
AGTRAP	1	11718728	11733415	NA	674
AGXT	2	241456834	241467209	NA	2427
AGXT2	5	35033962	35083997	NA	852
AGXT2L1	4	109882650	109903658	NA	1423
AGXT2L2	5	177568195	177592401	NA	1939
AHCTF1	1	245069024	245161349	NA	306
AHCTF1P1	2	162063823	162072659	NA	1821
AHCY	20	32331731	32363269	NA	831
AHCYL1	1	110328909	110367887	NA	178
AHCYL2	7	128652090	128857288	NA	195
AHDC1	1	27733342	27802592	NA	99
AHI1	6	135646802	135860596	NA	202
AHNAK	11	61957589	62070908	NA	1058
AHNAK2	14	104474635	104515739	NA	1382
AHR	7	17304800	17352300	NA	717
AHRR	5	357290	491405	NA	588
AHSA1	14	76994125	77005568	NA	1172
AHSA2	2	61258058	61268190	NA	1052
AHSG	3	187813543	187821802	NA	2017
AHSP	16	31446703	31447625	NA	824
AICDA	12	8646028	8656709	NA	81
AIDA	1	220900451	220952487	NA	2270
AIF1	6	31690972	31692777	NA	826
AIF1L	9	132961683	132988360	NA	1599
AIFM1	X	129091018	129127542	NA	196
AIFM2	10	71542028	71562696	NA	1130
AIFM3	22	19649417	19665649	NA	91
AIG1	6	143422192	143703173	NA	26
AIM1	6	107066422	107125017	NA	175
AIM1L	1	26520936	26553208	NA	787
AIM2	1	157298897	157313271	NA	1785
AIMP1	4	107456215	107489830	NA	175
AIMP2	7	6015407	6029991	NA	78
AIP	11	67007075	67015155	NA	1096
AIPL1	17	6267780	6279243	NA	632
AIRE	21	44530148	44542530	NA	924
AIRN	6	160344312	160348686	NA	1808
AJAP1	1	4614964	4743711	NA	77
AJUBA	14	22510222	22521691	NA	756
AK1	9	129668579	129679843	NA	1574
AK2	1	33246127	33275099	NA	838
AK3	9	4699556	4732043	NA	77
AK3L1	1	65385834	65465763	NA	135
AK4	1	65385819	65470416	NA	135
AK5	1	77520249	77798242	NA	18
AK6	5	68683308	68701596	NA	1109
AK7	14	95928200	96025517	NA	164
AK8	9	134590785	134744019	NA	201
AK9	6	109920751	110119108	NA	22
AKAP1	17	52517551	52553709	NA	985
AKAP10	17	19748356	19821761	NA	91
AKAP11	13	41744288	41795403	NA	903
AKAP12	6	151602826	151721390	NA	1742
AKAP13	15	83724850	84093593	NA	2
AKAP14	X	118913827	118938707	NA	1492
AKAP17A	Y	1670485	1681411	NA	597
AKAP2	9	111850698	111974612	NA	179
AKAP3	12	4594934	4628474	NA	620
AKAP4	X	49842150	49852404	NA	965
AKAP5	14	64001969	64010974	NA	1073
AKAP6	14	31868229	32372019	NA	103
AKAP7	6	131498518	131646368	NA	198
AKAP8	19	15325331	15351612	NA	87
AKAP8L	19	15351858	15390932	NA	702
AKAP9	7	91408124	91577923	NA	160
AKIP1	11	8889276	8898202	NA	652
AKIRIN1	1	39229502	39244324	NA	884
AKIRIN2	6	88441296	88468704	NA	1259
AKNA	9	116136254	116196506	NA	1471
AKNAD1	1	109160042	109202387	NA	177
AKR1A1	1	45789041	45808310	NA	934
AKR1B1	7	133777646	133794428	NA	1605
AKR1B10	7	133862883	133876706	NA	1606
AKR1B15	7	133884388	133915132	NA	1606
AKR1C1	10	4924795	5010158	NA	623
AKR1C2	10	5019967	5050225	NA	623
AKR1C3	10	5080957	5139878	NA	624
AKR1C4	10	5228797	5250912	NA	9
AKR1C6P	10	4903858	4948465	NA	622
AKR1C8P	10	5186654	5217150	NA	624
AKR1CL1	10	5193693	5217144	NA	624
AKR1CL2	10	4858425	4880251	NA	622
AKR1D1	7	137411717	137453590	NA	1633
AKR1E2	10	4858368	4880251	NA	622
AKR7A2	1	19501788	19511227	NA	733
AKR7A2P1	1	113267494	113268818	NA	1449
AKR7A3	1	19481643	19487867	NA	733
AKR7L	1	19465062	19473155	NA	733
AKT1	14	104306731	104333125	NA	1380
AKT1S1	19	55064101	55073425	NA	1005
AKT2	19	45428063	45483142	NA	931
AKT3	1	241718157	242073509	NA	303
AKTIP	16	52082452	52094717	NA	982
ALAD	9	115188412	115203439	NA	1463
ALAS1	3	52207138	52223383	NA	983
ALAS2	X	55052212	55074222	NA	1005
ALB	4	74488835	74505993	NA	1153
ALCAM	3	106568246	106778447	NA	174
ALDH16A1	19	54648284	54666117	NA	125
ALDH18A1	10	97355675	97406557	NA	165
ALDH1A1	9	74705397	74758053	NA	144
ALDH1A2	15	56032913	56145413	NA	126
ALDH1A3	15	99237419	99274353	NA	1342
ALDH1B1	9	38382660	38388662	NA	877
ALDH1L1	3	127305093	127382719	NA	1556
ALDH1L2	12	103937691	104002471	NA	1378
ALDH2	12	110689073	110732172	NA	1429
ALDH3A1	17	19581888	19592338	NA	734
ALDH3A2	17	19492655	19521500	NA	733
ALDH3B1	11	67532592	67553325	NA	1100
ALDH3B2	11	67186208	67205261	NA	1097
ALDH4A1	1	19070510	19101880	NA	730
ALDH5A1	6	24603175	24645414	NA	96
ALDH6A1	14	73594120	73620949	NA	1146
ALDH7A1	5	125905431	125958981	NA	1545
ALDH8A1	6	135280220	135312953	NA	1617
ALDH9A1	1	163898072	163934524	NA	1835
ALDOA	16	29971911	29989242	NA	813
ALDOB	9	103222662	103237883	NA	1372
ALDOC	17	23924259	23928078	NA	767
ALG1	16	5061810	5077381	NA	623
ALG10	12	34066482	34072503	NA	844
ALG10B	12	36996823	37009795	NA	867
ALG11	13	51484523	51501781	NA	977
ALG12	22	48682856	48698110	NA	956
ALG13	X	110811001	110890531	NA	178
ALG14	1	95220866	95311095	NA	163
ALG1L	3	127130807	127138577	NA	1554
ALG1L2	3	131283363	131299923	NA	1586
ALG1L9P	11	71183056	71202553	NA	1128
ALG2	9	101018527	101024067	NA	1355
ALG3	3	185442810	185450007	NA	1999
ALG5	13	36421907	36471504	NA	107
ALG6	1	63605848	63676821	NA	1070
ALG8	11	77489635	77528347	NA	1176
ALG9	11	111158128	111247515	NA	1433
ALK	2	29269143	29997981	NA	12
ALKBH1	14	77208501	77244109	NA	1174
ALKBH2	12	108010375	108015676	NA	1409
ALKBH3	11	43858932	43898401	NA	919
ALKBH4	7	101883671	101892326	NA	1362
ALKBH5	17	18027591	18053992	NA	722
ALKBH6	19	41191857	41196985	NA	899
ALKBH7	19	6323443	6326261	NA	633
ALKBH8	11	106878662	106941671	NA	1400
ALLC	2	3683660	3728135	NA	613
ALMS1	2	73466393	73690554	NA	143
ALMS1-IT1	2	73537737	73540112	NA	1146
ALMS1P	2	73725553	73766202	NA	1147
ALOX12	17	6840107	6854779	NA	637
ALOX12B	17	7916678	7931747	NA	645
ALOX12P2	17	6697618	6744392	NA	636
