NCIT:C3262	Neoplasm
NCIT:C126310	Ovarian Seromucinous Cystadenoma
NCIT:C4511	Ovarian Serous Cystadenoma
NCIT:C7278	Ovarian Papillary Cystadenoma
NCIT:C7282	Benign Ovarian Seromucinous Tumor
NCIT:C126311	Ovarian Seromucinous Adenofibroma
NCIT:C7313	Benign Ovarian Serous Tumor
NCIT:C40031	Ovarian Serous Adenofibroma
NCIT:C40032	Ovarian Serous Cystadenofibroma
NCIT:C7279	Ovarian Surface Papilloma
NCIT:C4516	Benign Ovarian Germ Cell Tumor
NCIT:C5245	Ovarian Myxoma
NCIT:C6803	Benign Ovarian Sex Cord-Stromal Tumor
NCIT:C121953	Ovarian Microcystic Stromal Tumor
NCIT:C3498	Ovarian Fibroma
NCIT:C7291	Ovarian Cellular Fibroma
NCIT:C3609	Benign Uterine Neoplasm
NCIT:C3607	Benign Cervical Neoplasm
NCIT:C128053	Benign Cervical Soft Tissue Neoplasm
NCIT:C128046	Cervical Leiomyoma
NCIT:C34584	Endocervical Polyp
NCIT:C6856	Cervical Microglandular Polyp
NCIT:C40215	Cervical Mullerian Papilloma
NCIT:C40227	Benign Cervical Mixed Epithelial and Mesenchymal Neoplasm
NCIT:C40230	Cervical Adenofibroma
NCIT:C40231	Cervical Adenomyoma
NCIT:C6342	Cervical Squamous Cell Papilloma
NCIT:C3608	Benign Uterine Corpus Neoplasm
NCIT:C27250	Uterine Corpus Adenomatoid Tumor
NCIT:C3434	Uterine Corpus Leiomyoma
NCIT:C3511	Uterine Corpus Degenerated Leiomyoma
NCIT:C40162	Uterine Corpus Leiomyoma, Mitotically Active Variant
NCIT:C40163	Uterine Corpus Cellular Leiomyoma
NCIT:C40164	Uterine Corpus Epithelioid Leiomyoma
NCIT:C40165	Uterine Corpus Apoplectic Leiomyoma
NCIT:C40166	Uterine Corpus Myxoid Leiomyoma
NCIT:C40167	Uterine Corpus Bizarre Leiomyoma
NCIT:C40168	Uterine Corpus Lipoleiomyoma
NCIT:C40170	Uterine Corpus Diffuse Leiomyomatosis
NCIT:C40173	Benign Metastasizing Leiomyoma of the Uterine Corpus
NCIT:C5356	Uterine Corpus Intravenous Leiomyomatosis
NCIT:C4262	Endometrial Stromal Nodule
NCIT:C4894	Benign Endometrial Neoplasm
NCIT:C6335	Benign Uterine Corpus Mixed Epithelial and Mesenchymal Neoplasm
NCIT:C6337	Uterine Corpus Adenofibroma
NCIT:C6338	Uterine Corpus Adenomyoma
NCIT:C6433	Endometrial Polyp
NCIT:C3610	Benign Vaginal Neoplasm
NCIT:C128113	Vaginal Dermoid Cyst
NCIT:C40255	Vaginal Mullerian Papilloma
NCIT:C40275	Benign Vaginal Mixed Epithelial and Mesenchymal Neoplasm
NCIT:C6373	Vaginal Leiomyoma
NCIT:C6374	Vaginal Squamous Cell Papilloma
NCIT:C3611	Benign Vulvar Neoplasm
NCIT:C128240	Vulvar Hidradenoma Papilliferum
NCIT:C128242	Vulvar Ectopic Fibroadenoma
NCIT:C128270	Vulvar Lipoma
NCIT:C128271	Vulvar Fibrolipoma
NCIT:C139548	Vulvar Composite Hidradenoma Papilliferum and Fibroadenoma
NCIT:C40301	Adenoma of Minor Vestibular Glands
NCIT:C40311	Vulvar Syringoma
NCIT:C40312	Vulvar Nodular Hidradenoma
NCIT:C40314	Vulvar Trichoepithelioma
NCIT:C40326	Vulvar Leiomyoma
NCIT:C40327	Vulvar Cellular Angiofibroma
NCIT:C6376	Vulvar Squamous Cell Papilloma
NCIT:C40290	Vulvar Squamous Cell Papillomatosis
NCIT:C8418	Benign Bartholin Gland Neoplasm
NCIT:C40299	Bartholin Gland Adenoma
NCIT:C3726	Adenomyoma
NCIT:C4517	Benign Fallopian Tube Neoplasm
NCIT:C40112	Fallopian Tube Papilloma
NCIT:C40113	Fallopian Tube Serous Adenofibroma
NCIT:C40114	Fallopian Tube Serous Cystadenofibroma
NCIT:C40116	Fallopian Tube Metaplastic Papillary Tumor
NCIT:C40127	Fallopian Tube Leiomyoma
NCIT:C40129	Fallopian Tube Adenomatoid Tumor
NCIT:C6517	Genital Rhabdomyoma
NCIT:C8979	Mucinous Cystadenofibroma
NCIT:C156484	Malignant Genitourinary System Neoplasm
NCIT:C157774	Metastatic Malignant Genitourinary System Neoplasm
NCIT:C146893	Metastatic Genitourinary System Carcinoma
NCIT:C126109	Metastatic Urothelial Carcinoma
NCIT:C150512	Metastatic Urethral Urothelial Carcinoma
NCIT:C150513	Metastatic Bladder Urothelial Carcinoma
NCIT:C157766	Metastatic Infiltrating Bladder Urothelial Carcinoma, Sarcomatoid Variant
NCIT:C157769	Metastatic Infiltrating Bladder Urothelial Carcinoma with Giant Cells
NCIT:C157770	Metastatic Infiltrating Bladder Urothelial Carcinoma, Nested Variant
NCIT:C169043	Metastatic Bladder Urachal Urothelial Carcinoma
NCIT:C8064	Metastatic Renal Pelvis and Ureter Urothelial Carcinoma
NCIT:C150514	Metastatic Renal Pelvis Urothelial Carcinoma
NCIT:C150515	Metastatic Ureter Urothelial Carcinoma
NCIT:C153387	Metastatic Cervical Carcinoma
NCIT:C153388	Metastatic Cervical Squamous Cell Carcinoma, Not Otherwise Specified
NCIT:C153389	Metastatic Cervical Adenocarcinoma
NCIT:C153390	Metastatic Cervical Adenosquamous Carcinoma
NCIT:C156062	Metastatic Bladder Carcinoma
NCIT:C157750	Metastatic Bladder Squamous Cell Carcinoma
NCIT:C157762	Metastatic Bladder Large Cell Neuroendocrine Carcinoma
NCIT:C157763	Metastatic Bladder Small Cell Carcinoma
NCIT:C156063	Metastatic Fallopian Tube Carcinoma
NCIT:C171016	Metastatic Fallopian Tube Serous Adenocarcinoma
NCIT:C156064	Metastatic Ovarian Carcinoma
NCIT:C160782	Metastatic Ovarian Serous Adenocarcinoma
NCIT:C170938	Metastatic Ovarian Endometrioid Adenocarcinoma
NCIT:C170944	Metastatic Ovarian Clear Cell Adenocarcinoma
NCIT:C172234	Metastatic Ovarian Undifferentiated Carcinoma
NCIT:C156065	Metastatic Vaginal Carcinoma
NCIT:C8944	Metastatic Vaginal Adenocarcinoma
NCIT:C156066	Metastatic Vulvar Carcinoma
NCIT:C156068	Metastatic Endometrial Carcinoma
NCIT:C8942	Metastatic Endometrial Adenocarcinoma
NCIT:C170804	Metastatic Endometrial Serous Adenocarcinoma
NCIT:C170806	Metastatic Endometrial Endometrioid Adenocarcinoma
NCIT:C27784	Metastatic Penile Carcinoma
NCIT:C27806	Metastatic Kidney Carcinoma
NCIT:C150595	Metastatic Renal Cell Carcinoma
NCIT:C157757	Metastatic Sarcomatoid Renal Cell Carcinoma
NCIT:C162760	Metastatic Papillary Renal Cell Carcinoma
NCIT:C162768	Metastatic Clear Cell Renal Cell Carcinoma
NCIT:C171580	Metastatic Chromophobe Renal Cell Carcinoma
NCIT:C171583	Metastatic Unclassified Renal Cell Carcinoma
NCIT:C157755	Metastatic Kidney Medullary Carcinoma
NCIT:C163965	Metastatic Renal Pelvis Carcinoma
NCIT:C27818	Metastatic Ureter Carcinoma
NCIT:C27819	Metastatic Urethral Carcinoma
NCIT:C8943	Metastatic Endometrioid Adenocarcinoma
NCIT:C8946	Metastatic Prostate Carcinoma
NCIT:C132881	Prostate Carcinoma Metastatic in the Soft Tissue
NCIT:C158913	Metastatic Prostate Neuroendocrine Carcinoma
NCIT:C157764	Metastatic Prostate Small Cell Carcinoma
NCIT:C161584	Prostate Carcinoma Metastatic in the Pelvic Cavity
NCIT:C161587	Prostate Carcinoma Metastatic in Lymph Node
NCIT:C36307	Prostate Carcinoma Metastatic in the Lung
NCIT:C36308	Prostate Carcinoma Metastatic in the Bone
NCIT:C8945	Metastatic Prostate Adenocarcinoma
NCIT:C162254	Metastatic Malignant Female Reproductive System Neoplasm
NCIT:C164141	Genitourinary System Carcinoma
NCIT:C3867	Fallopian Tube Carcinoma
NCIT:C115429	Recurrent Fallopian Tube Carcinoma
NCIT:C170755	Recurrent Fallopian Tube Undifferentiated Carcinoma
NCIT:C170757	Recurrent Fallopian Tube Transitional Cell Carcinoma
NCIT:C170766	Recurrent Fallopian Tube Adenocarcinoma
NCIT:C153613	Recurrent Fallopian Tube Serous Adenocarcinoma
NCIT:C156456	Recurrent Low Grade Fallopian Tube Serous Adenocarcinoma
NCIT:C165267	Recurrent High Grade Fallopian Tube Serous Adenocarcinoma
NCIT:C165265	Recurrent Fallopian Tube Endometrioid Adenocarcinoma
NCIT:C170760	Recurrent Fallopian Tube Clear Cell Adenocarcinoma
NCIT:C139983	Fallopian Tube Cancer by AJCC v8 Stage
NCIT:C139984	Stage I Fallopian Tube Cancer AJCC v8
NCIT:C139988	Stage II Fallopian Tube Cancer AJCC v8
NCIT:C139991	Stage III Fallopian Tube Cancer AJCC v8
NCIT:C139997	Stage IV Fallopian Tube Cancer AJCC v8
NCIT:C152047	Refractory Fallopian Tube Carcinoma
NCIT:C170971	Refractory Fallopian Tube Adenocarcinoma
NCIT:C171018	Refractory Fallopian Tube Serous Adenocarcinoma
NCIT:C40104	Fallopian Tube Transitional Cell Carcinoma
NCIT:C40455	Hereditary Fallopian Tube Carcinoma
NCIT:C6265	Fallopian Tube Adenocarcinoma
NCIT:C40099	Fallopian Tube Serous Adenocarcinoma
NCIT:C126449	Serous Tubal Intraepithelial Carcinoma
NCIT:C126456	High Grade Fallopian Tube Serous Adenocarcinoma
NCIT:C126457	Low Grade Fallopian Tube Serous Adenocarcinoma
NCIT:C40103	Fallopian Tube Mucinous Adenocarcinoma
NCIT:C40105	Stage 0 Fallopian Tube Cancer AJCC v7
NCIT:C6267	Fallopian Tube Papillary Adenocarcinoma
NCIT:C6279	Fallopian Tube Endometrioid Adenocarcinoma
NCIT:C6280	Fallopian Tube Clear Cell Adenocarcinoma
NCIT:C6278	Fallopian Tube Gestational Choriocarcinoma
NCIT:C6281	Fallopian Tube Undifferentiated Carcinoma
NCIT:C6282	Fallopian Tube Squamous Cell Carcinoma
NCIT:C90499	Fallopian Tube Cancer by AJCC v6 Stage
NCIT:C8720	Stage I Fallopian Tube Cancer AJCC v6 and v7
NCIT:C8721	Stage II Fallopian Tube Cancer AJCC v6 and v7
NCIT:C8722	Stage III Fallopian Tube Cancer AJCC v6
NCIT:C8963	Stage IV Fallopian Tube Cancer AJCC v6 and v7
NCIT:C91219	Fallopian Tube Cancer by AJCC v7 Stage
NCIT:C89692	Stage III Fallopian Tube Cancer AJCC v7
NCIT:C3917	Vaginal Carcinoma
NCIT:C128073	Vaginal Neuroendocrine Carcinoma
NCIT:C128075	Vaginal Large Cell Neuroendocrine Carcinoma
NCIT:C40263	Vaginal Small Cell Carcinoma
NCIT:C139657	Vaginal Cancer by AJCC v8 Stage
NCIT:C139658	Stage I Vaginal Cancer AJCC v8
NCIT:C139661	Stage II Vaginal Cancer AJCC v8
NCIT:C139665	Stage III Vaginal Cancer AJCC v8
NCIT:C139667	Stage IV Vaginal Cancer AJCC v8
NCIT:C40260	Vaginal Adenosquamous Carcinoma
NCIT:C40261	Vaginal Adenoid Cystic Carcinoma
NCIT:C40264	Vaginal Undifferentiated Carcinoma
NCIT:C7736	Vaginal Squamous Cell Carcinoma, Not Otherwise Specified
NCIT:C128060	Vaginal Papillary Carcinoma
NCIT:C40243	Vaginal Keratinizing Squamous Cell Carcinoma
NCIT:C40245	Vaginal Basaloid Carcinoma
NCIT:C40248	Vaginal Warty Carcinoma
NCIT:C6325	Vaginal Verrucous Carcinoma
NCIT:C7860	Recurrent Vaginal Carcinoma
NCIT:C7981	Vaginal Adenocarcinoma
NCIT:C40251	Vaginal Endometrioid Adenocarcinoma
NCIT:C40252	Vaginal Mucinous Adenocarcinoma
NCIT:C7735	Vaginal Clear Cell Adenocarcinoma
NCIT:C90347	Vaginal Cancer by AJCC v6 Stage
NCIT:C7597	Stage IV Vaginal Cancer AJCC v6 and v7
NCIT:C7855	Stage 0 Vaginal Cancer AJCC v6
NCIT:C7856	Stage I Vaginal Cancer AJCC v6 and v7
NCIT:C7857	Stage II Vaginal Cancer AJCC v6 and v7
NCIT:C7858	Stage III Vaginal Cancer AJCC v6 and v7
NCIT:C91204	Vaginal Cancer by AJCC v7 Stage
NCIT:C89476	Stage 0 Vaginal Cancer AJCC v7
NCIT:C4863	Prostate Carcinoma
NCIT:C103817	Hereditary Prostate Carcinoma
NCIT:C140163	Prostate Cancer by AJCC v8 Stage
NCIT:C140164	Stage I Prostate Cancer AJCC v8
NCIT:C140165	Stage II Prostate Cancer AJCC v8
NCIT:C140169	Stage III Prostate Cancer AJCC v8
NCIT:C140173	Stage IV Prostate Cancer AJCC v8
NCIT:C161022	Intraductal Prostate Carcinoma
NCIT:C162638	Non-Metastatic Prostate Carcinoma
NCIT:C167255	Refractory Prostate Carcinoma
NCIT:C167256	Refractory Prostate Adenocarcinoma
NCIT:C39898	Primary Prostate Urothelial Carcinoma
NCIT:C39901	Prostatic Duct Urothelial Carcinoma
NCIT:C48596	Invasive Prostate Carcinoma
NCIT:C158912	Prostate Neuroendocrine Carcinoma
NCIT:C158650	Prostate Large Cell Neuroendocrine Carcinoma
NCIT:C6766	Prostate Small Cell Carcinoma
NCIT:C2919	Prostate Adenocarcinoma
NCIT:C150557	Prostate Adenocarcinoma without Neuroendocrine Differentiation
NCIT:C164185	Aggressive Prostate Adenocarcinoma
NCIT:C164186	Prostate Adenocarcinoma by AJCC v7 Stage
NCIT:C8947	Stage I Prostate Adenocarcinoma AJCC v7
NCIT:C8948	Stage II Prostate Adenocarcinoma AJCC v7
NCIT:C8949	Stage III Prostate Adenocarcinoma AJCC v7
NCIT:C8950	Stage IV Prostate Adenocarcinoma AJCC v7
NCIT:C171012	Recurrent Prostate Adenocarcinoma
NCIT:C153570	Recurrent Prostate Acinar Adenocarcinoma
NCIT:C27905	Well Differentiated Prostate Adenocarcinoma
NCIT:C39896	Prostate Ductal Adenocarcinoma, Papillary Pattern
NCIT:C27906	Moderately Differentiated Prostate Adenocarcinoma
NCIT:C27916	Poorly Differentiated Prostate Adenocarcinoma
NCIT:C39903	Prostate Adenocarcinoma with Neuroendocrine Differentiation
NCIT:C5596	Prostate Acinar Adenocarcinoma
NCIT:C160817	Prostate Acinar Adenocarcinoma, Microcystic Variant
NCIT:C39880	Prostate Acinar Adenocarcinoma, Atrophic Variant
NCIT:C39885	Prostate Acinar Adenocarcinoma, Lymphoepithelioma-Like Variant
NCIT:C6813	Prostate Ductal Adenocarcinoma
NCIT:C39895	Prostate Ductal Adenocarcinoma, Cribriform Pattern
NCIT:C39897	Prostate Ductal Adenocarcinoma, Solid Pattern
NCIT:C39902	Prostate Basal Cell Carcinoma
NCIT:C5536	Prostate Squamous Cell Carcinoma
NCIT:C5538	Prostate Adenosquamous Carcinoma
NCIT:C5539	Prostate Adenoid Cystic Carcinoma
NCIT:C5597	Prostate Undifferentiated Carcinoma
NCIT:C7902	Recurrent Prostate Carcinoma
NCIT:C90521	Prostate Cancer by AJCC v6 Stage
NCIT:C7551	Stage III Prostate Cancer AJCC v6
NCIT:C7553	Stage II Prostate Cancer AJCC v6
NCIT:C7555	Stage I Prostate Cancer AJCC v6
NCIT:C9075	Stage IV Prostate Cancer AJCC v6
NCIT:C91233	Prostate Cancer by AJCC v7 Stage
NCIT:C89232	Stage I Prostate Cancer AJCC v7
NCIT:C89233	Stage II Prostate Cancer AJCC v7
NCIT:C89234	Stage III Prostate Cancer AJCC v7
NCIT:C89235	Stage IV Prostate Cancer AJCC v7
NCIT:C4866	Vulvar Carcinoma
NCIT:C128243	Vulvar Neuroendocrine Carcinoma
NCIT:C128244	Vulvar Small Cell Carcinoma
NCIT:C40298	Bartholin Gland Small Cell Carcinoma
NCIT:C128245	Vulvar Large Cell Neuroendocrine Carcinoma
NCIT:C128247	Vulvar Merkel Cell Carcinoma
NCIT:C139618	Vulvar Cancer by AJCC v8 Stage
NCIT:C139619	Stage I Vulvar Cancer AJCC v8
NCIT:C139622	Stage II Vulvar Cancer AJCC v8
NCIT:C139623	Stage III Vulvar Cancer AJCC v8
NCIT:C139627	Stage IV Vulvar Cancer AJCC v8
NCIT:C4052	Vulvar Squamous Cell Carcinoma
NCIT:C27679	Human Papillomavirus-Related Vulvar Squamous Cell Carcinoma
NCIT:C40287	Vulvar Warty Carcinoma
NCIT:C40284	Vulvar Keratinizing Squamous Cell Carcinoma
NCIT:C40286	Vulvar Basaloid Carcinoma
NCIT:C40293	Bartholin Gland Squamous Cell Carcinoma
NCIT:C6383	Vulvar Verrucous Carcinoma
NCIT:C6380	Vulvar Adenocarcinoma
NCIT:C128164	Vulvar Adenocarcinoma of Sweat Gland Type
NCIT:C4027	Paget Disease of the Vulva
NCIT:C40305	Vulvar Eccrine Adenocarcinoma
NCIT:C40306	Vulvar Porocarcinoma
NCIT:C40307	Vulvar Clear Cell Hidradenocarcinoma
NCIT:C40308	Vulvar Apocrine Adenocarcinoma
NCIT:C128166	Vulvar Adenocarcinoma, Intestinal-Type
NCIT:C40309	Vulvar Sebaceous Carcinoma
NCIT:C7719	Bartholin Gland Adenocarcinoma
NCIT:C6381	Vulvar Basal Cell Carcinoma
NCIT:C90345	Vulvar Cancer by AJCC v6 Stage
NCIT:C7854	Stage I Vulvar Cancer AJCC v6
NCIT:C9051	Stage II Vulvar Cancer AJCC v6
NCIT:C9052	Stage III Vulvar Cancer AJCC v6
NCIT:C9053	Stage IV Vulvar Cancer AJCC v6
NCIT:C9054	Recurrent Vulvar Carcinoma
NCIT:C9055	Bartholin Gland Carcinoma
NCIT:C40295	Bartholin Gland Adenoid Cystic Carcinoma
NCIT:C40296	Bartholin Gland Adenosquamous Carcinoma
NCIT:C40297	Bartholin Gland Transitional Cell Carcinoma
NCIT:C91203	Vulvar Cancer by AJCC v7 Stage
NCIT:C89447	Stage I Vulvar Cancer AJCC v7
NCIT:C89451	Stage II Vulvar Cancer AJCC v7
NCIT:C89452	Stage III Vulvar Cancer AJCC v7
NCIT:C89453	Stage IV Vulvar Cancer AJCC v7
NCIT:C9362	Clitoral Carcinoma
NCIT:C9363	Labia Majora Carcinoma
NCIT:C9364	Labia Minora Carcinoma
NCIT:C4908	Ovarian Carcinoma
NCIT:C128106	Ovarian Cancer by AJCC v6 and v7 Stage
NCIT:C7830	Stage II Ovarian Cancer AJCC v6 and v7
NCIT:C7831	Stage III Ovarian Cancer AJCC v6 and v7
NCIT:C139963	Ovarian Cancer by AJCC v8 Stage
NCIT:C139964	Stage I Ovarian Cancer AJCC v8
NCIT:C139968	Stage II Ovarian Cancer AJCC v8
NCIT:C139971	Stage III Ovarian Cancer AJCC v8
NCIT:C139977	Stage IV Ovarian Cancer AJCC v8
NCIT:C150091	Refractory Ovarian Carcinoma
NCIT:C170968	Refractory Ovarian Adenocarcinoma
NCIT:C150096	Refractory Ovarian Endometrioid Adenocarcinoma
NCIT:C171015	Refractory Ovarian Serous Adenocarcinoma
NCIT:C171032	Ovarian Neuroendocrine Carcinoma
NCIT:C40440	Ovarian Small Cell Carcinoma, Pulmonary-Type
NCIT:C5238	Ovarian Large Cell Neuroendocrine Carcinoma
NCIT:C27390	Ovarian Small Cell Carcinoma
NCIT:C36102	Hereditary Ovarian Carcinoma
NCIT:C148024	BRCA-Mutated Ovarian Carcinoma
NCIT:C148025	Recurrent BRCA-Mutated Ovarian Carcinoma
NCIT:C40090	Ovarian Seromucinous Carcinoma
NCIT:C40093	Ovarian Squamous Cell Carcinoma
NCIT:C4509	Ovarian Undifferentiated Carcinoma
NCIT:C170754	Recurrent Ovarian Undifferentiated Carcinoma
NCIT:C5240	Ovarian Transitional Cell Carcinoma
NCIT:C153819	Recurrent Ovarian Transitional Cell Carcinoma
NCIT:C7700	Ovarian Adenocarcinoma
NCIT:C153614	Recurrent Ovarian Adenocarcinoma
NCIT:C150095	Recurrent Ovarian Endometrioid Adenocarcinoma
NCIT:C153615	Recurrent Ovarian Serous Adenocarcinoma
NCIT:C156455	Recurrent Low Grade Ovarian Serous Adenocarcinoma
NCIT:C165262	Recurrent High Grade Ovarian Serous Adenocarcinoma
NCIT:C153616	Recurrent Ovarian Mucinous Adenocarcinoma
NCIT:C153617	Recurrent Ovarian Cystadenocarcinoma
NCIT:C153618	Recurrent Ovarian Clear Cell Adenocarcinoma
NCIT:C40078	Ovarian Clear Cell Adenocarcinoma
NCIT:C7980	Ovarian Clear Cell Cystadenocarcinoma
NCIT:C5228	Ovarian Cystadenocarcinoma
NCIT:C4026	Ovarian Mucinous Cystadenocarcinoma
NCIT:C7978	Ovarian Serous Cystadenocarcinoma
NCIT:C5243	Ovarian Mucinous Adenocarcinoma
NCIT:C7550	Ovarian Serous Adenocarcinoma
NCIT:C105555	High Grade Ovarian Serous Adenocarcinoma
NCIT:C105556	Low Grade Ovarian Serous Adenocarcinoma
NCIT:C6256	Ovarian Serous Surface Papillary Adenocarcinoma
NCIT:C7979	Ovarian Endometrioid Adenocarcinoma
NCIT:C40061	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
NCIT:C7833	Recurrent Ovarian Carcinoma
NCIT:C4912	Bladder Carcinoma
NCIT:C118816	Childhood Bladder Carcinoma
NCIT:C140416	Bladder Cancer by AJCC v8 Stage
NCIT:C140417	Stage 0a Bladder Cancer AJCC v8
NCIT:C140418	Stage 0is Bladder Cancer AJCC v8
NCIT:C140419	Stage I Bladder Cancer AJCC v8
NCIT:C140420	Stage II Bladder Cancer AJCC v8
NCIT:C140421	Stage III Bladder Cancer AJCC v8
NCIT:C140424	Stage IV Bladder Cancer AJCC v8
NCIT:C150316	Refractory Bladder Carcinoma
NCIT:C148286	Refractory Stage 0 Bladder Cancer AJCC v6 and v7
NCIT:C165702	Refractory Bladder Urothelial Carcinoma
NCIT:C150570	Infiltrating Bladder Carcinoma
NCIT:C165716	Infiltrating Bladder Mixed Carcinoma
NCIT:C27885	Infiltrating Bladder Urothelial Carcinoma
NCIT:C170772	Superficial Bladder Urothelial Carcinoma
NCIT:C170773	Recurrent Superficial Bladder Urothelial Carcinoma
NCIT:C39816	Infiltrating Bladder Urothelial Carcinoma with Squamous Differentiation
NCIT:C39817	Infiltrating Bladder Urothelial Carcinoma with Glandular Differentiation
NCIT:C39818	Infiltrating Bladder Urothelial Carcinoma with Trophoblastic Differentiation
NCIT:C39819	Infiltrating Bladder Urothelial Carcinoma, Nested Variant
NCIT:C39820	Infiltrating Bladder Urothelial Carcinoma, Microcystic Variant
NCIT:C39821	Infiltrating Bladder Lymphoepithelioma-Like Carcinoma
NCIT:C39824	Infiltrating Bladder Urothelial Carcinoma, Sarcomatoid Variant
NCIT:C39825	Infiltrating Bladder Urothelial Carcinoma, Sarcomatoid Variant with Heterologous Elements
NCIT:C39826	Infiltrating Bladder Urothelial Carcinoma, Sarcomatoid Variant without Heterologous Elements
NCIT:C39829	Infiltrating Bladder Urothelial Carcinoma with Giant Cells
NCIT:C6191	Stage I Bladder Urothelial Carcinoma AJCC v6 and v7
NCIT:C8939	Stage II Bladder Urothelial Carcinoma AJCC v6 and v7
NCIT:C8940	Stage III Bladder Urothelial Carcinoma AJCC v6 and v7
NCIT:C8941	Stage IV Bladder Urothelial Carcinoma AJCC v7
NCIT:C157759	Bladder Neuroendocrine Carcinoma
NCIT:C157760	Bladder Large Cell Neuroendocrine Carcinoma
NCIT:C9461	Bladder Small Cell Carcinoma
NCIT:C27474	Superficial Bladder Carcinoma
NCIT:C39842	Bladder Urachal Carcinoma
NCIT:C39844	Bladder Urachal Urothelial Carcinoma
NCIT:C39845	Bladder Urachal Squamous Cell Carcinoma
NCIT:C39851	Bladder Urothelial Carcinoma
NCIT:C126307	Recurrent Bladder Urothelial Carcinoma
NCIT:C27634	Transplant-Related Bladder Urothelial Carcinoma
NCIT:C37266	Bladder Urothelial Carcinoma In Situ
NCIT:C3644	Stage 0is Bladder Urothelial Carcinoma AJCC v6 and v7
NCIT:C7383	Bladder Papillary Urothelial Carcinoma
NCIT:C158382	Bladder Non-Invasive Papillary Urothelial Carcinoma
NCIT:C27876	Bladder Non-Invasive Papillary Urothelial Carcinoma, High Grade
NCIT:C9267	Stage 0a Bladder Urothelial Carcinoma AJCC v6 and v7
NCIT:C4031	Bladder Squamous Cell Carcinoma
NCIT:C27768	Schistosoma Hematobium-Related Bladder Squamous Cell Carcinoma
NCIT:C39833	Schistosoma Hematobium-Related Bladder Verrucous Carcinoma
NCIT:C39832	Bladder Verrucous Carcinoma
NCIT:C4994	Stage II Bladder Squamous Cell Carcinoma AJCC v6 and v7
NCIT:C8902	Recurrent Bladder Squamous Cell Carcinoma
NCIT:C8903	Stage 0 Bladder Squamous Cell Carcinoma AJCC v6 and v7
NCIT:C8904	Stage I Squamous Cell Carcinoma of the Bladder AJCC v6 and v7
